ori_node,des_node,ori_layer,des_layer,minutes,km
2380,3922,2,2,3,2.84
2380,37983,2,2,2,2.543
3239,3488,2,2,11,7.011
3488,3239,2,2,10,7.011
3488,3922,2,2,10,10.135
3488,48901,2,2,7,5.625
3922,2380,2,2,3,2.84
3922,3488,2,2,11,10.135
3922,16092,2,2,3,2.708
3922,47209,2,2,6,8.044
16092,3922,2,2,3,2.708
16092,48901,2,2,4,2.628
20917,124317,2,2,4,3.73
37983,2380,2,2,3,2.543
37983,47209,2,2,3,3.35
47209,3922,2,2,6,8.044
47209,37983,2,2,1,3.35
48901,3488,2,2,7,5.625
48901,16092,2,2,4,2.628
124317,20917,2,2,4,3.73
