ori_node,des_node,ori_layer,des_layer,minutes,km
8561,14941,4,4,3,1.686
8561,18172,4,4,15,8.508
8561,20753,4,4,20,16.554
8561,97611,4,4,25,20.692
8561,116957,4,4,6,4.474
8661,14941,4,4,2,1.977
14941,8561,4,4,3,1.686
14941,8661,4,4,2,1.977
18172,8561,4,4,15,8.508
18172,165376,4,4,5,6.002
20753,8561,4,4,30,16.554
20753,39625,4,4,15,9.74
26856,165375,4,4,10,8.027
39625,20753,4,4,15,9.74
97611,8561,4,4,25,20.692
97611,98578,4,4,15,11.217
98578,97611,4,4,25,11.217
116957,8561,4,4,13,4.474
165375,18172,4,4,8,5.983
165376,26856,4,4,15,8
217300,8561,4,4,8,4.876
217300,8661,4,4,3,1.268
