node,layer,lat,lon,degree,geometry
24143,5,52.70132,-2.51716,24,"-2.51716, 52.70132"
33317,5,52.66609,-2.37185,25,"-2.37185, 52.66609"
38988,5,52.68112,-2.44098,21,"-2.44098, 52.68112"
39680,5,52.69341,-2.45019,19,"-2.45019, 52.69341"
51605,5,52.70648,-2.49394,2,"-2.49394, 52.70648"
52092,5,52.71533,-2.49712,2,"-2.49712, 52.71533"
52434,5,52.73785,-2.57345,4,"-2.57345, 52.73785"
52543,5,52.76589,-2.36944,2,"-2.36944, 52.76589"
52999,5,52.71713,-2.53158,5,"-2.53158, 52.71713"
53034,5,52.69324,-2.5063,2,"-2.5063, 52.69324"
53035,5,52.69319,-2.50653,2,"-2.50653, 52.69319"
53134,5,52.67387,-2.47439,2,"-2.47439, 52.67387"
53174,5,52.77722,-2.57744,2,"-2.57744, 52.77722"
53905,5,52.75425,-2.60268,4,"-2.60268, 52.75425"
53906,5,52.75401,-2.60226,3,"-2.60226, 52.75401"
54001,5,52.66303,-2.48103,2,"-2.48103, 52.66303"
54130,5,52.71123,-2.49078,2,"-2.49078, 52.71123"
54456,5,52.69831,-2.52426,3,"-2.52426, 52.69831"
54510,5,52.70479,-2.43857,3,"-2.43857, 52.70479"
54855,5,52.63874,-2.44014,6,"-2.44014, 52.63874"
54873,5,52.70642,-2.52485,2,"-2.52485, 52.70642"
54981,5,52.69583,-2.44951,4,"-2.44951, 52.69583"
54985,5,52.55836,-2.30474,4,"-2.30474, 52.55836"
55038,5,52.62702,-2.44327,2,"-2.44327, 52.62702"
55608,5,52.71914,-2.44246,2,"-2.44246, 52.71914"
55646,5,52.55487,-2.43171,3,"-2.43171, 52.55487"
55647,5,52.55594,-2.43248,4,"-2.43248, 52.55594"
56055,5,52.63838,-2.47794,2,"-2.47794, 52.63838"
56070,5,52.69596,-2.35781,3,"-2.35781, 52.69596"
56193,5,52.52825,-2.4009,2,"-2.4009, 52.52825"
56194,5,52.52813,-2.40074,2,"-2.40074, 52.52813"
56210,5,52.71283,-2.44302,3,"-2.44302, 52.71283"
56220,5,52.70826,-2.48789,2,"-2.48789, 52.70826"
56263,5,52.67618,-2.57782,3,"-2.57782, 52.67618"
56381,5,52.77762,-2.47035,6,"-2.47035, 52.77762"
56768,5,52.63816,-2.44549,7,"-2.44549, 52.63816"
56796,5,52.71003,-2.52402,2,"-2.52402, 52.71003"
56843,5,52.74422,-2.39863,2,"-2.39863, 52.74422"
56867,5,52.71314,-2.45307,2,"-2.45307, 52.71314"
57133,5,52.67557,-2.4474,1,"-2.4474, 52.67557"
57627,5,52.69717,-2.50912,2,"-2.50912, 52.69717"
57790,5,52.62693,-2.47316,3,"-2.47316, 52.62693"
58138,5,52.66882,-2.46094,2,"-2.46094, 52.66882"
58323,5,52.71466,-2.43729,6,"-2.43729, 52.71466"
58419,5,52.69283,-2.5176,2,"-2.5176, 52.69283"
58899,5,52.68944,-2.44009,3,"-2.44009, 52.68944"
59306,5,52.76979,-2.38305,2,"-2.38305, 52.76979"
59496,5,52.66894,-2.37313,4,"-2.37313, 52.66894"
59769,5,52.6947,-2.4368,3,"-2.4368, 52.6947"
60026,5,52.63905,-2.43961,6,"-2.43961, 52.63905"
60057,5,52.71189,-2.49753,3,"-2.49753, 52.71189"
60432,5,52.63649,-2.44411,3,"-2.44411, 52.63649"
61247,5,52.77531,-2.57446,4,"-2.57446, 52.77531"
61971,5,52.62606,-2.47263,3,"-2.47263, 52.62606"
62593,5,52.69923,-2.52158,4,"-2.52158, 52.69923"
62960,5,52.69607,-2.44974,4,"-2.44974, 52.69607"
63299,5,52.69933,-2.46168,2,"-2.46168, 52.69933"
63400,5,52.665,-2.46609,3,"-2.46609, 52.665"
63401,5,52.76819,-2.54669,3,"-2.54669, 52.76819"
63402,5,52.76459,-2.3754,2,"-2.3754, 52.76459"
63531,5,52.72306,-2.34897,3,"-2.34897, 52.72306"
