node,layer,lat,lon,degree,geometry
28819,5,58.63855,-3.16179,10,"-3.16179, 58.63855"
32365,5,58.58999,-3.52756,22,"-3.52756, 58.58999"
52031,5,58.5981,-3.64283,4,"-3.64283, 58.5981"
53666,5,58.49645,-4.28774,5,"-4.28774, 58.49645"
54379,5,58.21854,-4.49586,2,"-4.49586, 58.21854"
54783,5,58.60158,-3.54293,3,"-3.54293, 58.60158"
54785,5,58.60256,-3.62467,5,"-3.62467, 58.60256"
54790,5,58.60145,-3.5433,3,"-3.5433, 58.60145"
54791,5,58.60358,-3.54932,3,"-3.54932, 58.60358"
56522,5,58.5945,-3.39674,6,"-3.39674, 58.5945"
57607,5,58.52992,-4.18426,2,"-4.18426, 58.52992"
58172,5,58.5891,-3.53679,5,"-3.53679, 58.5891"
58234,5,58.58741,-3.52332,6,"-3.52332, 58.58741"
60279,5,58.28337,-4.4438,4,"-4.4438, 58.28337"
65354,5,58.5983,-3.53886,5,"-3.53886, 58.5983"
65397,5,58.55236,-3.68896,2,"-3.68896, 58.55236"
66329,5,58.55529,-3.61879,2,"-3.61879, 58.55529"
67862,5,58.65158,-3.26779,4,"-3.26779, 58.65158"
71275,5,58.51389,-3.49433,3,"-3.49433, 58.51389"
71276,5,58.51457,-3.49001,2,"-3.49001, 58.51457"
71279,5,58.51351,-3.42974,4,"-3.42974, 58.51351"
71591,5,58.58962,-3.51711,7,"-3.51711, 58.58962"
74798,5,58.59789,-3.53139,6,"-3.53139, 58.59789"
75855,5,58.64122,-3.34132,4,"-3.34132, 58.64122"
76265,5,58.53107,-4.14795,4,"-4.14795, 58.53107"
76935,5,58.55244,-4.05941,4,"-4.05941, 58.55244"
78792,5,58.55712,-3.92729,2,"-3.92729, 58.55712"
80770,5,58.38472,-4.36464,2,"-4.36464, 58.38472"
84906,5,58.63144,-3.29592,5,"-3.29592, 58.63144"
85439,5,58.58818,-3.53214,5,"-3.53214, 58.58818"
85440,5,58.59464,-3.50591,6,"-3.50591, 58.59464"
87201,5,58.55959,-3.77327,4,"-3.77327, 58.55959"
87583,5,58.595,-3.52081,5,"-3.52081, 58.595"
88581,5,58.55319,-3.9176,2,"-3.9176, 58.55319"
90581,5,58.59238,-3.50961,2,"-3.50961, 58.59238"
90582,5,58.59262,-3.51179,5,"-3.51179, 58.59262"
94558,5,58.55249,-3.68875,2,"-3.68875, 58.55249"
94696,5,58.59236,-3.51011,2,"-3.51011, 58.59236"
95241,5,58.59332,-3.53741,2,"-3.53741, 58.59332"
95242,5,58.59325,-3.50796,2,"-3.50796, 58.59325"
96936,5,58.55861,-3.78615,8,"-3.78615, 58.55861"
96937,5,58.55683,-3.80361,4,"-3.80361, 58.55683"
96939,5,58.56106,-3.93161,4,"-3.93161, 58.56106"
99254,5,58.59376,-3.54106,2,"-3.54106, 58.59376"
102108,5,58.63725,-3.22701,5,"-3.22701, 58.63725"
104701,5,58.59279,-3.39039,6,"-3.39039, 58.59279"
106521,5,58.56218,-4.01067,4,"-4.01067, 58.56218"
107208,5,58.47688,-4.41692,7,"-4.41692, 58.47688"
111677,5,58.57139,-3.54542,3,"-3.54542, 58.57139"
112772,5,58.5661,-3.57548,4,"-3.57548, 58.5661"
116840,5,58.59649,-3.65136,4,"-3.65136, 58.59649"
121177,5,58.59106,-3.38467,3,"-3.38467, 58.59106"
133646,5,58.59381,-3.54051,2,"-3.54051, 58.59381"
133856,5,58.59839,-3.53888,3,"-3.53888, 58.59839"
134276,5,58.55949,-3.99068,4,"-3.99068, 58.55949"
134277,5,58.5623,-4.01071,4,"-4.01071, 58.5623"
134278,5,58.56221,-4.01308,2,"-4.01308, 58.56221"
136803,5,58.59343,-3.5335,2,"-3.5335, 58.59343"
139348,5,58.59415,-3.43957,8,"-3.43957, 58.59415"
139575,5,58.57971,-3.73533,15,"-3.73533, 58.57971"
139625,5,58.59457,-3.50556,3,"-3.50556, 58.59457"
140905,5,58.59527,-3.52145,4,"-3.52145, 58.59527"
140907,5,58.59513,-3.52165,7,"-3.52165, 58.59513"
141686,5,58.56141,-3.76067,6,"-3.76067, 58.56141"
143333,5,58.47474,-4.41706,2,"-4.41706, 58.47474"
154015,5,58.56258,-3.53649,5,"-3.53649, 58.56258"
156380,5,58.58801,-3.38393,2,"-3.38393, 58.58801"
157730,5,58.59698,-3.55156,2,"-3.55156, 58.59698"
157736,5,58.59156,-3.53139,4,"-3.53139, 58.59156"
158343,5,58.59554,-3.5384,4,"-3.5384, 58.59554"
159393,5,58.62222,-3.34287,3,"-3.34287, 58.62222"
160515,5,58.59776,-3.53072,3,"-3.53072, 58.59776"
160615,5,58.47693,-4.41725,10,"-4.41725, 58.47693"
161004,5,58.63166,-3.29572,6,"-3.29572, 58.63166"
161007,5,58.51619,-3.49535,4,"-3.49535, 58.51619"
161010,5,58.51408,-3.49444,10,"-3.49444, 58.51408"
161012,5,58.59484,-3.66369,4,"-3.66369, 58.59484"
161146,5,58.62261,-3.34293,3,"-3.34293, 58.62261"
163324,5,58.56045,-3.7439,4,"-3.7439, 58.56045"
166971,5,58.49628,-4.28773,4,"-4.28773, 58.49628"
168081,5,58.60327,-3.61929,7,"-3.61929, 58.60327"
168099,5,58.59799,-3.53143,6,"-3.53143, 58.59799"
171108,5,58.59316,-3.5214,11,"-3.5214, 58.59316"
171854,5,58.58518,-3.53614,3,"-3.53614, 58.58518"
171869,5,58.5144,-3.4898,2,"-3.4898, 58.5144"
171872,5,58.52098,-3.45091,12,"-3.45091, 58.52098"
172087,5,58.58658,-3.5345,4,"-3.5345, 58.58658"
173817,5,58.5356,-4.30259,4,"-4.30259, 58.5356"
173818,5,58.5297,-4.28197,4,"-4.28197, 58.5297"
177289,5,58.59578,-3.54049,2,"-3.54049, 58.59578"
177376,5,58.52515,-4.22276,4,"-4.22276, 58.52515"
183008,5,58.59533,-3.53557,2,"-3.53557, 58.59533"
183573,5,58.46495,-3.42659,2,"-3.42659, 58.46495"
191622,5,58.52673,-4.27365,4,"-4.27365, 58.52673"
195316,5,58.52514,-4.2219,8,"-4.2219, 58.52514"
197070,5,58.61058,-3.5551,4,"-3.5551, 58.61058"
197888,5,58.59501,-3.52086,12,"-3.52086, 58.59501"
206122,5,58.5585,-3.93171,4,"-3.93171, 58.5585"
206848,5,58.58559,-3.53624,4,"-3.53624, 58.58559"
206858,5,58.59647,-3.53353,2,"-3.53353, 58.59647"
208179,5,58.59664,-3.65174,2,"-3.65174, 58.59664"
212971,5,58.59791,-3.55471,4,"-3.55471, 58.59791"
213051,5,58.58522,-3.53657,4,"-3.53657, 58.58522"
215824,5,58.55326,-3.38603,4,"-3.38603, 58.55326"
219055,5,58.52633,-4.22473,2,"-4.22473, 58.52633"
219119,5,58.58766,-3.53657,3,"-3.53657, 58.58766"
225295,5,58.58841,-3.54037,2,"-3.54037, 58.58841"
225303,5,58.58737,-3.52287,2,"-3.52287, 58.58737"
225882,5,58.57161,-3.54593,3,"-3.54593, 58.57161"
227305,5,58.59047,-3.53861,2,"-3.53861, 58.59047"
227313,5,58.21853,-4.49598,2,"-4.49598, 58.21853"
229858,5,58.59267,-3.51141,5,"-3.51141, 58.59267"
230367,5,58.59309,-3.52072,11,"-3.52072, 58.59309"
230872,5,58.57137,-3.56533,6,"-3.56533, 58.57137"
232806,5,58.46496,-3.42637,2,"-3.42637, 58.46496"
232821,5,58.60345,-3.54959,3,"-3.54959, 58.60345"
234930,5,58.59143,-3.53474,3,"-3.53474, 58.59143"
234931,5,58.58793,-3.52181,3,"-3.52181, 58.58793"
234932,5,58.59221,-3.5362,2,"-3.5362, 58.59221"
234933,5,58.59167,-3.53508,4,"-3.53508, 58.59167"
234934,5,58.59311,-3.53734,2,"-3.53734, 58.59311"
234935,5,58.59234,-3.53583,2,"-3.53583, 58.59234"
238057,5,58.6227,-3.28146,4,"-3.28146, 58.6227"
241608,5,58.54403,-4.08572,4,"-4.08572, 58.54403"
242328,5,58.38475,-4.36426,2,"-4.36426, 58.38475"
244782,5,58.59556,-3.53501,2,"-3.53501, 58.59556"
245219,5,58.55707,-3.92828,4,"-3.92828, 58.55707"
245232,5,58.55318,-3.91787,2,"-3.91787, 58.55318"
