ori_node,des_node,ori_layer,des_layer,minutes,km
7276,39278,5,5,1,0.653
7276,176953,5,5,1,0.343
7276,196345,5,5,1,0.339
7276,196348,5,5,1,0.535
21614,56273,5,5,1,0.522
21614,80621,5,5,3,1.022
21614,85779,5,5,1,0.447
23669,23669,5,5,1,0
23669,54367,5,5,2,0.253
23669,56586,5,5,1,0.654
23669,161936,5,5,1,0.43
23669,171713,5,5,1,0.514
23669,171720,5,5,6,1.13
23669,206277,5,5,1,0.559
23669,257690,5,5,7,1.014
27141,27141,5,5,1,0
27141,84908,5,5,1,0.403
27141,198076,5,5,6,0.76
27141,235791,5,5,1,0.76
34508,34508,5,5,1,0
34508,99569,5,5,3,1.429
34508,114449,5,5,1,0.877
34508,114452,5,5,2,0.914
34508,177783,5,5,1,0.522
34508,250646,5,5,5,2.682
34508,257349,5,5,1,1.115
39278,7276,5,5,2,0.653
39278,39278,5,5,1,0
39278,52349,5,5,1,0.425
39278,62070,5,5,1,0.399
39278,99311,5,5,4,0.508
39278,135709,5,5,1,0.586
40004,40004,5,5,1,0
40004,56269,5,5,1,0.354
40004,56275,5,5,1,0.445
40004,65869,5,5,2,0.461
40004,183961,5,5,2,0.299
40004,247592,5,5,1,0.47
52340,112798,5,5,1,0.473
52341,62072,5,5,1,0.669
52341,236101,5,5,1,0.055
52342,52340,5,5,1,0.1
52342,88690,5,5,1,0.484
52343,52345,5,5,1,0.308
52344,196346,5,5,1,0.334
52345,52347,5,5,1,0.144
52346,52344,5,5,1,0.121
52347,52348,5,5,2,1.354
52348,39278,5,5,1,0.38
52348,99311,5,5,2,0.394
52348,135709,5,5,1,0.309
52349,52346,5,5,4,1.321
54366,54368,5,5,1,0.265
54367,23669,5,5,1,0.253
54368,112429,5,5,1,0.096
54368,255470,5,5,1,0.083
54369,54371,5,5,1,0.125
54370,54366,5,5,1,0.084
54371,54370,5,5,1,0.172
54373,95225,5,5,1,0.088
54555,98320,5,5,1,0.4
54556,88692,5,5,1,1.002
54557,112563,5,5,1,0.16
56269,56271,5,5,1,0.21
56270,40004,5,5,1,0.261
56271,21614,5,5,1,0.535
56273,56270,5,5,1,0.343
56273,112650,5,5,1,0.281
56273,183961,5,5,2,0.453
56275,65869,5,5,1,0.018
56275,80325,5,5,1,0.13
56275,183960,5,5,1,0.208
56586,106366,5,5,1,0.138
56586,106367,5,5,1,0.181
56587,163066,5,5,1,0.274
56588,56589,5,5,3,0.333
56588,109669,5,5,2,0.349
56589,142165,5,5,1,0.027
56589,171716,5,5,1,0.436
57849,57851,5,5,1,0.195
57850,111277,5,5,1,0.434
57851,67509,5,5,1,0.135
57852,57850,5,5,1,0.226
57853,90281,5,5,1,0.42
57854,57849,5,5,1,0.251
57933,67612,5,5,1,0.206
57934,216549,5,5,2,0.411
57935,216547,5,5,1,0.04
57935,259119,5,5,1,0.325
57936,216546,5,5,1,0.09
57936,239318,5,5,1,0.31
58673,167102,5,5,1,0.108
58673,196349,5,5,1,0.429
59708,59712,5,5,1,0.453
59709,241064,5,5,1,0.774
59711,59713,5,5,1,0.37
59712,59718,5,5,2,0.704
59713,59714,5,5,1,0.341
59714,59709,5,5,1,0.291
59715,59717,5,5,1,0.116
59715,143905,5,5,3,1.121
59716,59715,5,5,1,0.142
59716,260944,5,5,1,0.635
59718,59711,5,5,1,0.252
61076,191970,5,5,1,0.201
61079,73700,5,5,1,0.178
61079,108678,5,5,1,0.089
61083,257689,5,5,1,0.311
61084,124796,5,5,1,0.109
61085,61086,5,5,1,0.206
61085,134681,5,5,1,0.292
61086,131577,5,5,1,0.092
61086,134679,5,5,1,0.193
62069,39278,5,5,1,0.38
62069,99311,5,5,4,0.129
62070,62073,5,5,1,0.355
62070,99311,5,5,1,0.109
62071,52342,5,5,1,0.595
62072,62074,5,5,1,0.517
62073,62071,5,5,1,0.525
62074,62069,5,5,1,0.368
62104,183965,5,5,1,0.227
62108,213092,5,5,1,0.31
62117,193716,5,5,1,0.23
63661,244312,5,5,1,0.52
63661,256748,5,5,1,0.492
63662,92040,5,5,1,0.431
63663,199732,5,5,1,0.393
64021,73465,5,5,1,0.217
64022,64021,5,5,1,0.201
64022,209937,5,5,1,0.077
64023,64024,5,5,1,0.121
64024,216212,5,5,1,0.236
64024,236103,5,5,1,0.217
64025,64022,5,5,1,0.215
64026,226456,5,5,1,0.161
64027,236105,5,5,1,0.094
65603,219530,5,5,2,0.397
65603,229227,5,5,2,0.113
65866,65872,5,5,1,0.196
65867,112647,5,5,1,0.425
65868,65866,5,5,1,0.308
65868,99909,5,5,1,0.106
65868,164423,5,5,1,0.381
65869,80325,5,5,1,0.119
65870,109668,5,5,1,0.119
65871,75305,5,5,1,0.177
65872,65871,5,5,1,0.066
65873,65867,5,5,1,0.187
65991,112797,5,5,1,0.986
66202,73701,5,5,1,0.15
66203,61076,5,5,1,0.187
66203,191970,5,5,1,0.388
66203,207766,5,5,1,0.158
66204,196619,5,5,1,0.397
66205,66204,5,5,1,0.279
66899,229473,5,5,1,0.186
67403,231670,5,5,2,0.272
67501,67508,5,5,1,0.147
67502,67504,5,5,1,0.166
67502,94893,5,5,2,0.851
67502,180088,5,5,1,0.668
67503,67501,5,5,1,0.15
67503,94892,5,5,1,0.193
67504,67505,5,5,1,0.273
67505,177786,5,5,1,0.142
67506,111276,5,5,1,0.217
67506,177219,5,5,2,0.399
67507,67506,5,5,1,0.287
67508,57852,5,5,1,0.244
67509,67502,5,5,1,0.121
67509,94892,5,5,1,0.097
67605,77219,5,5,1,0.119
67606,67609,5,5,1,0.199
67607,67605,5,5,2,0.282
67608,67607,5,5,1,0.198
67608,216550,5,5,1,0.127
67609,67610,5,5,2,0.381
67610,57934,5,5,1,0.162
67611,67608,5,5,2,0.406
67612,67611,5,5,1,0.156
70571,66202,5,5,1,0.13
70572,80326,5,5,2,0.275
70572,95226,5,5,1,0.155
