node,layer,lat,lon,degree,geometry
7276,5,50.43126,-3.68293,18,"-3.68293, 50.43126"
21614,5,50.42538,-3.56206,15,"-3.56206, 50.42538"
23669,5,50.46112,-3.5433,25,"-3.5433, 50.46112"
27141,5,50.47317,-3.54644,17,"-3.54644, 50.47317"
34508,5,50.39604,-3.55695,20,"-3.55695, 50.39604"
39278,5,50.43585,-3.68872,34,"-3.68872, 50.43585"
40004,5,50.4347,-3.5649,50,"-3.5649, 50.4347"
52340,5,50.44719,-3.70976,3,"-3.70976, 50.44719"
52341,5,50.44656,-3.70991,3,"-3.70991, 50.44656"
52342,5,50.44648,-3.70888,3,"-3.70888, 50.44648"
52343,5,50.44634,-3.70925,2,"-3.70925, 50.44634"
52344,5,50.44338,-3.70861,2,"-3.70861, 50.44338"
52345,5,50.44362,-3.70835,2,"-3.70835, 50.44362"
52346,5,50.4423,-3.7083,2,"-3.7083, 50.4423"
52347,5,50.44233,-3.70806,2,"-3.70806, 50.44233"
52348,5,50.43436,-3.69356,4,"-3.69356, 50.43436"
52349,5,50.43442,-3.6943,3,"-3.6943, 50.43442"
54366,5,50.46286,-3.54911,2,"-3.54911, 50.46286"
54367,5,50.46281,-3.54572,2,"-3.54572, 50.46281"
54368,5,50.46313,-3.54538,4,"-3.54538, 50.46313"
54369,5,50.46385,-3.55425,2,"-3.55425, 50.46385"
54370,5,50.46323,-3.55016,2,"-3.55016, 50.46323"
54371,5,50.46367,-3.5525,2,"-3.5525, 50.46367"
54373,5,50.46569,-3.5541,3,"-3.5541, 50.46569"
54555,5,50.44143,-3.73082,2,"-3.73082, 50.44143"
54556,5,50.45797,-3.72992,3,"-3.72992, 50.45797"
54557,5,50.42988,-3.69126,4,"-3.69126, 50.42988"
56269,5,50.43155,-3.56573,2,"-3.56573, 50.43155"
56270,5,50.43253,-3.56635,2,"-3.56635, 50.43253"
56271,5,50.42966,-3.56554,2,"-3.56554, 50.42966"
56273,5,50.42946,-3.56573,5,"-3.56573, 50.42946"
56275,5,50.4383,-3.56767,4,"-3.56767, 50.4383"
56586,5,50.46677,-3.54067,4,"-3.54067, 50.46677"
56587,5,50.47836,-3.56381,2,"-3.56381, 50.47836"
56588,5,50.45817,-3.52424,3,"-3.52424, 50.45817"
56589,5,50.46117,-3.52428,4,"-3.52428, 50.46117"
57849,5,50.38096,-3.52981,2,"-3.52981, 50.38096"
57850,5,50.37911,-3.53258,2,"-3.53258, 50.37911"
57851,5,50.38201,-3.52759,2,"-3.52759, 50.38201"
57852,5,50.38063,-3.53045,2,"-3.53045, 50.38063"
57853,5,50.37395,-3.5441,2,"-3.5441, 50.37395"
57854,5,50.37943,-3.53243,2,"-3.53243, 50.37943"
57933,5,50.47315,-3.51801,2,"-3.51801, 50.47315"
57934,5,50.47188,-3.51586,2,"-3.51586, 50.47188"
57935,5,50.47232,-3.52773,4,"-3.52773, 50.47232"
57936,5,50.47187,-3.52743,3,"-3.52743, 50.47187"
58673,5,50.43248,-3.66932,5,"-3.66932, 50.43248"
59708,5,50.3567,-3.56322,2,"-3.56322, 50.3567"
59709,5,50.35904,-3.56137,2,"-3.56137, 50.35904"
59711,5,50.35107,-3.56717,2,"-3.56717, 50.35107"
59712,5,50.35279,-3.56135,2,"-3.56135, 50.35279"
59713,5,50.35369,-3.56394,2,"-3.56394, 50.35369"
59714,5,50.35675,-3.56339,2,"-3.56339, 50.35675"
59715,5,50.53998,-3.51066,4,"-3.51066, 50.53998"
59716,5,50.54093,-3.50931,3,"-3.50931, 50.54093"
59717,5,50.54079,-3.5096,3,"-3.5096, 50.54079"
59718,5,50.3498,-3.57012,2,"-3.57012, 50.3498"
61076,5,50.45218,-3.56465,2,"-3.56465, 50.45218"
61079,5,50.44472,-3.57322,3,"-3.57322, 50.44472"
61083,5,50.45003,-3.57551,3,"-3.57551, 50.45003"
61084,5,50.44638,-3.57401,3,"-3.57401, 50.44638"
61085,5,50.45061,-3.57885,3,"-3.57885, 50.45061"
61086,5,50.45005,-3.57607,4,"-3.57607, 50.45005"
62069,5,50.43743,-3.6935,4,"-3.6935, 50.43743"
62070,5,50.43742,-3.69381,4,"-3.69381, 50.43742"
62071,5,50.44302,-3.70244,2,"-3.70244, 50.44302"
62072,5,50.44304,-3.70222,3,"-3.70222, 50.44304"
62073,5,50.44008,-3.69662,2,"-3.69662, 50.44008"
62074,5,50.44017,-3.69645,2,"-3.69645, 50.44017"
62104,5,50.43827,-3.55994,2,"-3.55994, 50.43827"
62108,5,50.44277,-3.55945,2,"-3.55945, 50.44277"
62117,5,50.44203,-3.55833,3,"-3.55833, 50.44203"
63661,5,50.50804,-3.58065,3,"-3.58065, 50.50804"
63662,5,50.50459,-3.58016,2,"-3.58016, 50.50459"
63663,5,50.49971,-3.57865,2,"-3.57865, 50.49971"
64021,5,50.4739,-3.55689,2,"-3.55689, 50.4739"
64022,5,50.47447,-3.5596,3,"-3.5596, 50.47447"
64023,5,50.47459,-3.56072,2,"-3.56072, 50.47459"
64024,5,50.47528,-3.56206,3,"-3.56206, 50.47528"
64025,5,50.47591,-3.56165,3,"-3.56165, 50.47591"
64026,5,50.47928,-3.56767,2,"-3.56767, 50.47928"
64027,5,50.4732,-3.55621,2,"-3.55621, 50.4732"
65603,5,50.46168,-3.51198,4,"-3.51198, 50.46168"
65866,5,50.43721,-3.5776,3,"-3.5776, 50.43721"
65867,5,50.43778,-3.57482,2,"-3.57482, 50.43778"
65868,5,50.43779,-3.57334,5,"-3.57334, 50.43779"
65869,5,50.43847,-3.56766,3,"-3.56766, 50.43847"
65870,5,50.43614,-3.58151,2,"-3.58151, 50.43614"
65871,5,50.43623,-3.58098,2,"-3.58098, 50.43623"
65872,5,50.43649,-3.58014,2,"-3.58014, 50.43649"
65873,5,50.43733,-3.57737,2,"-3.57737, 50.43733"
65991,5,50.4542,-3.71727,3,"-3.71727, 50.4542"
66202,5,50.44355,-3.56936,2,"-3.56936, 50.44355"
66203,5,50.45313,-3.56685,5,"-3.56685, 50.45313"
66204,5,50.45454,-3.57595,2,"-3.57595, 50.45454"
66205,5,50.45366,-3.57225,2,"-3.57225, 50.45366"
66899,5,50.39346,-3.50591,2,"-3.50591, 50.39346"
67403,5,50.46639,-3.51932,2,"-3.51932, 50.46639"
67501,5,50.38286,-3.52619,3,"-3.52619, 50.38286"
67502,5,50.38353,-3.52489,6,"-3.52489, 50.38353"
67503,5,50.38359,-3.5244,5,"-3.5244, 50.38359"
67504,5,50.38442,-3.52299,2,"-3.52299, 50.38442"
67505,5,50.38602,-3.52006,3,"-3.52006, 50.38602"
67506,5,50.38592,-3.52021,3,"-3.52021, 50.38592"
67507,5,50.38731,-3.51679,2,"-3.51679, 50.38731"
67508,5,50.38189,-3.52762,2,"-3.52762, 50.38189"
67509,5,50.3829,-3.52629,3,"-3.52629, 50.3829"
67605,5,50.47495,-3.5129,2,"-3.5129, 50.47495"
67606,5,50.47581,-3.51654,2,"-3.51654, 50.47581"
67607,5,50.47586,-3.51664,3,"-3.51664, 50.47586"
67608,5,50.47413,-3.51734,3,"-3.51734, 50.47413"
67609,5,50.47403,-3.51694,2,"-3.51694, 50.47403"
67610,5,50.47123,-3.5138,2,"-3.5138, 50.47123"
67611,5,50.47119,-3.51392,2,"-3.51392, 50.47119"
67612,5,50.47197,-3.51576,2,"-3.51576, 50.47197"
70571,5,50.44246,-3.57006,2,"-3.57006, 50.44246"
70572,5,50.44374,-3.56931,4,"-3.56931, 50.44374"
70573,5,50.48333,-3.55641,4,"-3.55641, 50.48333"
70574,5,50.48045,-3.56354,4,"-3.56354, 50.48045"
70575,5,50.47708,-3.52795,2,"-3.52795, 50.47708"
70576,5,50.4832,-3.55642,2,"-3.55642, 50.4832"
70577,5,50.48284,-3.53328,5,"-3.53328, 50.48284"
70578,5,50.48031,-3.52758,3,"-3.52758, 50.48031"
70579,5,50.48467,-3.54429,3,"-3.54429, 50.48467"
70580,5,50.48465,-3.5439,4,"-3.5439, 50.48465"
72561,5,50.48559,-3.56352,8,"-3.56352, 50.48559"
73462,5,50.4714,-3.5528,4,"-3.5528, 50.4714"
73463,5,50.46948,-3.5522,2,"-3.5522, 50.46948"
73464,5,50.47303,-3.55508,2,"-3.55508, 50.47303"
73465,5,50.4727,-3.55446,2,"-3.55446, 50.4727"
73466,5,50.47141,-3.55288,3,"-3.55288, 50.47141"
