ori_node,des_node,ori_layer,des_layer,minutes,km
3057,19881,4,4,5,2.764
3057,22891,4,4,10,6.499
7151,48176,4,4,3,2.115
7582,31546,4,4,10,5.169
10840,237704,4,4,8,6.697
19881,3057,4,4,5,2.764
19881,22891,4,4,5,3.776
22891,3057,4,4,15,6.499
22891,19881,4,4,4,3.776
22891,48176,4,4,2,2.045
31546,7582,4,4,10,5.169
31546,70231,4,4,5,4.997
47083,49508,4,4,25,12.291
48176,7151,4,4,3,2.115
48176,22891,4,4,2,2.045
49508,47083,4,4,25,12.291
49508,70231,4,4,15,7.811
70231,31546,4,4,10,4.997
70231,49508,4,4,10,7.811
114598,10840,4,4,10,6.618
