node,layer,lat,lon,degree,geometry
3057,4,51.46249,-2.1154,58,"-2.1154, 51.46249"
7151,4,51.41799,-2.24964,13,"-2.24964, 51.41799"
7582,4,51.35409,-1.99594,4,"-1.99594, 51.35409"
10840,4,51.20677,-2.17675,26,"-2.17675, 51.20677"
19881,4,51.44783,-2.14769,19,"-2.14769, 51.44783"
22891,4,51.43452,-2.19791,21,"-2.19791, 51.43452"
31546,4,51.35725,-2.07033,19,"-2.07033, 51.35725"
47083,4,51.2315,-2.32104,27,"-2.32104, 51.2315"
48176,4,51.43065,-2.2268,14,"-2.2268, 51.43065"
49508,4,51.31983,-2.21435,59,"-2.21435, 51.31983"
70231,4,51.37186,-2.13852,15,"-2.13852, 51.37186"
114598,4,51.18026,-2.09156,10,"-2.09156, 51.18026"
237704,4,51.17996,-2.09052,10,"-2.09052, 51.17996"
