ori_node,des_node,ori_layer,des_layer,minutes,km
3057,7761,2,2,9,9.397
7761,3057,2,2,8,9.397
7761,49508,2,2,9,8.235
10840,37020,2,2,4,5.049
10840,39358,2,2,5,6.864
23935,49508,2,2,5,3.833
23935,202423,2,2,2,2.094
37020,10840,2,2,4,5.049
37020,39358,2,2,3,2.184
39358,10840,2,2,5,6.864
39358,37020,2,2,2,2.184
39358,44388,2,2,8,8.875
39358,49508,2,2,4,5.961
44388,39358,2,2,8,8.875
49508,7761,2,2,9,8.235
49508,23935,2,2,5,3.833
49508,39358,2,2,6,5.961
202423,23935,2,2,3,2.094
202423,49508,2,2,8,5.142
