node,layer,lat,lon,degree,geometry
1264,2,51.28976,0.19424,31,"0.19424, 51.28976"
1806,2,51.04638,0.18802,19,"0.18802, 51.04638"
3517,2,51.31316,0.19679,28,"0.19679, 51.31316"
7218,2,51.07346,0.31319,18,"0.31319, 51.07346"
9470,2,51.08896,0.20144,12,"0.20144, 51.08896"
10350,2,51.34579,0.13086,13,"0.13086, 51.34579"
11706,2,51.21448,0.2276,12,"0.2276, 51.21448"
14257,2,50.99001,0.13145,15,"0.13145, 50.99001"
14605,2,51.27686,0.18168,35,"0.18168, 51.27686"
16626,2,51.1939,0.21051,22,"0.21051, 51.1939"
21164,2,51.1494,0.27735,17,"0.27735, 51.1494"
21573,2,51.15563,0.11004,12,"0.11004, 51.15563"
23990,2,51.33222,0.1889,14,"0.1889, 51.33222"
27430,2,51.20008,0.06718,35,"0.06718, 51.20008"
29258,2,51.18226,0.38917,26,"0.38917, 51.18226"
29778,2,51.19141,0.27099,35,"0.27099, 51.19141"
31888,2,51.19733,0.17348,23,"0.17348, 51.19733"
32066,2,51.10402,0.29456,12,"0.29456, 51.10402"
35828,2,51.01054,0.44237,22,"0.44237, 51.01054"
45782,2,51.13023,0.26282,41,"0.26282, 51.13023"
50895,2,51.12866,0.15266,13,"0.15266, 51.12866"
51821,2,51.18141,0.09508,4,"0.09508, 51.18141"
52919,2,51.01997,0.36388,4,"0.36388, 51.01997"
203011,2,51.29718,0.24744,4,"0.24744, 51.29718"
262044,2,51.29649,0.17095,4,"0.17095, 51.29649"
