node,layer,lat,lon,degree,geometry
53320,5,57.66219,-2.7468,2,"-2.7468, 57.66219"
53611,5,57.66882,-2.32417,3,"-2.32417, 57.66882"
55325,5,57.5587,-2.32465,5,"-2.32465, 57.5587"
56815,5,57.66432,-2.5216,2,"-2.5216, 57.66432"
56921,5,57.67078,-2.58543,2,"-2.58543, 57.67078"
57222,5,57.6663,-2.52375,3,"-2.52375, 57.6663"
57406,5,57.66617,-2.49497,2,"-2.49497, 57.66617"
58433,5,57.64531,-2.65208,2,"-2.65208, 57.64531"
59745,5,57.68229,-2.74915,4,"-2.74915, 57.68229"
63924,5,57.6515,-2.43822,4,"-2.43822, 57.6515"
65446,5,57.67003,-2.49045,2,"-2.49045, 57.67003"
66708,5,57.5333,-2.461,2,"-2.461, 57.5333"
66841,5,57.66841,-2.52383,2,"-2.52383, 57.66841"
66842,5,57.66874,-2.52508,2,"-2.52508, 57.66874"
71309,5,57.53958,-2.45699,6,"-2.45699, 57.53958"
71310,5,57.5398,-2.45535,3,"-2.45535, 57.5398"
71875,5,57.66266,-2.58496,5,"-2.58496, 57.66266"
72906,5,57.62392,-2.35451,2,"-2.35451, 57.62392"
74237,5,57.54082,-2.45213,3,"-2.45213, 57.54082"
74370,5,57.53618,-2.45977,3,"-2.45977, 57.53618"
74859,5,57.66768,-2.52607,2,"-2.52607, 57.66768"
75060,5,57.67427,-2.32429,2,"-2.32429, 57.67427"
77706,5,57.67009,-2.48567,3,"-2.48567, 57.67009"
77730,5,57.61947,-2.61718,2,"-2.61718, 57.61947"
78135,5,57.57893,-2.44367,2,"-2.44367, 57.57893"
78724,5,57.53626,-2.46044,2,"-2.46044, 57.53626"
79709,5,57.6645,-2.48901,2,"-2.48901, 57.6645"
80030,5,57.50912,-2.34639,6,"-2.34639, 57.50912"
80635,5,57.56025,-2.62853,8,"-2.62853, 57.56025"
81006,5,57.61054,-2.47825,2,"-2.47825, 57.61054"
81197,5,57.49724,-2.67603,4,"-2.67603, 57.49724"
81615,5,57.66501,-2.51889,2,"-2.51889, 57.66501"
81616,5,57.66472,-2.51837,2,"-2.51837, 57.66472"
82033,5,57.60479,-2.34038,5,"-2.34038, 57.60479"
82525,5,57.54216,-2.46395,4,"-2.46395, 57.54216"
83007,5,57.66673,-2.52874,2,"-2.52874, 57.66673"
83008,5,57.66669,-2.52646,2,"-2.52646, 57.66669"
83173,5,57.66793,-2.33388,2,"-2.33388, 57.66793"
83246,5,57.66818,-2.334,2,"-2.334, 57.66818"
85655,5,57.53749,-2.44357,2,"-2.44357, 57.53749"
90273,5,57.58346,-2.67472,2,"-2.67472, 57.58346"
91159,5,57.66229,-2.53204,4,"-2.53204, 57.66229"
91487,5,57.67537,-2.64601,2,"-2.64601, 57.67537"
92147,5,57.54178,-2.46955,2,"-2.46955, 57.54178"
92223,5,57.63221,-2.59285,2,"-2.59285, 57.63221"
92650,5,57.66684,-2.53124,7,"-2.53124, 57.66684"
92651,5,57.66721,-2.53178,6,"-2.53178, 57.66721"
92823,5,57.67026,-2.57928,5,"-2.57928, 57.67026"
93664,5,57.66248,-2.60536,4,"-2.60536, 57.66248"
94129,5,57.63521,-2.56069,6,"-2.56069, 57.63521"
95493,5,57.54549,-2.47404,2,"-2.47404, 57.54549"
99845,5,57.61122,-2.69723,2,"-2.69723, 57.61122"
99925,5,57.59341,-2.62084,4,"-2.62084, 57.59341"
100274,5,57.53746,-2.46247,12,"-2.46247, 57.53746"
100275,5,57.53757,-2.46233,3,"-2.46233, 57.53757"
100860,5,57.56214,-2.62275,2,"-2.62275, 57.56214"
100861,5,57.56204,-2.62271,3,"-2.62271, 57.56204"
101061,5,57.66448,-2.48876,3,"-2.48876, 57.66448"
101266,5,57.53849,-2.46075,4,"-2.46075, 57.53849"
102751,5,57.63945,-2.40912,2,"-2.40912, 57.63945"
103739,5,57.67637,-2.57973,2,"-2.57973, 57.67637"
109694,5,57.56126,-2.62571,3,"-2.62571, 57.56126"
109695,5,57.55939,-2.62756,2,"-2.62756, 57.55939"
109968,5,57.53469,-2.46199,2,"-2.46199, 57.53469"
109969,5,57.5352,-2.46176,2,"-2.46176, 57.5352"
110590,5,57.54064,-2.45271,4,"-2.45271, 57.54064"
112237,5,57.66477,-2.52972,2,"-2.52972, 57.66477"
112848,5,57.65905,-2.53878,1,"-2.53878, 57.65905"
112867,5,57.55172,-2.44152,3,"-2.44152, 57.55172"
112907,5,57.54235,-2.3306,2,"-2.3306, 57.54235"
112910,5,57.54241,-2.33073,6,"-2.33073, 57.54241"
112968,5,57.66157,-2.58704,6,"-2.58704, 57.66157"
117977,5,57.57505,-2.29949,2,"-2.29949, 57.57505"
117978,5,57.57503,-2.29931,2,"-2.29931, 57.57503"
118633,5,57.66399,-2.49259,5,"-2.49259, 57.66399"
118916,5,57.66358,-2.51522,2,"-2.51522, 57.66358"
119926,5,57.53909,-2.46001,3,"-2.46001, 57.53909"
120505,5,57.46373,-2.47978,2,"-2.47978, 57.46373"
121167,5,57.65825,-2.60131,3,"-2.60131, 57.65825"
121492,5,57.66734,-2.47977,2,"-2.47977, 57.66734"
121958,5,57.66353,-2.53669,6,"-2.53669, 57.66353"
122646,5,57.55673,-2.53196,2,"-2.53196, 57.55673"
124315,5,57.67083,-2.49324,3,"-2.49324, 57.67083"
124912,5,57.53213,-2.45646,2,"-2.45646, 57.53213"
127576,5,57.57641,-2.29892,4,"-2.29892, 57.57641"
127577,5,57.57657,-2.29875,2,"-2.29875, 57.57657"
128415,5,57.66751,-2.48701,2,"-2.48701, 57.66751"
128989,5,57.67118,-2.49428,3,"-2.49428, 57.67118"
129316,5,57.62778,-2.71945,6,"-2.71945, 57.62778"
129941,5,57.59442,-2.2996,5,"-2.2996, 57.59442"
130922,5,57.65,-2.63891,8,"-2.63891, 57.65"
131204,5,57.66348,-2.51486,2,"-2.51486, 57.66348"
