node,layer,lat,lon,degree,geometry
115,5,52.58559,-4.09357,20,"-4.09357, 52.58559"
3005,5,52.72291,-4.05661,20,"-4.05661, 52.72291"
5365,5,52.86134,-4.1092,14,"-4.1092, 52.86134"
10706,5,52.74152,-4.07719,13,"-4.07719, 52.74152"
10995,5,52.83072,-4.11217,12,"-4.11217, 52.83072"
18429,5,52.69606,-4.04943,14,"-4.04943, 52.69606"
54307,5,52.73394,-3.82844,4,"-3.82844, 52.73394"
54308,5,52.75236,-3.82512,2,"-3.82512, 52.75236"
55046,5,52.95537,-3.95543,3,"-3.95543, 52.95537"
56542,5,52.74552,-3.88244,6,"-3.88244, 52.74552"
56543,5,52.74612,-3.86098,9,"-3.86098, 52.74612"
56544,5,52.74237,-3.88023,6,"-3.88023, 52.74237"
56545,5,52.74417,-3.83798,3,"-3.83798, 52.74417"
56547,5,52.75279,-3.82403,3,"-3.82403, 52.75279"
56548,5,52.75874,-3.8205,2,"-3.8205, 52.75874"
56910,5,52.58658,-4.08863,3,"-4.08863, 52.58658"
59625,5,52.94469,-3.98833,2,"-3.98833, 52.94469"
63326,5,52.58833,-4.08265,3,"-4.08265, 52.58833"
63328,5,52.58656,-4.08836,5,"-4.08836, 52.58656"
63331,5,52.59097,-4.10269,2,"-4.10269, 52.59097"
63332,5,52.58485,-4.08818,7,"-4.08818, 52.58485"
63333,5,52.58181,-4.09883,4,"-4.09883, 52.58181"
63856,5,52.85479,-3.66779,2,"-3.66779, 52.85479"
63962,5,52.94718,-3.649,2,"-3.649, 52.94718"
63964,5,52.94013,-3.6318,2,"-3.6318, 52.94013"
63965,5,52.92518,-3.65644,2,"-3.65644, 52.92518"
63966,5,52.92852,-3.66943,2,"-3.66943, 52.92852"
66178,5,52.76494,-3.82372,4,"-3.82372, 52.76494"
66179,5,52.76487,-3.82366,4,"-3.82366, 52.76487"
66813,5,52.92685,-3.63688,2,"-3.63688, 52.92685"
66814,5,52.90083,-3.61551,3,"-3.61551, 52.90083"
66852,5,52.89814,-3.92038,2,"-3.92038, 52.89814"
67388,5,52.84647,-3.90938,2,"-3.90938, 52.84647"
67410,5,52.74252,-3.88578,12,"-3.88578, 52.74252"
68694,5,52.73242,-3.76017,2,"-3.76017, 52.73242"
68697,5,52.71918,-3.69116,3,"-3.69116, 52.71918"
72834,5,52.63985,-3.96463,2,"-3.96463, 52.63985"
72835,5,52.62302,-3.99705,2,"-3.99705, 52.62302"
72836,5,52.64405,-3.95648,3,"-3.95648, 52.64405"
72838,5,52.61012,-4.05634,2,"-4.05634, 52.61012"
72839,5,52.66715,-3.90444,4,"-3.90444, 52.66715"
72841,5,52.61472,-4.07198,2,"-4.07198, 52.61472"
72844,5,52.61095,-4.04072,2,"-4.04072, 52.61095"
76052,5,52.95537,-3.95559,3,"-3.95559, 52.95537"
80408,5,52.72543,-4.05747,2,"-4.05747, 52.72543"
80410,5,52.73039,-4.06231,3,"-4.06231, 52.73039"
80603,5,52.844,-3.69497,3,"-3.69497, 52.844"
80611,5,52.87058,-3.66218,2,"-3.66218, 52.87058"
80612,5,52.87348,-3.65551,2,"-3.65551, 52.87348"
80613,5,52.8774,-3.65228,3,"-3.65228, 52.8774"
80750,5,52.75237,-3.90246,4,"-3.90246, 52.75237"
82466,5,52.66768,-3.90301,2,"-3.90301, 52.66768"
82474,5,52.65358,-3.84493,2,"-3.84493, 52.65358"
82476,5,52.65101,-3.84299,3,"-3.84299, 52.65101"
82545,5,52.62847,-4.06853,2,"-4.06853, 52.62847"
82546,5,52.632,-4.06192,2,"-4.06192, 52.632"
82548,5,52.65771,-4.09625,2,"-4.09625, 52.65771"
82549,5,52.66437,-4.08477,2,"-4.08477, 52.66437"
82550,5,52.66812,-4.08418,2,"-4.08418, 52.66812"
82551,5,52.67462,-4.07792,2,"-4.07792, 52.67462"
82552,5,52.62732,-4.07099,3,"-4.07099, 52.62732"
82554,5,52.63082,-4.10346,2,"-4.10346, 52.63082"
83322,5,52.60574,-4.05605,3,"-4.05605, 52.60574"
91870,5,52.69701,-3.68437,9,"-3.68437, 52.69701"
92171,5,52.69055,-4.04824,2,"-4.04824, 52.69055"
94177,5,52.7754,-4.09238,2,"-4.09238, 52.7754"
96359,5,52.91911,-3.5684,2,"-3.5684, 52.91911"
100291,5,52.71914,-3.69098,3,"-3.69098, 52.71914"
103851,5,52.7341,-3.8278,2,"-3.8278, 52.7341"
103859,5,52.74609,-3.86082,4,"-3.86082, 52.74609"
106542,5,52.74501,-3.88562,5,"-3.88562, 52.74501"
107641,5,52.61002,-4.05642,2,"-4.05642, 52.61002"
107840,5,52.72032,-4.05327,3,"-4.05327, 52.72032"
107841,5,52.72625,-4.06267,3,"-4.06267, 52.72625"
107843,5,52.72962,-4.06648,2,"-4.06648, 52.72962"
110696,5,52.63744,-3.83707,3,"-3.83707, 52.63744"
111955,5,52.84332,-4.11806,2,"-4.11806, 52.84332"
113311,5,52.78123,-3.77615,2,"-3.77615, 52.78123"
113312,5,52.78294,-3.77255,2,"-3.77255, 52.78294"
113314,5,52.78107,-3.77628,2,"-3.77628, 52.78107"
