ori_node,des_node,ori_layer,des_layer,minutes,km
1,16405,4,4,7,4.487
1,18767,4,4,5,2.497
27,13526,4,4,5,4.801
86,813,4,4,30,25.481
86,7382,4,4,15,9.636
86,33675,4,4,10,6.601
96,10156,4,4,15,5.686
96,84057,4,4,10,8.823
221,222,4,4,15,6.069
221,108338,4,4,40,27.783
222,221,4,4,15,6.069
222,41573,4,4,45,39.136
234,13894,4,4,3,1.366
234,122631,4,4,2,0.783
435,3960,4,4,5,1.913
435,104268,4,4,12,4.062
474,2015,4,4,25,18.264
474,18332,4,4,30,20.725
549,24108,4,4,5,2.358
549,103258,4,4,12,14.732
566,43210,4,4,10,4.914
566,47492,4,4,75,47.965
621,129041,4,4,20,9.382
621,197166,4,4,20,20.116
641,10312,4,4,5,4.913
641,32075,4,4,5,4.518
642,28709,4,4,5,3.004
674,14615,4,4,7,1.686
674,17849,4,4,2,0.754
726,44886,4,4,4,2.429
726,47730,4,4,17,11.7
728,15616,4,4,3,1.352
728,46669,4,4,2,1.923
813,86,4,4,35,25.481
813,16358,4,4,20,10.575
816,9433,4,4,15,6.573
816,23407,4,4,15,4.535
999,2837,4,4,30,13.653
999,21635,4,4,60,60.163
999,43699,4,4,30,39.697
1065,16823,4,4,15,4.384
1166,12205,4,4,20,4.787
1166,32648,4,4,30,5.756
1166,38876,4,4,15,1.658
1201,26988,4,4,8,7.176
1295,25945,4,4,45,37.286
1295,31793,4,4,55,60.498
1295,73483,4,4,15,16.949
1295,163666,4,4,60,58.39
1405,22717,4,4,7,5.421
1405,27293,4,4,3,1.16
1459,5826,4,4,10,9.042
1459,35987,4,4,10,5.918
1459,228601,4,4,5,2.131
1508,5273,4,4,20,16.731
1508,7399,4,4,30,21.732
1508,7920,4,4,170,204.227
1508,10494,4,4,5,0.881
1508,16401,4,4,5,1.429
1508,47492,4,4,130,209.746
1508,112655,4,4,45,40.351
1508,192528,4,4,140,145.693
1508,227498,4,4,25,16.826
1508,231447,4,4,170,205.939
1807,26495,4,4,40,33.666
1807,31358,4,4,50,42.239
1807,40903,4,4,55,48.555
1807,45116,4,4,60,57.852
1807,191014,4,4,20,24.731
1807,218707,4,4,95,114.494
1943,22180,4,4,5,0.947
2015,474,4,4,25,18.264
2015,21635,4,4,30,25.389
2015,30076,4,4,16,12.648
2015,30473,4,4,60,58.871
2015,36615,4,4,10,8.628
2015,43699,4,4,40,45.356
2015,49569,4,4,20,16.582
2185,31793,4,4,10,4.937
2185,46669,4,4,2,0.814
2194,18050,4,4,5,3.921
2194,18462,4,4,10,4.499
2535,39525,4,4,5,1.327
2535,186483,4,4,13,7.489
2705,7216,4,4,5,2.286
2705,43880,4,4,15,10.364
2705,253288,4,4,5,3.526
2733,15386,4,4,10,10.3
2733,29757,4,4,15,11.095
2837,999,4,4,35,13.653
2837,11221,4,4,45,23.083
2837,12281,4,4,18,5.916
2837,17730,4,4,85,95.628
2837,22746,4,4,80,82.695
2837,30473,4,4,50,39.101
2837,31874,4,4,45,42.687
2837,32383,4,4,80,73.934
2837,33745,4,4,3,2.003
2837,35705,4,4,85,109.415
2837,35743,4,4,20,9.09
2837,42918,4,4,15,6.139
2837,43228,4,4,60,69.638
2837,44164,4,4,18,5.797
2837,47492,4,4,30,10.956
2837,93267,4,4,60,65.357
2837,225762,4,4,55,62.239
3057,8561,4,4,35,25.5
3057,17543,4,4,25,19.197
3057,19881,4,4,5,2.764
3057,22891,4,4,10,6.499
3057,26856,4,4,20,8.119
3057,43531,4,4,55,72.999
3057,116957,4,4,17,21.026
3268,26619,4,4,25,24.35
3268,31481,4,4,25,23.38
3486,30594,4,4,5,4.209
3486,179073,4,4,25,8.565
3486,219191,4,4,10,7.502
3498,16026,4,4,10,4.417
3498,49630,4,4,2,1.554
3518,65081,4,4,10,6.001
3518,114286,4,4,15,7.766
3518,139226,4,4,3,3.676
3522,260164,4,4,25,9.839
3607,20945,4,4,20,12.723
3607,21206,4,4,5,3.939
3772,5334,4,4,24,18.716
3921,15912,4,4,17,13.076
3921,122975,4,4,10,7.848
3921,232123,4,4,25,20.655
3922,82408,4,4,20,10.752
3922,91994,4,4,30,21.666
3922,189501,4,4,10,7.558
3937,26747,4,4,20,14.382
3937,33137,4,4,5,4.531
3960,435,4,4,6,1.913
3960,238316,4,4,5,3.937
4196,12951,4,4,20,11.813
4196,43678,4,4,5,1.213
4196,131828,4,4,5,3.916
4341,11469,4,4,18,10.082
4341,29414,4,4,15,7.834
4342,20123,4,4,20,8.352
4342,98760,4,4,10,5.715
4350,6704,4,4,5,2.377
4350,17092,4,4,10,3.707
4352,32014,4,4,20,13.91
4352,261032,4,4,20,18.34
4379,28843,4,4,15,4.708
4465,26236,4,4,5,1.571
4465,29414,4,4,10,4.363
4515,5590,4,4,25,13.119
4515,26198,4,4,10,4.728
4515,37490,4,4,15,12.939
4700,35070,4,4,7,11.509
4919,40210,4,4,25,15.623
4919,43390,4,4,15,6.93
5044,11530,4,4,15,13.882
5044,15522,4,4,150,130.187
5044,38398,4,4,30,43.166
5044,169603,4,4,120,117.773
5047,48977,4,4,15,9.047
5047,111408,4,4,12,10.926
5061,30341,4,4,10,5.216
5061,41317,4,4,10,6.919
5080,20123,4,4,30,21.105
5080,28163,4,4,10,9.644
5080,31544,4,4,5,1.155
5080,36943,4,4,30,16.54
5080,37047,4,4,160,147.339
5080,92563,4,4,25,22.708
5080,98760,4,4,15,9.339
5080,172535,4,4,35,16.574
5080,183407,4,4,15,11.853
5080,185587,4,4,10,1.131
5080,191014,4,4,150,184.858
5080,201953,4,4,50,58.393
5178,47793,4,4,3,2.222
5178,50957,4,4,3,2.517
5273,1508,4,4,20,16.731
5273,7920,4,4,155,191.868
5273,13096,4,4,25,23.211
5273,16401,4,4,25,17.75
5273,67945,4,4,35,31.573
5273,144126,4,4,120,124.084
5273,161217,4,4,80,90.023
5273,174320,4,4,35,31.1
5273,231447,4,4,160,193.574
5334,5334,4,4,5,0
5334,11214,4,4,25,16.504
5334,29338,4,4,40,34.635
5334,31481,4,4,115,136.141
5334,37047,4,4,65,66.862
5334,40520,4,4,25,10.958
5334,42006,4,4,105,103.665
5334,45809,4,4,22,18.714
5334,46311,4,4,20,11.301
5334,84375,4,4,45,52.595
5334,104522,4,4,25,30.673
5334,118527,4,4,20,16.475
5334,142850,4,4,10,8.841
5334,180647,4,4,190,253.582
5334,195396,4,4,25,16.436
5334,200757,4,4,55,50.504
5334,212592,4,4,159,194.116
5334,234988,4,4,8,2.869
5397,12281,4,4,5,0.956
5397,13745,4,4,7,0.924
5397,47492,4,4,35,4.155
5590,4515,4,4,35,13.119
5590,14170,4,4,60,47.083
5590,24916,4,4,20,10.246
5590,28135,4,4,15,4.915
5590,47681,4,4,15,6.913
5590,47884,4,4,90,98.259
5590,153298,4,4,38,37.768
5590,246845,4,4,20,13.949
5590,255667,4,4,45,36.561
5743,32494,4,4,4,3.514
5743,46743,4,4,9,8.745
5749,12951,4,4,25,23.66
5749,17169,4,4,45,58.007
5749,31712,4,4,55,74.518
5749,47492,4,4,105,87.702
5749,68059,4,4,10,1.295
5749,131828,4,4,20,20.895
5749,199057,4,4,30,35.389
5749,215636,4,4,5,3.095
5823,31874,4,4,45,25.023
5823,36746,4,4,45,22.605
5823,40210,4,4,15,11.344
5826,1459,4,4,10,9.042
5826,35987,4,4,25,14.725
5826,108338,4,4,35,23.816
5826,122631,4,4,15,3.858
5826,228601,4,4,10,6.911
6141,20444,4,4,8,8.553
6141,28163,4,4,5,2.58
6236,37582,4,4,5,6.021
6244,16192,4,4,2,0.803
6244,45024,4,4,5,2.581
6308,33137,4,4,5,4.332
6308,83779,4,4,10,7.785
6436,46363,4,4,25,21.198
6436,163183,4,4,15,10.798
6441,8880,4,4,10,11.859
6441,26348,4,4,2,0.947
6448,6929,4,4,2,1.519
6448,21206,4,4,5,4.024
6448,33682,4,4,7,2.827
6605,39114,4,4,10,7.487
6605,169609,4,4,40,28.97
6669,9487,4,4,3,1.474
6669,163792,4,4,4,2.906
6704,4350,4,4,5,2.377
6704,21600,4,4,10,1.133
6878,35928,4,4,15,7.201
6878,104268,4,4,10,9.335
6929,6448,4,4,2,1.519
6929,21206,4,4,5,2.636
7151,17543,4,4,15,8.681
7151,48176,4,4,3,2.115
7216,2705,4,4,3,2.286
7216,9430,4,4,5,4.773
7216,22098,4,4,20,9.647
7267,20749,4,4,3,1.614
7267,22888,4,4,3,3.007
7267,209812,4,4,10,3.91
7272,40349,4,4,5,2.023
7272,45405,4,4,15,22.372
7276,40004,4,4,11,8.356
7276,173852,4,4,30,29.082
7300,24841,4,4,210,271.763
7300,185248,4,4,195,255.397
7300,245927,4,4,175,229.197
7351,35743,4,4,5,1.766
7351,47492,4,4,10,1.38
7356,13518,4,4,3,0.602
7356,38938,4,4,3,2.018
7382,86,4,4,15,9.636
7382,16358,4,4,40,32.114
7382,17847,4,4,8,4.598
7382,45825,4,4,5,3.25
7382,109630,4,4,15,6.508
7399,1508,4,4,40,21.732
7399,10494,4,4,45,22.576
7399,192528,4,4,120,124.443
7399,227498,4,4,15,7.51
7465,102289,4,4,3,0.739
7465,193647,4,4,4,0.801
7559,10875,4,4,5,2.816
7559,39591,4,4,3,1.703
7564,19714,4,4,5,3.521
7564,132572,4,4,8,5.651
7564,178252,4,4,7,5.62
7569,66176,4,4,15,9.86
7571,17867,4,4,5,3.871
7571,32413,4,4,5,1.31
7579,12162,4,4,35,21.977
7579,26865,4,4,10,16.178
7579,31272,4,4,35,14.21
7582,31546,4,4,10,5.169
7582,39625,4,4,15,11.201
7586,30439,4,4,5,3.682
7586,220633,4,4,8,10.823
7611,11603,4,4,45,45.287
7611,15522,4,4,65,59.944
7611,29757,4,4,20,12.025
7611,35223,4,4,75,90.506
7611,40933,4,4,20,11.001
7611,41992,4,4,25,17.771
7611,45115,4,4,110,111.392
7611,46363,4,4,30,27.697
7920,1508,4,4,160,204.227
7920,5273,4,4,140,191.868
7920,16401,4,4,165,204.307
7920,28846,4,4,115,142.422
7920,36610,4,4,105,101.962
7920,47492,4,4,15,5.528
7920,67945,4,4,130,163.815
7920,99726,4,4,100,130.567
7920,224881,4,4,125,159.169
8078,40426,4,4,10,8.098
8078,40725,4,4,10,5.368
8078,256021,4,4,10,8.602
8401,49145,4,4,3,1.93
8401,51104,4,4,8,4.398
8561,3057,4,4,35,25.5
8561,14941,4,4,3,1.686
8561,18172,4,4,15,8.508
8561,20753,4,4,20,16.554
8561,42649,4,4,65,91.485
8561,43531,4,4,40,51.929
8561,97611,4,4,25,20.692
8561,116957,4,4,6,4.474
8561,193647,4,4,50,41.648
8661,14941,4,4,2,1.977
8661,42649,4,4,70,88.348
8661,43531,4,4,35,48.555
8661,231447,4,4,105,106.769
8739,14459,4,4,9,2.44
8739,48500,4,4,3,1.764
8827,49233,4,4,10,5.012
8827,53775,4,4,35,24.074
8827,73924,4,4,80,89.212
8827,90864,4,4,105,105.881
8858,13384,4,4,7,7.592
8858,41835,4,4,2,0.349
8860,193683,4,4,30,27.6
8860,218707,4,4,20,17.018
8874,9772,4,4,80,71.714
8874,12162,4,4,90,103.285
8874,15522,4,4,65,70.313
8874,17141,4,4,120,139.625
8874,22781,4,4,55,68.897
8874,29204,4,4,20,29.199
8874,30141,4,4,145,188.526
8874,31481,4,4,375,347.074
8874,38398,4,4,15,25.585
8874,42642,4,4,80,100.195
8874,42649,4,4,70,66.857
8874,44311,4,4,20,24.789
8874,45024,4,4,50,67.387
8874,45115,4,4,50,64.949
8874,47492,4,4,75,73.946
8874,94748,4,4,25,23.669
8874,133513,4,4,140,186.272
8874,144126,4,4,80,91.231
8874,169609,4,4,50,65.696
8874,191014,4,4,105,145.046
8874,207982,4,4,135,178.387
8874,246845,4,4,160,201.193
8874,253009,4,4,15,19.767
8880,6441,4,4,10,11.859
8880,41487,4,4,18,21.008
8928,13395,4,4,5,2.835
8928,16026,4,4,65,33.09
9032,47492,4,4,5,1.011
9032,49630,4,4,2,0.818
9042,22446,4,4,50,51.466
9042,42649,4,4,75,88.018
9042,89119,4,4,25,28.982
9042,169609,4,4,45,40.687
9042,193647,4,4,40,34.325
9066,15945,4,4,10,6.085
9066,35541,4,4,15,10.51
9133,45528,4,4,5,6.276
9133,45782,4,4,20,9.606
9192,13176,4,4,3,1.101
9192,32368,4,4,5,2.689
9311,44311,4,4,3,2.684
9323,24513,4,4,50,46.698
9323,32014,4,4,50,46.084
9323,42649,4,4,40,48.384
9323,43531,4,4,30,19.348
9323,47492,4,4,80,70.015
9323,217660,4,4,30,27.714
9323,224677,4,4,35,28.249
9397,45837,4,4,10,1.485
9397,200168,4,4,3,1.644
9427,40349,4,4,1,0.746
9427,102289,4,4,2,1.564
9429,42649,4,4,140,173.839
9429,42787,4,4,3,4.563
9429,67945,4,4,45,29.175
9429,180351,4,4,5,1.943
9430,7216,4,4,5,4.773
9430,22098,4,4,10,4.951
9433,816,4,4,10,6.573
9433,23407,4,4,30,11.084
9433,24916,4,4,20,9.777
9433,44081,4,4,10,5.999
9487,6669,4,4,3,1.474
9487,104522,4,4,10,12.255
9759,29028,4,4,2,1.636
9759,126853,4,4,3,3.89
9772,8874,4,4,75,71.714
9772,14219,4,4,2,0.461
9772,16192,4,4,5,1.046
9772,45024,4,4,15,4.418
9772,45115,4,4,25,6.967
9772,47492,4,4,5,2.249
9772,141049,4,4,200,191.761
9772,169609,4,4,130,135.676
9772,170798,4,4,175,176.279
9772,200865,4,4,135,166.249
9851,14105,4,4,5,4.534
9851,18159,4,4,8,6.311
9851,245334,4,4,15,11.839
9915,25994,4,4,10,7.473
9915,38338,4,4,10,5.563
9960,11469,4,4,20,12.75
9960,47730,4,4,8,5.769
9961,22604,4,4,20,13.259
9961,233261,4,4,5,4.13
10022,17849,4,4,4,0.626
10022,50550,4,4,2,1.674
10152,23845,4,4,7,7.556
10152,35541,4,4,10,7.693
10156,96,4,4,13,5.686
10156,107366,4,4,2,1.235
10269,18332,4,4,24,9.88
10269,43740,4,4,6,4.466
10312,641,4,4,5,4.913
10312,40257,4,4,5,2.745
10345,12558,4,4,10,6.473
10345,29286,4,4,10,7.243
10345,42918,4,4,50,37.519
10464,12852,4,4,10,6.757
10464,20151,4,4,10,2.746
10494,1508,4,4,5,0.881
10494,7399,4,4,35,22.576
10840,17543,4,4,40,22.732
10840,237704,4,4,8,6.697
10875,7559,4,4,5,2.816
10875,26979,4,4,7,3.504
10976,31793,4,4,10,1.423
10976,74542,4,4,2,1.046
11081,45116,4,4,50,28.673
11081,245927,4,4,35,29.142
11089,12853,4,4,5,2.456
11186,1943,4,4,5,0.914
11186,18583,4,4,3,0.879
11214,5334,4,4,25,16.504
11214,31481,4,4,85,120.282
11221,2837,4,4,40,23.083
11221,30473,4,4,30,17.093
11268,28610,4,4,3,1.529
11268,43688,4,4,4,1.701
11469,4341,4,4,15,10.082
11469,9960,4,4,20,12.75
11530,5044,4,4,15,13.882
11603,41872,4,4,20,21.659
11603,41992,4,4,30,30.336
11603,47496,4,4,25,22.39
11626,17510,4,4,30,21.497
11626,18517,4,4,20,20.742
11626,90864,4,4,55,49.467
11626,108338,4,4,35,29.691
11626,122631,4,4,30,25.445
11885,16116,4,4,5,3.55
11885,16308,4,4,7,2.568
12052,42649,4,4,30,19.044
12052,43531,4,4,50,60.059
