ori_node,des_node,ori_layer,des_layer,minutes,km
1,19713,2,2,4,4.65
1,34938,2,2,3,2.846
22,36247,2,2,2,1.436
22,41454,2,2,5,4.393
58,351,2,2,4,2.791
58,2687,2,2,3,3.112
58,2702,2,2,4,4.141
58,31956,2,2,6,4.562
58,34697,2,2,4,3.016
58,46330,2,2,8,8.327
58,46973,2,2,9,10.246
66,1695,2,2,2,1.83
66,253293,2,2,3,3.387
77,2141,2,2,11,19.267
77,5973,2,2,6,8.778
77,28464,2,2,9,15.062
77,30668,2,2,2,2.137
77,40520,2,2,4,5.127
77,48179,2,2,4,4.572
77,50339,2,2,12,23.665
80,8327,2,2,6,7.7
80,26635,2,2,4,3.24
102,6318,2,2,2,1.194
102,13096,2,2,8,8.671
153,5044,2,2,8,11.845
153,12686,2,2,3,3.645
153,34544,2,2,5,8.32
153,42649,2,2,6,4.867
153,46232,2,2,2,2.924
216,41885,2,2,2,0.858
216,49470,2,2,2,0.953
247,23925,2,2,5,5.219
247,25815,2,2,4,4.922
247,51224,2,2,16,13.357
249,20346,2,2,3,2.388
249,28524,2,2,3,3.743
249,28622,2,2,5,6.083
249,41580,2,2,3,3.066
250,37229,2,2,3,4.416
250,39448,2,2,5,7.283
255,33245,2,2,12,17.012
255,51077,2,2,6,10.061
334,24921,2,2,2,1.13
334,26522,2,2,2,1.703
335,9685,2,2,2,1.442
335,30363,2,2,4,3.088
336,16766,2,2,2,1.126
336,44995,2,2,2,2.054
351,58,2,2,5,2.791
351,31956,2,2,8,2.282
351,34697,2,2,5,2.308
351,45027,2,2,3,2.326
385,13385,2,2,3,3.892
385,97757,2,2,9,9.837
385,169164,2,2,5,6.226
385,203304,2,2,9,7.39
390,9323,2,2,8,7.091
390,30421,2,2,4,4.985
413,3628,2,2,2,1.486
413,16439,2,2,2,1.397
413,32297,2,2,2,2.54
435,3960,2,2,3,1.913
435,39495,2,2,5,3.484
474,6705,2,2,9,8.009
474,12677,2,2,11,22.083
474,29621,2,2,5,5.58
474,32698,2,2,11,18.316
474,34766,2,2,15,20.756
510,43634,2,2,7,5.235
510,45443,2,2,2,0.906
513,19294,2,2,2,3.697
513,165193,2,2,1,2.873
549,3768,2,2,12,15.847
549,47427,2,2,37,43.473
570,4670,2,2,8,14.743
570,7398,2,2,64,162.057
570,10441,2,2,29,64.691
570,22463,2,2,13,24.301
570,23471,2,2,27,71.97
570,25625,2,2,19,50.158
570,25882,2,2,57,143.94
570,33602,2,2,4,5.038
570,35458,2,2,33,71.358
570,37496,2,2,19,48.62
570,41573,2,2,47,125.023
570,45149,2,2,3,4.009
570,48882,2,2,22,33.429
608,20249,2,2,4,3.154
608,22298,2,2,6,7.729
608,40903,2,2,11,17.051
608,42836,2,2,3,3.256
636,4294,2,2,3,2.338
636,7398,2,2,16,29.705
636,14170,2,2,19,16.712
636,17510,2,2,7,4.9
636,19445,2,2,3,2.563
636,22304,2,2,3,2.652
636,40760,2,2,7,9.692
638,24054,2,2,6,7.622
638,35789,2,2,7,9.194
638,37853,2,2,4,3.61
638,47235,2,2,3,1.71
645,3333,2,2,9,13.302
645,28720,2,2,7,6.682
645,35722,2,2,9,12.213
645,45229,2,2,6,8.755
645,45264,2,2,15,30.216
645,46622,2,2,6,4.476
645,225617,2,2,3,2.941
649,23116,2,2,2,1.236
649,32235,2,2,4,2.586
708,4670,2,2,36,23.079
708,6367,2,2,3,2.202
708,24372,2,2,8,11.13
708,37496,2,2,7,10.881
708,48882,2,2,4,5.414
727,18397,2,2,4,1.406
727,40508,2,2,2,1.888
727,45767,2,2,4,3.613
811,5892,2,2,4,3.085
811,22272,2,2,2,1.237
811,23690,2,2,5,2.648
811,48591,2,2,2,1.691
813,16358,2,2,9,10.575
813,152968,2,2,4,3.754
816,1986,2,2,4,3.917
816,23407,2,2,5,4.535
816,25815,2,2,13,13.438
816,30453,2,2,3,2.473
816,33405,2,2,11,6.441
832,8076,2,2,3,2.001
832,41040,2,2,2,1.019
843,22331,2,2,5,6.229
843,24142,2,2,4,4.657
843,35373,2,2,3,3.446
843,45479,2,2,3,1.508
858,10217,2,2,4,2.228
858,16866,2,2,4,5.133
885,9323,2,2,10,15.379
885,37700,2,2,8,13.433
887,29173,2,2,2,1.093
887,41462,2,2,1,0.904
906,4515,2,2,3,3.862
906,26198,2,2,1,1.2
915,2837,2,2,32,53.138
915,12956,2,2,7,12.927
915,21666,2,2,4,4.337
915,27699,2,2,4,5.806
915,30473,2,2,8,14.036
915,34872,2,2,12,20.317
915,234857,2,2,6,4.71
925,25903,2,2,3,0.878
925,31444,2,2,2,1.15
962,8773,2,2,4,1.94
962,27133,2,2,6,4.199
962,44677,2,2,1,0.546
998,5044,2,2,3,3.463
998,12686,2,2,3,4.809
998,34524,2,2,2,2.421
1051,4704,2,2,4,4.687
1051,12528,2,2,2,0.805
1051,39598,2,2,2,1.503
1065,15342,2,2,2,0.891
1065,34260,2,2,3,0.99
1082,4704,2,2,7,5.767
1082,5334,2,2,15,7.051
1082,14596,2,2,2,1.376
1082,33015,2,2,3,1.886
1082,37047,2,2,54,71.506
1082,40513,2,2,2,1.742
1112,7948,2,2,2,0.971
1112,22268,2,2,1,0.585
1113,4598,2,2,1,1.985
1113,41890,2,2,2,1.575
1113,45479,2,2,4,3.286
1133,7300,2,2,3,1.861
1133,13745,2,2,2,0.832
1176,5797,2,2,20,9.545
1176,24439,2,2,2,1.754
1176,43369,2,2,3,2.23
1176,49694,2,2,6,8.339
1201,26988,2,2,9,7.176
1231,30332,2,2,4,3.47
1231,42596,2,2,10,11.582
1234,5736,2,2,4,6.2
1234,22304,2,2,4,4.63
1236,4454,2,2,6,6.033
1236,10275,2,2,16,16.998
1236,11927,2,2,3,2.223
1236,19967,2,2,5,2.843
1236,21036,2,2,5,5.65
1236,27511,2,2,12,8.641
1236,32014,2,2,12,8.174
1236,37700,2,2,8,11.082
1254,5316,2,2,3,1.919
1264,3517,2,2,3,2.604
1264,14605,2,2,3,1.676
1267,12913,2,2,19,19.273
1267,39815,2,2,5,6.053
1267,50493,2,2,6,7.379
1268,18610,2,2,3,4.424
1268,31116,2,2,5,5.768
1270,3958,2,2,7,5.21
1270,11604,2,2,6,6.759
1297,19030,2,2,5,5.738
1297,51077,2,2,7,11.09
1411,5631,2,2,4,2.839
1411,15922,2,2,1,0.63
1411,37348,2,2,1,1.193
1456,17037,2,2,2,1.597
1456,24693,2,2,2,1.305
1476,11214,2,2,5,2.988
1476,14588,2,2,2,0.982
1478,24799,2,2,3,2.001
1481,10843,2,2,3,2.846
1481,29097,2,2,3,2.016
1495,4229,2,2,5,4.728
1495,5780,2,2,4,2.687
1495,7458,2,2,37,43.995
1495,7616,2,2,8,9.307
1495,9255,2,2,6,6.2
1495,10761,2,2,29,36.652
1495,13573,2,2,15,17.813
1495,16230,2,2,3,1.143
1495,28672,2,2,14,19.081
1495,33800,2,2,11,11.328
1495,36360,2,2,6,6.116
1495,41040,2,2,34,50.876
1495,42049,2,2,7,9.194
1495,46952,2,2,5,5.785
1508,4330,2,2,3,4.098
1508,29406,2,2,3,0.968
1594,11357,2,2,6,5.685
1594,50640,2,2,11,9.424
1594,175646,2,2,3,4.058
1623,29338,2,2,7,9.011
1673,31029,2,2,3,2.686
1673,32893,2,2,3,2.951
1673,45333,2,2,2,1.635
1673,107204,2,2,9,11.346
1673,158338,2,2,2,1.546
1677,11992,2,2,5,6.385
1677,31344,2,2,10,5.359
1677,40242,2,2,17,24.46
1693,31323,2,2,4,4.651
1693,45865,2,2,7,4.238
1695,66,2,2,2,1.83
1695,1872,2,2,7,9.935
1695,33919,2,2,5,4.947
1695,40031,2,2,18,11.532
1695,246865,2,2,3,2.645
1806,9470,2,2,5,4.819
1806,14257,2,2,6,7.401
1807,2383,2,2,5,6.344
1807,6777,2,2,23,22.455
1807,7300,2,2,97,231.32
1807,7611,2,2,46,120.721
1807,11603,2,2,30,75.876
1807,13167,2,2,22,53.712
1807,18293,2,2,14,29.508
1807,18855,2,2,10,11.612
1807,20400,2,2,25,33.057
1807,22082,2,2,6,7.166
1807,25815,2,2,25,28.828
1807,29725,2,2,21,26.567
1807,31338,2,2,16,17.602
1807,40896,2,2,12,15.257
1807,40903,2,2,20,48.555
1807,42150,2,2,18,26.863
1807,43262,2,2,25,28.802
1807,46685,2,2,3,2.574
1807,46771,2,2,16,21.398
1807,48572,2,2,17,29.899
1807,51183,2,2,11,26.203
1807,51224,2,2,57,40.571
1828,16401,2,2,16,19.319
1828,23055,2,2,3,4.368
1828,48687,2,2,4,3.645
1833,5515,2,2,3,2.417
1833,32933,2,2,2,1.086
1872,1695,2,2,8,9.935
1872,40031,2,2,9,1.752
1872,253293,2,2,5,4.749
1873,4485,2,2,4,3.192
1873,5621,2,2,3,1.503
1873,16214,2,2,2,1.308
1893,2660,2,2,3,2.709
1893,7263,2,2,4,2.591
1893,10766,2,2,5,5.904
1893,11353,2,2,10,8.176
1899,19924,2,2,5,3.28
1899,22658,2,2,2,1.345
1902,19715,2,2,2,1.049
1902,43846,2,2,3,1.603
1943,8290,2,2,11,11.654
1943,9850,2,2,3,2.174
1943,11186,2,2,3,0.914
1943,17812,2,2,9,13.867
1943,19863,2,2,3,2.118
1943,21758,2,2,8,10.62
1943,25380,2,2,33,60.766
1943,37358,2,2,12,19.73
1943,41487,2,2,21,36.414
1945,30354,2,2,5,5.401
1945,45019,2,2,12,17.278
1945,168730,2,2,6,8.412
1965,5044,2,2,6,9.026
1965,5746,2,2,3,1.472
1965,6771,2,2,4,5.193
1965,10018,2,2,7,11.005
1965,10761,2,2,11,18.622
1965,32625,2,2,20,37.625
1965,46470,2,2,3,2.786
1969,10729,2,2,5,5.262
1969,27700,2,2,9,13.392
1969,50640,2,2,11,13.955
1969,50958,2,2,6,8.749
1978,18978,2,2,2,1.41
1978,77353,2,2,3,4.69
1986,816,2,2,4,3.917
1986,9433,2,2,4,3.094
2001,12162,2,2,7,4.814
2001,15798,2,2,5,3.283
2001,31624,2,2,3,3.48
2001,47506,2,2,7,7.319
2014,8561,2,2,75,109.488
2014,8930,2,2,10,21.481
2014,9429,2,2,19,36.792
2014,10761,2,2,74,155.809
2014,22604,2,2,71,130.592
2014,24813,2,2,18,41.352
2014,39358,2,2,35,68.507
2014,40101,2,2,32,59.578
2014,44388,2,2,32,59.704
2014,50640,2,2,25,44.926
2029,4515,2,2,3,4.54
2029,18990,2,2,3,4.751
2029,37490,2,2,10,8.398
2058,37358,2,2,5,6.001
2058,40739,2,2,5,7.024
2058,41487,2,2,7,11.378
2089,7065,2,2,11,10.544
2089,7398,2,2,18,32.029
2089,10893,2,2,8,10.692
2089,14170,2,2,67,53.104
2089,23304,2,2,9,11.321
2089,28919,2,2,25,42.676
2089,29943,2,2,11,17.835
2089,42018,2,2,3,1.637
2089,45837,2,2,22,38.313
2089,51185,2,2,16,18.203
2097,24798,2,2,2,1.187
2097,28558,2,2,2,0.808
2106,13554,2,2,2,2.108
2106,46564,2,2,3,2.258
2141,77,2,2,11,19.267
2141,5973,2,2,6,10.768
2141,28464,2,2,4,4.287
2141,48179,2,2,9,14.821
2141,50339,2,2,4,5.58
2168,3310,2,2,7,10.831
2168,3921,2,2,14,19.713
2175,6779,2,2,12,2.461
2175,10905,2,2,1,0.959
2175,12138,2,2,1,0.847
2175,12582,2,2,1,0.742
2175,16863,2,2,2,0.797
2178,22024,2,2,3,1.85
2178,26718,2,2,5,2.717
2187,4829,2,2,4,3.279
2187,39813,2,2,3,3.105
2205,11626,2,2,5,3.844
2205,49694,2,2,5,5.714
2258,17867,2,2,5,2.936
2258,19980,2,2,4,2.009
2327,44678,2,2,13,9.292
2327,49183,2,2,6,12.071
2380,3922,2,2,3,2.84
2380,37983,2,2,2,2.543
2383,1807,2,2,6,6.344
2383,3507,2,2,4,4.386
2405,3361,2,2,7,7.588
2405,12956,2,2,16,17.555
2431,15195,2,2,2,0.908
2431,19110,2,2,4,2.146
2451,17231,2,2,4,2.629
2451,148013,2,2,5,5.714
2467,2837,2,2,1,0.875
2467,26219,2,2,2,1.433
2467,33257,2,2,4,4.64
2483,5967,2,2,12,12.786
2483,15496,2,2,8,9.965
2483,23622,2,2,3,2.699
2483,192463,2,2,5,5.919
2518,18150,2,2,4,4.262
2518,42067,2,2,10,13.821
2518,44151,2,2,9,10.478
2518,47793,2,2,14,14.816
2523,9044,2,2,2,0.968
2523,11542,2,2,8,11.396
2523,17423,2,2,3,2.926
2523,18421,2,2,15,19.025
2523,25380,2,2,4,4.455
2523,28376,2,2,3,1.687
2523,38738,2,2,3,1.665
2523,39838,2,2,4,3.159
2588,5970,2,2,3,2.074
2588,36644,2,2,3,1.776
2625,30981,2,2,9,12.131
2625,35069,2,2,2,3.278
2660,1893,2,2,2,2.709
2660,33592,2,2,5,4.809
2667,9433,2,2,4,1.86
2667,23672,2,2,2,1.596
2676,12052,2,2,2,1.609
2676,27200,2,2,4,1.475
2679,6194,2,2,5,4.936
2679,7263,2,2,3,4.051
2687,58,2,2,4,3.112
2687,2702,2,2,1,1.044
2695,2704,2,2,6,7.637
2695,7382,2,2,4,2.613
2695,84854,2,2,4,4.387
2702,58,2,2,4,4.141
2702,2687,2,2,2,1.044
2702,46973,2,2,6,6.179
2702,48021,2,2,3,2.131
2704,2695,2,2,6,7.637
2704,13380,2,2,6,7.575
2704,16358,2,2,15,22.909
2704,84854,2,2,3,3.338
2708,22856,2,2,2,0.679
2728,2900,2,2,2,2.099
2728,8991,2,2,1,1.351
2760,3517,2,2,16,15.738
2760,5002,2,2,13,10.58
2760,9685,2,2,9,10.18
2760,12707,2,2,24,34.188
2760,19516,2,2,4,3.231
2760,19584,2,2,2,1.256
2760,25930,2,2,13,19.61
2760,26773,2,2,1,1.932
2760,30363,2,2,18,13.173
2760,34317,2,2,5,4.452
2760,35540,2,2,6,6.195
2760,47492,2,2,16,15.408
2760,47812,2,2,8,10.547
2808,7090,2,2,6,9.421
2808,12406,2,2,5,4.674
2808,42604,2,2,6,4.546
2837,915,2,2,33,53.138
2837,2467,2,2,1,0.875
2837,2837,2,2,5,0
2837,7300,2,2,6,8.307
2837,7588,2,2,15,25.128
2837,8020,2,2,4,3.65
2837,8959,2,2,10,25.238
2837,10217,2,2,12,15.249
2837,12281,2,2,8,5.916
2837,14766,2,2,8,13.527
2837,22331,2,2,9,6.222
2837,22479,2,2,3,1.3
2837,26219,2,2,3,2.309
2837,26777,2,2,14,6.287
2837,28461,2,2,27,37.104
2837,30473,2,2,23,39.101
2837,33257,2,2,5,5.515
2837,38876,2,2,8,6.022
2837,45019,2,2,29,75.223
2837,46973,2,2,15,28.133
2878,2760,2,2,22,23.279
2878,3517,2,2,8,7.914
2878,42652,2,2,6,7.805
2878,203011,2,2,4,4.107
2879,19038,2,2,10,16.213
2879,44423,2,2,13,18.269
2900,2728,2,2,1,2.099
2900,50339,2,2,3,3.508
2967,12071,2,2,3,2.586
2967,14170,2,2,16,11.708
2967,14531,2,2,6,2.149
2967,29151,2,2,3,1.729
2967,43116,2,2,7,7.282
2967,45712,2,2,3,1.712
2986,6498,2,2,4,4.945
2986,192396,2,2,5,7.405
2986,241404,2,2,3,3.236
3057,7761,2,2,9,9.397
3057,8561,2,2,14,25.5
3057,17543,2,2,11,19.197
3108,17744,2,2,3,2.709
3108,32014,2,2,2,1.487
3122,14170,2,2,8,5.121
3122,35268,2,2,2,1.386
3220,3860,2,2,2,0.962
3220,11215,2,2,2,1.713
3239,3488,2,2,11,7.011
3239,39815,2,2,6,9.073
3258,21863,2,2,5,4.076
3258,46973,2,2,7,7.082
3268,5042,2,2,8,12.767
3268,26018,2,2,16,23.869
3285,4704,2,2,3,1.864
3285,39598,2,2,2,1.377
3285,44345,2,2,8,6.051
3310,2168,2,2,8,10.831
3310,3921,2,2,20,30.542
3310,3950,2,2,5,3.897
3310,19038,2,2,7,11.418
3320,5823,2,2,6,3.189
3320,46157,2,2,4,3.04
3324,14553,2,2,7,11.132
3324,25104,2,2,14,20.569
3324,172423,2,2,10,15.209
3333,645,2,2,8,13.302
3333,15925,2,2,18,20.884
3333,26709,2,2,4,4.737
3333,28720,2,2,11,15.721
3333,35722,2,2,17,23.534
3333,45264,2,2,10,17.078
3333,225617,2,2,6,10.385
3348,5290,2,2,4,3.639
3348,28490,2,2,3,2.142
3348,32014,2,2,9,2.728
3348,36860,2,2,2,0.883
3348,38356,2,2,8,8.205
3348,240914,2,2,4,2.69
3361,2405,2,2,8,7.588
3361,4903,2,2,6,5.076
3391,11096,2,2,5,4.724
3391,44071,2,2,9,10.791
3433,3433,2,2,1,0
3433,7745,2,2,3,1.342
3433,38105,2,2,2,1.021
3438,10541,2,2,4,2.994
3438,13020,2,2,2,0.775
3438,18956,2,2,3,2.803
3438,28376,2,2,3,2.142
3438,50552,2,2,7,7.84
3486,30594,2,2,4,4.209
3486,38473,2,2,6,7.654
3486,50640,2,2,16,20.409
3488,3239,2,2,10,7.011
3488,3922,2,2,10,10.135
3488,39815,2,2,15,16.076
3488,48901,2,2,7,5.625
3489,4379,2,2,5,2.273
3489,28843,2,2,4,2.466
3492,29893,2,2,8,3.111
3492,221370,2,2,4,2.107
3499,9042,2,2,4,5.394
3499,12288,2,2,10,15.842
3499,36791,2,2,8,11.41
3507,1807,2,2,13,10.711
3507,2383,2,2,4,4.386
3507,40029,2,2,4,4.862
3507,40896,2,2,5,4.55
3517,1264,2,2,3,2.604
3517,2760,2,2,16,15.738
3517,2878,2,2,7,7.914
3517,23990,2,2,3,2.185
3517,47812,2,2,8,9.11
3517,203011,2,2,5,3.938
3518,15934,2,2,2,3.286
3518,29338,2,2,6,7.563
3530,5080,2,2,12,13.304
3530,22509,2,2,11,12.773
3530,34494,2,2,7,9.873
3597,21728,2,2,2,1.718
3597,37028,2,2,2,1.301
3607,10267,2,2,2,1.464
3612,21100,2,2,5,5.731
3612,22280,2,2,3,2.042
3628,413,2,2,3,1.486
3628,22034,2,2,2,1.448
3628,25580,2,2,5,2.187
