node,layer,lat,lon,degree,geometry
109,5,53.70265,-1.47738,4,"-1.47738, 53.70265"
140,5,53.69138,-1.29372,5,"-1.29372, 53.69138"
247,5,53.70053,-1.42341,22,"-1.42341, 53.70053"
368,5,53.67514,-1.27351,4,"-1.27351, 53.67514"
375,5,53.67445,-1.26599,4,"-1.26599, 53.67445"
376,5,53.68699,-1.35444,4,"-1.35444, 53.68699"
511,5,53.69009,-1.58425,5,"-1.58425, 53.69009"
527,5,53.69278,-1.58613,4,"-1.58613, 53.69278"
529,5,53.61379,-1.47724,4,"-1.47724, 53.61379"
546,5,53.63332,-1.50315,4,"-1.50315, 53.63332"
738,5,53.69076,-1.58915,4,"-1.58915, 53.69076"
876,5,53.71794,-1.51682,4,"-1.51682, 53.71794"
1192,5,53.66272,-1.26647,5,"-1.26647, 53.66272"
1675,5,53.7286,-1.53169,4,"-1.53169, 53.7286"
1697,5,53.67551,-1.3186,4,"-1.3186, 53.67551"
1698,5,53.67695,-1.32047,4,"-1.32047, 53.67695"
1699,5,53.67831,-1.32135,4,"-1.32135, 53.67831"
1702,5,53.66578,-1.32514,4,"-1.32514, 53.66578"
1703,5,53.67072,-1.32337,6,"-1.32337, 53.67072"
1755,5,53.6852,-1.32569,5,"-1.32569, 53.6852"
1756,5,53.68645,-1.3231,5,"-1.3231, 53.68645"
1757,5,53.69842,-1.31144,4,"-1.31144, 53.69842"
1758,5,53.6996,-1.31123,6,"-1.31123, 53.6996"
1760,5,53.69517,-1.31095,4,"-1.31095, 53.69517"
1764,5,53.68735,-1.3209,6,"-1.3209, 53.68735"
1841,5,53.67276,-1.52038,6,"-1.52038, 53.67276"
1939,5,53.69021,-1.47445,5,"-1.47445, 53.69021"
1989,5,53.69923,-1.4056,4,"-1.4056, 53.69923"
1990,5,53.7001,-1.40763,4,"-1.40763, 53.7001"
1991,5,53.69631,-1.40814,4,"-1.40814, 53.69631"
1992,5,53.69753,-1.40536,4,"-1.40536, 53.69753"
1994,5,53.68792,-1.42478,4,"-1.42478, 53.68792"
2074,5,53.62832,-1.29982,4,"-1.29982, 53.62832"
2196,5,53.67492,-1.2708,4,"-1.2708, 53.67492"
2206,5,53.71746,-1.53683,4,"-1.53683, 53.71746"
2234,5,53.67721,-1.57396,4,"-1.57396, 53.67721"
2236,5,53.67487,-1.46348,4,"-1.46348, 53.67487"
2237,5,53.63449,-1.5034,5,"-1.5034, 53.63449"
2259,5,53.69584,-1.54468,6,"-1.54468, 53.69584"
2261,5,53.6904,-1.53313,5,"-1.53313, 53.6904"
2262,5,53.69205,-1.53639,5,"-1.53639, 53.69205"
2263,5,53.69442,-1.54023,6,"-1.54023, 53.69442"
2340,5,53.64147,-1.33671,8,"-1.33671, 53.64147"
2342,5,53.62942,-1.41635,4,"-1.41635, 53.62942"
2344,5,53.68911,-1.53038,7,"-1.53038, 53.68911"
2345,5,53.688,-1.52817,6,"-1.52817, 53.688"
2416,5,53.65869,-1.41349,5,"-1.41349, 53.65869"
2616,5,53.65892,-1.56831,4,"-1.56831, 53.65892"
2632,5,53.66215,-1.54775,4,"-1.54775, 53.66215"
2643,5,53.65983,-1.55192,4,"-1.55192, 53.65983"
2903,5,53.71715,-1.45835,4,"-1.45835, 53.71715"
2949,5,53.72867,-1.30892,6,"-1.30892, 53.72867"
2976,5,53.64798,-1.28818,5,"-1.28818, 53.64798"
3102,5,53.68419,-1.30742,4,"-1.30742, 53.68419"
3590,5,53.71746,-1.46086,4,"-1.46086, 53.71746"
3591,5,53.71657,-1.46663,5,"-1.46663, 53.71657"
3595,5,53.71783,-1.46493,5,"-1.46493, 53.71783"
3598,5,53.71789,-1.45354,4,"-1.45354, 53.71789"
3854,5,53.71916,-1.35902,4,"-1.35902, 53.71916"
4132,5,53.68751,-1.5804,4,"-1.5804, 53.68751"
4222,5,53.68732,-1.58452,4,"-1.58452, 53.68732"
4239,5,53.68786,-1.39326,4,"-1.39326, 53.68786"
4240,5,53.6869,-1.39102,5,"-1.39102, 53.6869"
4241,5,53.68663,-1.38836,4,"-1.38836, 53.68663"
4242,5,53.6841,-1.38246,5,"-1.38246, 53.6841"
4243,5,53.68269,-1.37962,4,"-1.37962, 53.68269"
4244,5,53.69013,-1.37656,5,"-1.37656, 53.69013"
4245,5,53.69109,-1.3773,4,"-1.3773, 53.69109"
4246,5,53.69251,-1.37549,5,"-1.37549, 53.69251"
4247,5,53.68622,-1.53363,5,"-1.53363, 53.68622"
4385,5,53.70796,-1.49856,4,"-1.49856, 53.70796"
4386,5,53.70643,-1.49765,6,"-1.49765, 53.70643"
4390,5,53.66309,-1.48141,18,"-1.48141, 53.66309"
4399,5,53.7178,-1.36374,4,"-1.36374, 53.7178"
4400,5,53.62063,-1.5182,5,"-1.5182, 53.62063"
4401,5,53.71949,-1.36361,4,"-1.36361, 53.71949"
4403,5,53.65683,-1.4768,5,"-1.4768, 53.65683"
4404,5,53.65736,-1.47914,4,"-1.47914, 53.65736"
4405,5,53.65452,-1.46888,5,"-1.46888, 53.65452"
4447,5,53.65063,-1.29219,5,"-1.29219, 53.65063"
4473,5,53.70352,-1.23719,5,"-1.23719, 53.70352"
4474,5,53.70333,-1.2343,4,"-1.2343, 53.70333"
4528,5,53.68372,-1.47353,4,"-1.47353, 53.68372"
4831,5,53.68459,-1.32071,4,"-1.32071, 53.68459"
5182,5,53.70521,-1.24199,4,"-1.24199, 53.70521"
5351,5,53.611,-1.50614,5,"-1.50614, 53.611"
5473,5,53.64877,-1.49629,5,"-1.49629, 53.64877"
5477,5,53.65736,-1.48405,4,"-1.48405, 53.65736"
5605,5,53.66713,-1.48749,4,"-1.48749, 53.66713"
5665,5,53.68503,-1.57637,4,"-1.57637, 53.68503"
6000,5,53.68833,-1.47173,4,"-1.47173, 53.68833"
6106,5,53.68603,-1.58873,4,"-1.58873, 53.68603"
6283,5,53.6566,-1.42877,8,"-1.42877, 53.6566"
6284,5,53.65732,-1.42554,5,"-1.42554, 53.65732"
6285,5,53.64905,-1.3806,5,"-1.3806, 53.64905"
6400,5,53.60327,-1.28399,4,"-1.28399, 53.60327"
6493,5,53.70393,-1.50415,4,"-1.50415, 53.70393"
6495,5,53.69932,-1.50526,8,"-1.50526, 53.69932"
6500,5,53.67617,-1.40012,17,"-1.40012, 53.67617"
6640,5,53.73236,-1.49907,8,"-1.49907, 53.73236"
6699,5,53.67554,-1.39017,4,"-1.39017, 53.67554"
6777,5,53.699,-1.30369,33,"-1.30369, 53.699"
6890,5,53.72695,-1.48032,5,"-1.48032, 53.72695"
6902,5,53.6119,-1.40285,4,"-1.40285, 53.6119"
6905,5,53.62037,-1.41501,9,"-1.41501, 53.62037"
6906,5,53.62487,-1.4175,4,"-1.4175, 53.62487"
6907,5,53.62231,-1.41755,6,"-1.41755, 53.62231"
6908,5,53.61572,-1.4062,4,"-1.4062, 53.61572"
6910,5,53.61786,-1.41079,5,"-1.41079, 53.61786"
6937,5,53.73109,-1.49743,4,"-1.49743, 53.73109"
6953,5,53.62099,-1.5691,5,"-1.5691, 53.62099"
6954,5,53.62354,-1.57588,7,"-1.57588, 53.62354"
7247,5,53.71051,-1.49145,4,"-1.49145, 53.71051"
7248,5,53.71714,-1.48347,4,"-1.48347, 53.71714"
7324,5,53.6231,-1.34318,4,"-1.34318, 53.6231"
7326,5,53.59405,-1.29303,4,"-1.29303, 53.59405"
7327,5,53.6626,-1.32722,4,"-1.32722, 53.6626"
7328,5,53.6583,-1.32948,4,"-1.32948, 53.6583"
7329,5,53.6564,-1.33375,4,"-1.33375, 53.6564"
7754,5,53.68127,-1.30828,7,"-1.30828, 53.68127"
7779,5,53.67871,-1.29955,12,"-1.29955, 53.67871"
7790,5,53.70982,-1.27805,4,"-1.27805, 53.70982"
7904,5,53.6884,-1.48183,4,"-1.48183, 53.6884"
7911,5,53.68481,-1.53408,5,"-1.53408, 53.68481"
7912,5,53.68336,-1.53404,4,"-1.53404, 53.68336"
7957,5,53.69051,-1.35702,5,"-1.35702, 53.69051"
8141,5,53.61469,-1.28614,7,"-1.28614, 53.61469"
8223,5,53.61334,-1.2833,9,"-1.2833, 53.61334"
8658,5,53.64813,-1.59917,4,"-1.59917, 53.64813"
8662,5,53.64768,-1.60275,4,"-1.60275, 53.64768"
8712,5,53.73003,-1.31015,6,"-1.31015, 53.73003"
8717,5,53.72491,-1.31071,4,"-1.31071, 53.72491"
8718,5,53.72625,-1.30958,4,"-1.30958, 53.72625"
8719,5,53.72807,-1.30956,4,"-1.30956, 53.72807"
8809,5,53.69662,-1.52132,6,"-1.52132, 53.69662"
9012,5,53.66663,-1.50619,4,"-1.50619, 53.66663"
9075,5,53.72088,-1.46152,6,"-1.46152, 53.72088"
9191,5,53.69277,-1.40628,4,"-1.40628, 53.69277"
9233,5,53.66098,-1.30399,7,"-1.30399, 53.66098"
9234,5,53.67736,-1.31079,5,"-1.31079, 53.67736"
9235,5,53.64104,-1.2771,5,"-1.2771, 53.64104"
9239,5,53.67557,-1.37096,6,"-1.37096, 53.67557"
9377,5,53.67284,-1.49027,4,"-1.49027, 53.67284"
9396,5,53.6498,-1.51341,6,"-1.51341, 53.6498"
9490,5,53.65129,-1.46938,4,"-1.46938, 53.65129"
9492,5,53.64867,-1.46514,4,"-1.46514, 53.64867"
9757,5,53.67824,-1.5708,4,"-1.5708, 53.67824"
9836,5,53.69011,-1.48,6,"-1.48, 53.69011"
9843,5,53.68915,-1.47905,4,"-1.47905, 53.68915"
10038,5,53.72368,-1.53792,6,"-1.53792, 53.72368"
10077,5,53.67985,-1.54507,8,"-1.54507, 53.67985"
10179,5,53.70754,-1.22592,4,"-1.22592, 53.70754"
10196,5,53.68009,-1.58234,5,"-1.58234, 53.68009"
10205,5,53.63822,-1.53354,4,"-1.53354, 53.63822"
10210,5,53.68936,-1.58494,7,"-1.58494, 53.68936"
10211,5,53.6412,-1.53138,4,"-1.53138, 53.6412"
10231,5,53.67933,-1.31978,4,"-1.31978, 53.67933"
10240,5,53.70721,-1.21994,4,"-1.21994, 53.70721"
