ori_node,des_node,ori_layer,des_layer,minutes,km
10,11,5,5,1,0.094
10,226061,5,5,1,0.177
11,10,5,5,1,0.094
11,18982,5,5,1,0.091
12,19,5,5,1,0.123
12,226061,5,5,1,0.106
13,14,5,5,1,0.225
13,16,5,5,1,0.247
14,13,5,5,1,0.225
14,34950,5,5,1,0.637
15,16180,5,5,1,0.255
15,104607,5,5,1,0.42
16,13,5,5,1,0.247
16,27333,5,5,1,0.636
16,27336,5,5,1,0.11
16,38134,5,5,2,0.403
18,19,5,5,1,0.197
18,18983,5,5,1,0.128
19,12,5,5,1,0.123
19,18,5,5,1,0.197
438,439,5,5,1,0.327
438,33600,5,5,1,0.376
439,438,5,5,1,0.327
439,39378,5,5,1,0.323
441,442,5,5,1,0.265
441,43082,5,5,3,1.277
442,441,5,5,1,0.265
442,444,5,5,1,0.53
443,442,5,5,1,0.275
443,444,5,5,1,0.277
443,32827,5,5,1,0.191
444,443,5,5,1,0.277
444,37610,5,5,1,0.359
445,14468,5,5,1,0.435
445,39376,5,5,1,0.416
446,14468,5,5,1,0.565
446,27019,5,5,2,0.611
447,33599,5,5,1,0.337
447,187840,5,5,1,0.09
1250,1251,5,5,1,0.367
1250,4429,5,5,1,0.479
1250,80760,5,5,1,0.511
1250,161070,5,5,1,0.24
1250,233149,5,5,1,0.626
1251,1250,5,5,1,0.367
1251,6088,5,5,1,0.479
1251,27012,5,5,1,0.174
1251,33598,5,5,1,0.354
1251,63502,5,5,2,1.798
1255,1256,5,5,1,0.154
1255,20280,5,5,1,0.741
1255,242940,5,5,1,0.249
1256,1255,5,5,1,0.154
1256,1257,5,5,1,0.479
1257,1256,5,5,1,0.479
1257,14475,5,5,1,0.322
1258,14475,5,5,1,0.212
1258,38554,5,5,1,0.313
1259,1261,5,5,1,0.717
1259,43082,5,5,1,0.688
1260,4433,5,5,1,0.414
1260,14473,5,5,1,0.447
1260,52116,5,5,1,0.485
1261,1259,5,5,2,0.717
1261,108300,5,5,4,1.329
1430,8563,5,5,1,0.19
1430,27797,5,5,1,0.151
2205,2205,5,5,1,0
2205,13228,5,5,1,0.52
2205,18987,5,5,1,0.629
2205,45660,5,5,1,0.616
2486,2493,5,5,1,0.247
2486,2494,5,5,1,0.187
2486,13928,5,5,1,0.535
2486,30833,5,5,1,0.151
2493,2486,5,5,1,0.247
2493,2494,5,5,1,0.121
2493,21626,5,5,1,0.225
2494,2486,5,5,1,0.187
2494,2495,5,5,1,0.232
2495,2494,5,5,1,0.232
2495,2496,5,5,1,0.138
2496,2495,5,5,1,0.138
2496,2497,5,5,1,0.258
2497,2496,5,5,1,0.258
2497,15110,5,5,1,0.136
2498,15110,5,5,1,0.248
2498,24832,5,5,1,0.719
2626,22664,5,5,1,2.476
2626,44199,5,5,5,0.843
2629,130970,5,5,1,0.585
2629,217451,5,5,2,0.509
2629,224311,5,5,1,0.523
2911,2914,5,5,1,0.53
2911,41047,5,5,4,1.386
2912,2913,5,5,1,0.308
2912,35330,5,5,1,0.251
2913,2912,5,5,1,0.308
2913,2916,5,5,1,0.351
2914,2911,5,5,1,0.53
2914,2916,5,5,1,0.533
2915,2916,5,5,1,0.27
2915,2918,5,5,1,0.176
2916,2913,5,5,1,0.351
2916,2914,5,5,1,0.533
2916,2915,5,5,1,0.27
2917,2918,5,5,1,0.225
2917,2920,5,5,1,0.223
2917,250428,5,5,1,0.338
2918,2915,5,5,1,0.176
2918,2917,5,5,1,0.225
2918,6127,5,5,2,0.543
2919,2920,5,5,1,0.527
2919,48593,5,5,1,0.659
2920,2917,5,5,1,0.223
2920,2919,5,5,1,0.527
2920,48601,5,5,1,0.956
3578,32082,5,5,3,1.7
3578,37794,5,5,3,2.311
3578,39381,5,5,1,1.437
3603,3608,5,5,1,0.16
3603,13928,5,5,1,0.15
