ori_node,des_node,ori_layer,des_layer,minutes,km
15233,17727,5,5,6,2.076
15233,81919,5,5,6,2.745
15233,91502,5,5,3,0.857
17727,15233,5,5,7,2.076
17727,81919,5,5,2,1.284
18911,18911,5,5,1,0
18911,93776,5,5,5,2.822
18911,101172,5,5,1,0.428
18911,101174,5,5,1,0.696
25275,53497,5,5,4,1.036
25275,140484,5,5,1,0.592
25275,166371,5,5,5,3.035
25532,81918,5,5,8,4.069
25532,91503,5,5,4,2.131
33115,140489,5,5,7,3.161
33115,150448,5,5,4,2.323
33115,195952,5,5,2,0.629
33759,83732,5,5,4,2.608
33759,141133,5,5,2,0.464
33759,166374,5,5,5,2.497
38954,161906,5,5,1,0.565
38954,161908,5,5,1,0.565
38954,161909,5,5,1,0.526
40313,40313,5,5,1,0
40313,54612,5,5,26,0.644
40313,133863,5,5,2,0.467
40313,133866,5,5,1,0.346
40313,167735,5,5,1,0.36
52157,52158,5,5,1,0.16
52158,133861,5,5,1,0.295
53497,25275,5,5,1,1.036
54603,54611,5,5,1,0.369
54604,133865,5,5,4,0.416
54605,54603,5,5,1,0.246
54606,40313,5,5,1,0.426
54606,133863,5,5,1,0.183
54607,54608,5,5,1,0.118
54608,102762,5,5,1,0.141
54611,255649,5,5,1,0.194
54612,54604,5,5,7,0.363
60490,66425,5,5,4,2.732
60490,104479,5,5,1,1.429
64248,64254,5,5,1,0.082
64249,40313,5,5,1,0.518
64249,133867,5,5,1,0.172
64250,219379,5,5,1,0.134
64251,64253,5,5,1,0.128
64252,64250,5,5,1,0.171
64253,73670,5,5,1,0.167
64254,244413,5,5,1,0.227
64255,64249,5,5,1,0.095
64256,64255,5,5,1,0.13
64257,64251,5,5,1,0.161
66425,104475,5,5,1,0.087
66426,123560,5,5,1,0.109
73670,73679,5,5,1,0.353
73670,171679,5,5,1,0.452
73671,64252,5,5,1,0.168
73673,73677,5,5,1,0.173
73674,40313,5,5,1,0.983
73675,73677,5,5,1,0.268
73676,73674,5,5,1,0.264
73677,73678,5,5,1,0.111
73677,255653,5,5,1,0.309
73678,73679,5,5,1,0.216
73678,73680,5,5,1,0.418
73679,171678,5,5,1,0.44
73679,255653,5,5,2,0.559
73679,255655,5,5,1,0.27
73680,73671,5,5,1,0.144
75872,123989,5,5,1,0.75
79909,150447,5,5,1,0.297
81918,110939,5,5,1,0.143
81919,15233,5,5,5,2.745
81919,91503,5,5,1,0.366
81919,171674,5,5,9,8.638
83732,15233,5,5,1,0.847
91502,33759,5,5,3,2.606
91503,17727,5,5,2,0.959
91503,25532,5,5,7,2.131
93776,73676,5,5,1,0.648
94854,103495,5,5,1,0.42
94854,103497,5,5,3,2.081
94855,94854,5,5,1,0.272
94856,104476,5,5,1,0.346
94857,94856,5,5,1,0.35
94859,94857,5,5,1,1.638
101170,110937,5,5,2,0.305
101171,40313,5,5,10,4.748
101171,101175,5,5,1,0.276
101172,161907,5,5,1,0.997
101173,101170,5,5,1,0.164
101173,110938,5,5,1,0.233
101173,243230,5,5,1,0.223
101174,101173,5,5,1,0.217
101175,18911,5,5,1,0.625
102754,102761,5,5,1,0.215
102755,102758,5,5,6,0.541
102757,102755,5,5,2,0.29
102758,167731,5,5,1,0.314
102761,54607,5,5,1,0.078
102762,186343,5,5,2,0.426
103495,103497,5,5,2,1.661
104474,104478,5,5,1,1.442
104475,94855,5,5,1,0.907
104476,66426,5,5,1,0.897
104476,123560,5,5,1,1.005
104477,60490,5,5,1,1.417
104478,134900,5,5,1,1.407
104479,66425,5,5,3,1.679
104481,104477,5,5,1,0.696
104482,114398,5,5,1,1.419
110933,110942,5,5,3,3.248
110937,110939,5,5,1,0.102
110938,236152,5,5,1,0.148
