node,layer,lat,lon,degree,geometry
15233,5,54.43944,-0.79394,14,"-0.79394, 54.43944"
17727,5,54.43767,-0.76192,12,"-0.76192, 54.43767"
18911,5,54.46106,-0.66248,16,"-0.66248, 54.46106"
25275,5,54.46643,-0.91072,14,"-0.91072, 54.46643"
25532,5,54.43612,-0.72496,12,"-0.72496, 54.43612"
33115,5,54.46729,-0.94665,17,"-0.94665, 54.46729"
33759,5,54.4606,-0.82571,14,"-0.82571, 54.4606"
38954,5,54.4702,-0.62777,14,"-0.62777, 54.4702"
40313,5,54.48462,-0.6154,30,"-0.6154, 54.48462"
52157,5,54.48002,-0.62758,2,"-0.62758, 54.48002"
52158,5,54.48043,-0.62519,2,"-0.62519, 54.48043"
53497,5,54.4654,-0.89476,2,"-0.89476, 54.4654"
54603,5,54.49062,-0.62392,2,"-0.62392, 54.49062"
54604,5,54.49049,-0.6238,2,"-0.6238, 54.49049"
54605,5,54.48882,-0.62617,2,"-0.62617, 54.48882"
54606,5,54.48345,-0.6217,3,"-0.6217, 54.48345"
54607,5,54.4722,-0.60819,2,"-0.60819, 54.4722"
54608,5,54.47255,-0.60645,2,"-0.60645, 54.47255"
54611,5,54.49033,-0.61821,2,"-0.61821, 54.49033"
54612,5,54.49019,-0.61819,2,"-0.61819, 54.49019"
60490,5,54.50906,-0.75572,3,"-0.75572, 54.50906"
64248,5,54.4854,-0.6232,2,"-0.6232, 54.4854"
64249,5,54.48551,-0.62329,3,"-0.62329, 54.48551"
64250,5,54.48451,-0.62855,2,"-0.62855, 54.48451"
64251,5,54.4847,-0.63117,2,"-0.63117, 54.4847"
64252,5,54.48479,-0.63117,2,"-0.63117, 54.48479"
64253,5,54.48385,-0.63253,2,"-0.63253, 54.48385"
64254,5,54.48473,-0.62377,2,"-0.62377, 54.48473"
64255,5,54.48474,-0.62396,2,"-0.62396, 54.48474"
64256,5,54.48386,-0.62529,2,"-0.62529, 54.48386"
64257,5,54.48447,-0.62869,2,"-0.62869, 54.48447"
66425,5,54.53367,-0.75562,3,"-0.75562, 54.53367"
66426,5,54.53407,-0.75698,2,"-0.75698, 54.53407"
73670,5,54.48238,-0.63194,3,"-0.63194, 54.48238"
