node,layer,lat,lon,degree,geometry
15233,2,54.43944,-0.79394,14,"-0.79394, 54.43944"
17727,2,54.43767,-0.76192,12,"-0.76192, 54.43767"
18911,2,54.46106,-0.66248,16,"-0.66248, 54.46106"
25275,2,54.46643,-0.91072,14,"-0.91072, 54.46643"
25532,2,54.43612,-0.72496,12,"-0.72496, 54.43612"
33115,2,54.46729,-0.94665,17,"-0.94665, 54.46729"
33759,2,54.4606,-0.82571,14,"-0.82571, 54.4606"
38954,2,54.4702,-0.62777,14,"-0.62777, 54.4702"
40313,2,54.48462,-0.6154,30,"-0.6154, 54.48462"
106999,2,54.48182,-0.97498,4,"-0.97498, 54.48182"
