node,layer,lat,lon,degree,geometry
1303,5,54.20173,-3.28441,4,"-3.28441, 54.20173"
1305,5,54.19748,-3.29158,4,"-3.29158, 54.19748"
1307,5,54.19979,-3.29539,5,"-3.29539, 54.19979"
1308,5,54.19824,-3.2935,4,"-3.2935, 54.19824"
1447,5,54.59968,-3.52596,8,"-3.52596, 54.59968"
1579,5,54.50877,-3.5194,4,"-3.5194, 54.50877"
1581,5,54.51276,-3.51332,4,"-3.51332, 54.51276"
1754,5,54.28331,-3.23107,4,"-3.23107, 54.28331"
1938,5,54.33983,-3.3647,4,"-3.3647, 54.33983"
1940,5,54.20247,-3.31009,6,"-3.31009, 54.20247"
1941,5,54.21547,-3.31958,4,"-3.31958, 54.21547"
1942,5,54.24337,-3.35312,4,"-3.35312, 54.24337"
2610,5,54.56563,-3.57952,8,"-3.57952, 54.56563"
3287,5,54.52444,-3.52483,4,"-3.52483, 54.52444"
5426,5,54.50385,-3.54479,10,"-3.54479, 54.50385"
5427,5,54.48436,-3.52841,4,"-3.52841, 54.48436"
5975,5,54.54168,-3.58216,32,"-3.58216, 54.54168"
6413,5,54.51811,-3.60087,4,"-3.60087, 54.51811"
6414,5,54.23705,-3.26309,4,"-3.26309, 54.23705"
6415,5,54.57093,-3.57395,7,"-3.57395, 54.57093"
7071,5,54.48856,-3.53389,4,"-3.53389, 54.48856"
7599,5,54.19718,-3.28876,8,"-3.28876, 54.19718"
7858,5,54.51433,-3.55265,7,"-3.55265, 54.51433"
9498,5,54.30695,-3.38161,4,"-3.38161, 54.30695"
9499,5,54.28211,-3.37217,4,"-3.37217, 54.28211"
12031,5,54.53258,-3.54192,7,"-3.54192, 54.53258"
12687,5,54.48633,-3.53518,4,"-3.53518, 54.48633"
12688,5,54.48461,-3.53672,4,"-3.53672, 54.48461"
12689,5,54.48207,-3.54562,4,"-3.54562, 54.48207"
12885,5,54.60604,-3.53316,9,"-3.53316, 54.60604"
15211,5,54.43369,-3.46824,4,"-3.46824, 54.43369"
15212,5,54.44013,-3.4798,5,"-3.4798, 54.44013"
15215,5,54.44604,-3.51456,9,"-3.51456, 54.44604"
18734,5,54.51489,-3.50752,4,"-3.50752, 54.51489"
18735,5,54.52791,-3.53346,4,"-3.53346, 54.52791"
18736,5,54.55386,-3.45726,7,"-3.45726, 54.55386"
18737,5,54.55295,-3.4618,4,"-3.4618, 54.55295"
18738,5,54.54046,-3.49465,4,"-3.49465, 54.54046"
18739,5,54.55431,-3.4674,6,"-3.4674, 54.55431"
19173,5,54.58876,-3.5425,4,"-3.5425, 54.58876"
19193,5,54.59731,-3.5391,16,"-3.5391, 54.59731"
20575,5,54.53027,-3.59236,9,"-3.59236, 54.53027"
20668,5,54.53724,-3.49441,5,"-3.49441, 54.53724"
21183,5,54.52594,-3.52869,4,"-3.52869, 54.52594"
21313,5,54.54214,-3.56391,8,"-3.56391, 54.54214"
24614,5,54.19935,-3.28704,4,"-3.28704, 54.19935"
25103,5,54.53079,-3.58092,4,"-3.58092, 54.53079"
25566,5,54.20606,-3.27898,4,"-3.27898, 54.20606"
25568,5,54.20787,-3.27939,6,"-3.27939, 54.20787"
25584,5,54.57269,-3.55682,4,"-3.55682, 54.57269"
25585,5,54.5772,-3.56171,8,"-3.56171, 54.5772"
25587,5,54.58077,-3.57239,4,"-3.57239, 54.58077"
25588,5,54.59307,-3.49947,4,"-3.49947, 54.59307"
25589,5,54.58397,-3.51571,4,"-3.51571, 54.58397"
26329,5,54.40336,-3.47281,4,"-3.47281, 54.40336"
26333,5,54.43734,-3.475,4,"-3.475, 54.43734"
26334,5,54.39767,-3.47781,4,"-3.47781, 54.39767"
26335,5,54.57481,-3.56762,4,"-3.56762, 54.57481"
