ori_node,des_node,ori_layer,des_layer,minutes,km
5975,31183,2,2,2,1.296
5975,48307,2,2,5,5.483
27637,41348,2,2,3,3.389
27637,48837,2,2,3,3.252
31183,5975,2,2,2,1.296
31183,35060,2,2,3,1.899
35060,31183,2,2,4,1.899
40983,43484,2,2,4,4.508
40983,48837,2,2,15,18.39
40983,141424,2,2,4,4.091
41348,27637,2,2,3,3.389
41348,120260,2,2,3,2.852
43484,40983,2,2,5,4.508
43484,96624,2,2,6,8.161
48307,5975,2,2,5,5.483
48307,120260,2,2,10,9.921
48837,27637,2,2,3,3.252
48837,41348,2,2,5,6.621
48837,96624,2,2,5,7.206
96624,43484,2,2,6,8.161
96624,48837,2,2,5,7.206
120260,41348,2,2,3,2.852
120260,48307,2,2,9,9.921
141424,40983,2,2,4,4.091
