node,layer,lat,lon,degree,geometry
12955,5,58.44169,-3.09798,24,"-3.09798, 58.44169"
46686,5,58.45296,-3.09233,10,"-3.09233, 58.45296"
53482,5,58.63859,-3.16981,2,"-3.16981, 58.63859"
57354,5,58.4331,-3.09444,3,"-3.09444, 58.4331"
58761,5,58.44161,-3.09363,8,"-3.09363, 58.44161"
61783,5,58.44623,-3.09562,5,"-3.09562, 58.44623"
61784,5,58.47284,-3.30585,2,"-3.30585, 58.47284"
71280,5,58.47153,-3.30245,2,"-3.30245, 58.47153"
72470,5,58.52896,-3.26274,2,"-3.26274, 58.52896"
72615,5,58.27672,-3.38459,2,"-3.38459, 58.27672"
75850,5,58.63218,-3.1235,7,"-3.1235, 58.63218"
78060,5,58.44637,-3.09592,6,"-3.09592, 58.44637"
78061,5,58.44874,-3.09549,4,"-3.09549, 58.44874"
78062,5,58.46002,-3.11309,9,"-3.11309, 58.46002"
78063,5,58.51373,-3.14608,9,"-3.14608, 58.51373"
80970,5,58.43464,-3.07918,2,"-3.07918, 58.43464"
80971,5,58.43296,-3.08887,2,"-3.08887, 58.43296"
82448,5,58.24876,-3.42996,2,"-3.42996, 58.24876"
85348,5,58.34629,-3.16537,4,"-3.16537, 58.34629"
88179,5,58.47156,-3.30193,6,"-3.30193, 58.47156"
92357,5,58.24636,-3.43859,4,"-3.43859, 58.24636"
94840,5,58.3902,-3.13583,3,"-3.13583, 58.3902"
95736,5,58.64335,-3.06883,7,"-3.06883, 58.64335"
99955,5,58.47632,-3.14546,11,"-3.14546, 58.47632"
108812,5,58.43644,-3.0936,3,"-3.0936, 58.43644"
112760,5,58.44148,-3.11843,4,"-3.11843, 58.44148"
112770,5,58.44329,-3.09346,2,"-3.09346, 58.44329"
124867,5,58.24853,-3.42939,4,"-3.42939, 58.24853"
129498,5,58.55279,-3.23634,4,"-3.23634, 58.55279"
131287,5,58.6384,-3.16985,7,"-3.16985, 58.6384"
131971,5,58.43824,-3.09409,3,"-3.09409, 58.43824"
133140,5,58.47299,-3.10191,6,"-3.10191, 58.47299"
134866,5,58.28308,-3.3664,5,"-3.3664, 58.28308"
135487,5,58.30187,-3.28505,6,"-3.28505, 58.30187"
145030,5,58.53282,-3.12127,2,"-3.12127, 58.53282"
150833,5,58.5346,-3.12282,3,"-3.12282, 58.5346"
151124,5,58.4443,-3.15669,8,"-3.15669, 58.4443"
151214,5,58.52919,-3.26268,2,"-3.26268, 58.52919"
151586,5,58.53453,-3.12347,6,"-3.12347, 58.53453"
153129,5,58.1843,-3.50079,4,"-3.50079, 58.1843"
154055,5,58.47377,-3.3076,2,"-3.3076, 58.47377"
154058,5,58.45981,-3.23544,4,"-3.23544, 58.45981"
155413,5,58.44794,-3.09466,4,"-3.09466, 58.44794"
159395,5,58.24629,-3.43831,2,"-3.43831, 58.24629"
169210,5,58.54524,-3.30726,5,"-3.30726, 58.54524"
170697,5,58.2744,-3.39133,2,"-3.39133, 58.2744"
170809,5,58.64328,-3.10773,6,"-3.10773, 58.64328"
171299,5,58.30831,-3.2862,5,"-3.2862, 58.30831"
176727,5,58.44042,-3.09441,4,"-3.09441, 58.44042"
181846,5,58.34635,-3.16551,3,"-3.16551, 58.34635"
182706,5,58.47604,-3.14424,12,"-3.14424, 58.47604"
193081,5,58.44445,-3.0807,3,"-3.0807, 58.44445"
193265,5,58.44441,-3.07621,2,"-3.07621, 58.44441"
193269,5,58.44621,-3.0925,2,"-3.0925, 58.44621"
193272,5,58.44568,-3.08896,2,"-3.08896, 58.44568"
194479,5,58.43309,-3.07846,2,"-3.07846, 58.43309"
194483,5,58.44346,-3.09329,3,"-3.09329, 58.44346"
194502,5,58.4446,-3.07662,2,"-3.07662, 58.4446"
196002,5,58.30809,-3.28635,5,"-3.28635, 58.30809"
196852,5,58.43848,-3.09959,8,"-3.09959, 58.43848"
197324,5,58.53276,-3.12145,2,"-3.12145, 58.53276"
201351,5,58.44215,-3.09316,7,"-3.09316, 58.44215"
202142,5,58.28325,-3.36681,5,"-3.36681, 58.28325"
204240,5,58.36675,-3.40362,2,"-3.40362, 58.36675"
211296,5,58.18441,-3.50105,2,"-3.50105, 58.18441"
