ori_node,des_node,ori_layer,des_layer,minutes,km
85,6388,5,5,1,1.407
85,34477,5,5,1,0.342
85,38933,5,5,3,0.468
85,98701,5,5,1,0.125
85,127952,5,5,2,0.472
331,5738,5,5,2,0.48
331,39664,5,5,5,0.839
504,25062,5,5,1,0.701
504,30062,5,5,2,0.872
504,44908,5,5,4,0.679
654,3372,5,5,1,0.693
654,40626,5,5,1,0.527
1425,7563,5,5,1,0.444
1425,41318,5,5,1,0.367
1453,1670,5,5,1,0.504
1453,14470,5,5,1,0.431
1453,40626,5,5,12,3.349
1670,1453,5,5,1,0.504
1670,47447,5,5,1,1.091
2391,11830,5,5,4,3.118
2391,15425,5,5,5,2.821
2391,42222,5,5,2,1.494
2446,4155,5,5,1,1.021
2446,47912,5,5,1,0.536
2803,10493,5,5,3,1.27
2803,118341,5,5,1,0.269
2864,2866,5,5,4,2.443
2864,2872,5,5,1,2.329
2865,2865,5,5,1,0
2865,2866,5,5,1,0.096
2865,171517,5,5,5,1.762
2866,2864,5,5,4,2.443
2866,2865,5,5,1,0.096
2872,2864,5,5,2,2.329
2872,2872,5,5,1,0
2872,24717,5,5,1,0.651
2873,14313,5,5,1,0.43
2873,24716,5,5,1,0.486
2873,102061,5,5,2,1.072
2873,111916,5,5,1,0.432
3237,18119,5,5,1,1.025
3237,35397,5,5,1,1.14
3372,654,5,5,1,0.693
3372,13856,5,5,2,1.14
3372,14470,5,5,2,2.249
4072,14539,5,5,1,0.376
4072,24448,5,5,1,0.278
4155,34588,5,5,1,0.64
4155,48280,5,5,2,0.519
4155,78370,5,5,1,0.404
4167,41786,5,5,1,0.924
4167,113613,5,5,1,0.819
4534,4534,5,5,1,0
4534,5130,5,5,1,1.224
4534,15116,5,5,4,2.223
4534,33696,5,5,2,0.714
4534,43997,5,5,3,0.746
4534,242264,5,5,2,1.015
4730,24448,5,5,1,0.834
4730,198727,5,5,1,0.345
5130,4534,5,5,1,1.224
5130,15116,5,5,1,1
5131,11248,5,5,2,1.142
5131,22204,5,5,1,0.677
5131,27039,5,5,1,0.277
5131,30948,5,5,4,4.123
5131,231701,5,5,2,2.126
5282,8227,5,5,2,1.076
5282,30266,5,5,4,3.352
5738,331,5,5,2,0.48
5738,26169,5,5,1,0.165
5738,32013,5,5,2,1.358
5738,123584,5,5,1,0.462
6388,85,5,5,2,1.407
6388,24448,5,5,3,1.662
6388,118335,5,5,8,0.927
6657,18119,5,5,1,0.992
6657,33918,5,5,1,0.555
7563,1425,5,5,1,0.444
7563,22840,5,5,1,0.346
