node,layer,lat,lon,degree,geometry
85,5,52.66973,0.15719,9,"0.15719, 52.66973"
331,5,52.55458,0.07276,4,"0.07276, 52.55458"
504,5,52.65039,0.0252,6,"0.0252, 52.65039"
654,5,52.68643,0.14027,4,"0.14027, 52.68643"
1425,5,52.51681,0.081,4,"0.081, 52.51681"
1453,5,52.71001,0.1217,6,"0.1217, 52.71001"
1670,5,52.70958,0.11424,4,"0.11424, 52.70958"
2391,5,52.68722,0.07569,6,"0.07569, 52.68722"
2446,5,52.49153,0.03933,4,"0.03933, 52.49153"
2803,5,52.66483,0.16971,4,"0.16971, 52.66483"
2864,5,52.54373,0.23405,4,"0.23405, 52.54373"
2865,5,52.52271,0.24724,6,"0.24724, 52.52271"
2866,5,52.52343,0.24803,4,"0.24803, 52.52343"
2872,5,52.56447,0.22882,10,"0.22882, 52.56447"
2873,5,52.58091,0.21957,9,"0.21957, 52.58091"
3237,5,52.63567,0.06748,4,"0.06748, 52.63567"
3372,5,52.69122,0.13365,6,"0.13365, 52.69122"
4072,5,52.67257,0.17225,4,"0.17225, 52.67257"
4155,5,52.4938,0.05397,5,"0.05397, 52.4938"
4167,5,52.49884,-0.01532,4,"-0.01532, 52.49884"
4534,5,52.55991,0.0912,25,"0.0912, 52.55991"
4730,5,52.67448,0.18736,4,"0.18736, 52.67448"
5130,5,52.57089,0.09296,4,"0.09296, 52.57089"
5131,5,52.63951,0.17007,9,"0.17007, 52.63951"
5282,5,52.61441,0.00041,4,"0.00041, 52.61441"
5738,5,52.55803,0.06845,8,"0.06845, 52.55803"
6388,5,52.65978,0.17014,7,"0.17014, 52.65978"
6657,5,52.61853,0.07412,4,"0.07412, 52.61853"
7563,5,52.51288,0.07972,4,"0.07972, 52.51288"
7735,5,52.72862,0.10834,6,"0.10834, 52.72862"
8097,5,52.66848,0.16397,9,"0.16397, 52.66848"
8107,5,52.61605,0.14639,8,"0.14639, 52.61605"
8227,5,52.61631,-0.01525,7,"-0.01525, 52.61631"
8482,5,52.60212,0.22124,8,"0.22124, 52.60212"
8519,5,52.60933,0.24376,8,"0.24376, 52.60933"
9200,5,52.49267,-0.02326,4,"-0.02326, 52.49267"
9418,5,52.59816,0.21102,4,"0.21102, 52.59816"
9420,5,52.68475,0.19316,10,"0.19316, 52.68475"
10097,5,52.61038,0.23418,8,"0.23418, 52.61038"
10391,5,52.67561,0.1323,4,"0.1323, 52.67561"
10493,5,52.67092,0.18569,4,"0.18569, 52.67092"
10695,5,52.6287,0.16804,4,"0.16804, 52.6287"
10796,5,52.50225,0.07899,7,"0.07899, 52.50225"
11248,5,52.64975,0.17177,18,"0.17177, 52.64975"
11755,5,52.65974,0.04403,6,"0.04403, 52.65974"
11830,5,52.66161,0.09471,10,"0.09471, 52.66161"
12622,5,52.5578,0.07853,4,"0.07853, 52.5578"
12728,5,52.65544,0.16828,5,"0.16828, 52.65544"
12905,5,52.53717,0.08618,5,"0.08618, 52.53717"
13435,5,52.66137,0.05447,6,"0.05447, 52.66137"
13751,5,52.60553,0.13712,4,"0.13712, 52.60553"
13856,5,52.68112,0.13671,8,"0.13671, 52.68112"
14306,5,52.7013,0.24209,8,"0.24209, 52.7013"
14313,5,52.57707,0.22048,6,"0.22048, 52.57707"
14386,5,52.60819,0.06226,4,"0.06226, 52.60819"
14470,5,52.71117,0.12782,6,"0.12782, 52.71117"
14539,5,52.67062,0.16767,7,"0.16767, 52.67062"
15116,5,52.57976,0.09561,8,"0.09561, 52.57976"
15425,5,52.66279,0.06414,6,"0.06414, 52.66279"
15461,5,52.60467,0.0631,4,"0.0631, 52.60467"
15618,5,52.67304,0.14775,8,"0.14775, 52.67304"
16434,5,52.50047,0.07637,6,"0.07637, 52.50047"
16771,5,52.64696,0.04469,7,"0.04469, 52.64696"
16968,5,52.67589,0.17428,4,"0.17428, 52.67589"
16979,5,52.50777,0.25609,4,"0.25609, 52.50777"
17396,5,52.68155,0.13235,6,"0.13235, 52.68155"
18119,5,52.62747,0.07449,4,"0.07449, 52.62747"
18423,5,52.64327,0.18969,4,"0.18969, 52.64327"
19328,5,52.50675,0.07969,7,"0.07969, 52.50675"
19826,5,52.65232,0.10055,6,"0.10055, 52.65232"
20534,5,52.60781,0.06028,8,"0.06028, 52.60781"
21961,5,52.62888,0.21002,4,"0.21002, 52.62888"
21962,5,52.64453,0.18532,4,"0.18532, 52.64453"
21963,5,52.66547,0.25188,4,"0.25188, 52.66547"
21966,5,52.64345,0.23474,6,"0.23474, 52.64345"
21967,5,52.64349,0.19851,8,"0.19851, 52.64349"
21968,5,52.64111,0.20821,6,"0.20821, 52.64111"
22204,5,52.64442,0.17605,4,"0.17605, 52.64442"
22840,5,52.50976,0.07999,6,"0.07999, 52.50976"
23267,5,52.68632,0.11928,4,"0.11928, 52.68632"
23843,5,52.592,0.10692,4,"0.10692, 52.592"
24448,5,52.67447,0.17496,21,"0.17496, 52.67447"
24512,5,52.67846,0.17456,9,"0.17456, 52.67846"
