ori_node,des_node,ori_layer,des_layer,minutes,km
8775,32327,2,2,7,4.163
8775,42263,2,2,2,0.905
12597,33058,2,2,3,1.842
17939,18975,2,2,3,3.225
17939,32327,2,2,14,11.576
17939,49250,2,2,4,2.935
18975,17939,2,2,4,3.225
18975,42263,2,2,4,3.524
21454,23853,2,2,6,6
21454,48209,2,2,2,1.128
23853,21454,2,2,5,6
23853,24084,2,2,5,5.266
23853,149118,2,2,11,14.09
24084,23853,2,2,5,5.266
32327,8775,2,2,7,4.163
32327,17939,2,2,13,11.576
32327,23853,2,2,14,9.098
32327,32983,2,2,3,2.404
32983,32327,2,2,4,2.404
33058,12597,2,2,3,1.842
33058,242418,2,2,5,4.77
42263,8775,2,2,2,0.905
42263,18975,2,2,4,3.524
48209,21454,2,2,2,1.128
48209,180092,2,2,4,4.676
49250,17939,2,2,3,2.935
149118,23853,2,2,11,14.09
149118,180092,2,2,3,2.629
180092,48209,2,2,5,4.676
180092,149118,2,2,3,2.629
242418,33058,2,2,4,4.77
