ori_node,des_node,ori_layer,des_layer,minutes,km
470,471,5,5,1,0.291
470,6114,5,5,1,0.544
470,29402,5,5,1,0.6
470,33914,5,5,1,0.292
471,470,5,5,1,0.291
471,2749,5,5,1,0.185
471,47683,5,5,1,0.415
679,24122,5,5,1,0.111
679,24130,5,5,1,0.362
735,3010,5,5,1,1.409
735,9031,5,5,1,0.322
735,50099,5,5,1,0.989
736,16495,5,5,8,5.537
736,23110,5,5,1,0.33
736,29261,5,5,1,1.216
742,4402,5,5,1,0.219
742,31780,5,5,1,0.158
762,10009,5,5,1,0.368
762,26597,5,5,1,1.82
762,45426,5,5,1,1.085
762,47131,5,5,1,0.821
912,17168,5,5,1,0.268
912,17177,5,5,1,0.173
912,78746,5,5,1,0.168
1793,4966,5,5,1,0.253
1793,31774,5,5,1,0.71
1793,41369,5,5,1,0.926
1794,4966,5,5,1,0.807
1794,4970,5,5,1,0.106
1794,45406,5,5,1,0.145
1795,1796,5,5,1,0.354
1795,4969,5,5,4,3.994
1795,8934,5,5,3,2.46
1795,16890,5,5,3,2.448
1795,41368,5,5,1,0.969
1796,1795,5,5,1,0.354
1796,4970,5,5,1,0.368
1799,10703,5,5,1,0.473
1799,20897,5,5,1,0.317
1800,10700,5,5,1,0.313
1800,10703,5,5,1,0.261
1926,14223,5,5,1,0.213
1926,34620,5,5,1,0.299
2749,471,5,5,1,0.185
2749,6113,5,5,2,0.286
2749,47683,5,5,1,0.233
2761,14200,5,5,3,0.441
2761,29264,5,5,1,0.277
2761,41475,5,5,3,0.485
2761,98131,5,5,2,0.345
2775,8938,5,5,2,0.559
2775,46386,5,5,2,0.425
2899,13224,5,5,3,1.547
2899,14223,5,5,1,0.27
2899,34583,5,5,1,0.317
2899,43886,5,5,2,0.561
2899,130534,5,5,1,0.131
2944,26601,5,5,1,0.553
2944,46381,5,5,1,0.467
2950,20902,5,5,3,1.745
2950,22366,5,5,4,1.916
2950,32419,5,5,4,2.786
2987,31093,5,5,4,1.642
2987,45417,5,5,2,1.112
2995,22368,5,5,1,0.395
2995,27498,5,5,1,0.107
2995,27502,5,5,1,0.27
2995,38846,5,5,1,0.151
3010,735,5,5,1,1.409
3010,22368,5,5,1,0.316
3010,32417,5,5,3,1.442
3010,53625,5,5,1,0.576
3010,168459,5,5,2,0.615
3049,19433,5,5,1,0.52
3049,29262,5,5,1,0.322
3056,28155,5,5,1,0.392
3056,47683,5,5,1,0.358
3056,51183,5,5,3,0.679
3103,10008,5,5,2,0.726
3103,23057,5,5,2,1.092
3236,10012,5,5,1,0.44
3236,14200,5,5,3,0.945
3236,28155,5,5,1,0.224
3236,29263,5,5,5,1.554
3236,41489,5,5,1,0.594
3236,69322,5,5,1,0.276
3236,76969,5,5,6,0.978
3236,260954,5,5,2,0.883
3252,10007,5,5,1,0.271
3252,10008,5,5,1,0.557
3252,111900,5,5,1,0.092
3252,173317,5,5,5,0.35
3254,23057,5,5,1,0.587
3254,31779,5,5,1,0.248
3256,26630,5,5,5,0.315
3256,254029,5,5,1,0.263
3257,4967,5,5,1,0.378
3257,4968,5,5,1,0.058
3259,16495,5,5,1,0.826
3259,26600,5,5,1,1.023
3259,31095,5,5,1,0.181
3260,17173,5,5,1,0.697
3260,17179,5,5,1,0.306
3260,47142,5,5,1,0.668
4402,742,5,5,1,0.219
4402,44329,5,5,1,0.369
4406,29402,5,5,11,6.166
4406,47137,5,5,1,0.261
4406,93123,5,5,1,0.213
4964,4964,5,5,1,0
4964,10699,5,5,10,5.604
4964,28599,5,5,10,5.352
4964,35439,5,5,7,4.119
4964,35479,5,5,1,0.318
4965,39943,5,5,4,3.985
4965,45406,5,5,1,0.327
4966,1793,5,5,1,0.253
4966,1794,5,5,1,0.807
4966,4970,5,5,1,0.701
4967,3257,5,5,1,0.378
4967,4968,5,5,4,0.435
4967,23122,5,5,2,0.641
4967,24123,5,5,1,0.419
4967,45408,5,5,1,0.311
4968,23122,5,5,1,0.41
4968,24122,5,5,1,0.274
4968,24131,5,5,1,0.235
4969,1795,5,5,2,3.994
4969,10702,5,5,1,0.479
4969,16890,5,5,2,2.665
4969,24126,5,5,1,0.318
4969,29263,5,5,5,3.689
4970,1794,5,5,1,0.106
4970,1796,5,5,1,0.368
4970,4966,5,5,1,0.701
5398,19483,5,5,1,0.783
5398,31773,5,5,1,1.499
5677,31775,5,5,1,0.763
5677,34739,5,5,1,0.462
5682,28203,5,5,1,0.23
5682,132067,5,5,1,0.232
5683,5684,5,5,1,0.166
5683,8169,5,5,3,0.518
5683,132067,5,5,1,0.271
5684,5685,5,5,1,0.151
5684,73600,5,5,1,0.109
5685,5684,5,5,1,0.151
5685,5686,5,5,1,0.233
5686,5685,5,5,1,0.233
5686,47662,5,5,1,0.241
5687,5688,5,5,1,0.499
5687,38155,5,5,1,0.277
5687,122255,5,5,1,0.268
5687,160271,5,5,1,0.094
5687,160272,5,5,1,0.309
5688,5687,5,5,1,0.499
5688,38155,5,5,1,0.379
5688,46383,5,5,1,0.213
6107,6108,5,5,1,0.184
6107,37355,5,5,1,0.132
6107,113032,5,5,1,0.096
6108,6107,5,5,1,0.184
6108,38587,5,5,1,0.173
6109,6111,5,5,1,0.288
6109,35439,5,5,1,0.083
6109,37355,5,5,1,0.348
6109,38585,5,5,1,0.485
6109,38587,5,5,1,0.823
6111,6109,5,5,1,0.288
6111,35439,5,5,1,0.218
6111,38585,5,5,1,0.368
6111,41372,5,5,1,0.265
6113,204058,5,5,1,0.239
6113,204059,5,5,2,0.552
6114,470,5,5,1,0.544
6114,31777,5,5,1,1.159
6746,16932,5,5,1,0.139
6746,39945,5,5,3,0.852
6746,44329,5,5,1,0.211
6765,25233,5,5,3,2.197
6765,38842,5,5,1,0.179
6836,28153,5,5,1,0.349
6836,191136,5,5,1,0.262
6909,2950,5,5,6,2.182
6909,22366,5,5,1,0.266
6909,32419,5,5,4,4.532
6909,43102,5,5,5,2.814
6928,16893,5,5,5,4.441
6928,29402,5,5,3,2.492
8169,5683,5,5,2,0.518
8169,8170,5,5,1,0.497
8169,8938,5,5,2,0.46
8169,27359,5,5,1,0.356
8170,8171,5,5,1,0.392
8170,46475,5,5,6,2.351
8170,132067,5,5,2,0.599
8170,205749,5,5,1,0.257
8171,8170,5,5,1,0.392
8171,8173,5,5,1,0.505
8171,27360,5,5,4,1.781
8171,122256,5,5,1,0.492
8171,157022,5,5,1,0.184
8173,24695,5,5,1,0.603
8173,31132,5,5,1,0.369
8173,31772,5,5,2,1.626
8173,47140,5,5,1,0.124
8173,166780,5,5,1,0.264
8839,14167,5,5,1,0.202
8839,16890,5,5,1,0.569
8839,33911,5,5,1,0.273
8934,1795,5,5,3,2.46
8934,16890,5,5,1,0.174
8934,27505,5,5,1,0.545
8936,8937,5,5,1,0.379
8936,27502,5,5,1,0.282
8936,31093,5,5,4,4.205
8936,98133,5,5,1,0.232
8937,8936,5,5,1,0.379
8937,47135,5,5,6,3.257
8938,2775,5,5,1,0.559
8938,27359,5,5,2,0.634
9031,735,5,5,1,0.322
9031,20383,5,5,3,0.906
9265,33519,5,5,2,1.077
9265,41266,5,5,2,1.176
10007,3252,5,5,1,0.271
10007,10012,5,5,1,0.386
10007,14200,5,5,3,0.945
10007,20901,5,5,9,4.176
10007,35384,5,5,1,0.231
10007,38587,5,5,1,0.924
10007,111900,5,5,1,0.36
10008,3103,5,5,1,0.726
10008,3252,5,5,1,0.557
10008,38587,5,5,1,0.511
10009,762,5,5,1,0.368
10009,26597,5,5,1,1.46
10012,10007,5,5,1,0.386
10012,28155,5,5,1,0.642
10012,35384,5,5,1,0.524
10012,41489,5,5,1,0.175
10012,230571,5,5,2,0.164
10698,13224,5,5,1,0.224
10698,28154,5,5,1,0.397
10699,4964,5,5,10,5.604
10699,28599,5,5,1,0.262
10699,32416,5,5,1,0.233
10699,32417,5,5,1,0.638
10699,236628,5,5,5,2.302
10700,1800,5,5,1,0.313
10700,13224,5,5,2,0.341
10702,4969,5,5,1,0.479
10702,19433,5,5,2,1.996
10702,43888,5,5,2,1.046
10703,1799,5,5,1,0.473
10703,1800,5,5,1,0.261
10705,20901,5,5,1,0.327
10705,23110,5,5,1,1.109
10773,14198,5,5,1,0.227
10773,19435,5,5,1,0.293
11455,30635,5,5,1,0.107
11455,260656,5,5,1,0.199
11457,11458,5,5,1,0.278
11457,45697,5,5,1,0.262
11457,47136,5,5,1,0.306
11458,11457,5,5,1,0.278
11458,31772,5,5,1,0.336
13220,13221,5,5,1,0.454
13220,31775,5,5,2,1.135
13221,13220,5,5,1,0.454
13221,20905,5,5,2,1.11
13222,59726,5,5,5,1.945
13223,20903,5,5,1,0.64
13224,2899,5,5,5,1.547
13224,10698,5,5,1,0.224
13224,10700,5,5,1,0.341
13224,143797,5,5,2,0.421
13225,20900,5,5,1,0.515
13225,28154,5,5,1,0.478
13323,20898,5,5,1,0.203
13323,20899,5,5,1,0.417
14167,8839,5,5,1,0.202
14167,23072,5,5,1,0.706
14167,33911,5,5,1,0.097
14167,53624,5,5,3,0.399
14187,19435,5,5,1,0.207
14187,29262,5,5,1,0.121
14187,29263,5,5,1,0.338
14198,10773,5,5,1,0.227
14198,19439,5,5,2,0.644
14198,111899,5,5,1,0.291
14200,10012,5,5,4,0.649
14200,28155,5,5,13,1.169
14200,41367,5,5,1,0.158
14200,98132,5,5,3,0.377
14200,111899,5,5,1,0.308
14200,230571,5,5,2,0.698
14200,260952,5,5,2,0.286
14223,1926,5,5,1,0.213
14223,2899,5,5,1,0.27
15446,15456,5,5,1,0.29
15446,240781,5,5,1,0.434
15456,236629,5,5,1,0.183
15456,245846,5,5,1,0.109
16494,16872,5,5,5,2.397
16495,736,5,5,8,5.537
16495,3259,5,5,2,0.826
16495,19485,5,5,13,7.05
16495,26600,5,5,1,0.219
16872,4964,5,5,1,0.978
16872,16494,5,5,3,2.397
16872,179854,5,5,5,2.762
16879,19646,5,5,1,0.215
16879,45670,5,5,1,0.286
16890,1795,5,5,3,2.448
16890,4969,5,5,2,2.665
16890,8839,5,5,1,0.569
16890,8934,5,5,1,0.174
16890,27505,5,5,1,0.718
16890,33911,5,5,2,0.841
16893,6928,5,5,5,4.441
16893,19737,5,5,2,0.596
16893,26600,5,5,3,1.727
16893,47137,5,5,4,1.186
16932,6746,5,5,1,0.139
16932,44329,5,5,1,0.224
16932,58570,5,5,1,0.163
17032,21846,5,5,1,0.208
17032,45692,5,5,1,0.151
17168,912,5,5,1,0.268
17168,40043,5,5,1,0.312
17168,44403,5,5,1,0.602
17168,49623,5,5,1,0.319
17173,3260,5,5,1,0.697
17173,17176,5,5,1,0.84
17174,17178,5,5,1,0.357
17174,19647,5,5,1,0.273
17174,132068,5,5,2,0.503
17175,17176,5,5,1,0.693
17175,38153,5,5,1,0.382
17176,17173,5,5,1,0.84
17176,17175,5,5,1,0.693
17177,912,5,5,1,0.173
17177,22365,5,5,1,0.185
17177,47139,5,5,1,0.243
17178,17174,5,5,1,0.357
17178,24850,5,5,1,0.286
17178,31772,5,5,1,0.453
17178,46475,5,5,10,3.321
17178,132068,5,5,1,0.323
17179,3260,5,5,1,0.306
17179,17179,5,5,1,0
17179,22365,5,5,1,0.275
17179,47142,5,5,3,0.931
17644,17645,5,5,1,0.692
17644,20901,5,5,6,3.313
17644,22364,5,5,10,6.342
17644,26598,5,5,5,3.549
17644,43365,5,5,6,3.425
17644,250696,5,5,11,3.757
17645,17644,5,5,1,0.692
17645,50105,5,5,1,0.445
17647,17648,5,5,1,0.194
17647,20381,5,5,1,0.18
17647,32419,5,5,2,1.623
17647,50793,5,5,1,0.341
17648,17647,5,5,1,0.194
17648,17649,5,5,1,0.614
17648,20381,5,5,1,0.25
17649,17648,5,5,1,0.614
17649,79039,5,5,1,0.2
17649,154726,5,5,1,0.364
17651,32420,5,5,8,4.597
17651,138889,5,5,2,1.773
18283,25241,5,5,4,2.051
18283,28601,5,5,4,1.636
18283,150636,5,5,5,2.473
18287,29402,5,5,5,3.955
18287,45669,5,5,3,0.748
18288,18765,5,5,2,0.517
18288,20901,5,5,1,0.934
18290,19646,5,5,1,0.445
18290,38842,5,5,2,1.005
18290,38843,5,5,1,0.851
18760,19646,5,5,1,0.329
18760,26602,5,5,1,0.192
18765,18288,5,5,1,0.517
18765,20901,5,5,2,1.449
18765,43102,5,5,3,2.796
19433,3049,5,5,1,0.52
19433,10702,5,5,1,1.996
19433,22019,5,5,2,1.282
19435,10773,5,5,1,0.293
19435,14187,5,5,1,0.207
19439,14198,5,5,3,0.644
19439,41367,5,5,1,0.152
19439,41475,5,5,1,0.297
19483,3010,5,5,8,3.248
19483,4964,5,5,7,3.092
19483,5398,5,5,1,0.783
19483,28599,5,5,3,2.293
19483,43106,5,5,2,0.767
19483,189414,5,5,3,0.848
19485,16495,5,5,11,7.05
19485,28155,5,5,1,0.64
19645,25233,5,5,1,0.305
19645,43886,5,5,3,1.353
19645,50799,5,5,1,0.265
19646,16879,5,5,1,0.215
19646,18760,5,5,1,0.329
19646,19646,5,5,1,0
19646,23120,5,5,1,0.277
19646,23122,5,5,1,0.939
19646,26594,5,5,1,0.421
19646,41369,5,5,2,2.728
19646,41370,5,5,1,0.793
19646,112554,5,5,1,0.26
19647,15456,5,5,2,0.399
19647,17174,5,5,1,0.273
19647,19647,5,5,1,0
19647,24695,5,5,1,0.883
19647,34739,5,5,1,0.757
19647,44399,5,5,1,0.367
19647,50794,5,5,30,23.28
19647,123904,5,5,1,0.462
19647,166779,5,5,1,0.594
19647,236629,5,5,1,0.216
19737,16893,5,5,1,0.596
19737,93117,5,5,4,2.738
20381,17647,5,5,1,0.18
20381,17648,5,5,1,0.25
20381,50793,5,5,1,0.207
20383,9031,5,5,3,0.906
20383,43106,5,5,1,0.369
20897,1799,5,5,1,0.317
20897,20899,5,5,1,0.186
20898,13323,5,5,1,0.203
20898,26601,5,5,1,0.572
20899,10698,5,5,1,1.092
20899,13323,5,5,1,0.417
20899,20897,5,5,1,0.186
20899,20900,5,5,1,0.462
20899,26601,5,5,3,1.177
20900,13225,5,5,1,0.515
20900,20899,5,5,1,0.462
20901,10007,5,5,8,4.176
20901,10705,5,5,1,0.327
20901,17644,5,5,4,3.313
20901,18288,5,5,1,0.934
20901,18765,5,5,2,1.449
20901,22364,5,5,5,3.029
20901,23110,5,5,2,1.4
20902,2950,5,5,3,1.745
20902,22366,5,5,2,2.363
20902,32419,5,5,4,4.368
20902,43102,5,5,1,0.576
20903,13223,5,5,1,0.64
20903,133786,5,5,1,0.737
20905,13221,5,5,2,1.11
20905,20903,5,5,2,1.245
21846,17032,5,5,1,0.208
21846,46382,5,5,1,0.135
22019,19433,5,5,2,1.282
22019,43888,5,5,1,0.347
