node,layer,lat,lon,degree,geometry
470,5,53.30952,-0.93268,8,"-0.93268, 53.30952"
471,5,53.31209,-0.93359,7,"-0.93359, 53.31209"
679,5,53.41741,-1.04784,4,"-1.04784, 53.41741"
735,5,53.24326,-0.91413,6,"-0.91413, 53.24326"
736,5,53.33028,-0.90849,6,"-0.90849, 53.33028"
742,5,53.31184,-1.14192,4,"-1.14192, 53.31184"
762,5,53.4096,-1.02196,11,"-1.02196, 53.4096"
912,5,53.30232,-1.10025,5,"-1.10025, 53.30232"
1793,5,53.38569,-1.06264,5,"-1.06264, 53.38569"
1794,5,53.37617,-1.06155,6,"-1.06155, 53.37617"
1795,5,53.37488,-1.05135,10,"-1.05135, 53.37488"
1796,5,53.37593,-1.0564,4,"-1.0564, 53.37593"
1799,5,53.35738,-1.1206,4,"-1.1206, 53.35738"
1800,5,53.35937,-1.12508,4,"-1.12508, 53.35937"
1926,5,53.37999,-1.1232,4,"-1.1232, 53.37999"
2749,5,53.31376,-0.9338,5,"-0.9338, 53.31376"
2761,5,53.33032,-0.95698,8,"-0.95698, 53.33032"
2775,5,53.33131,-1.12534,4,"-1.12534, 53.33131"
2899,5,53.37778,-1.12669,9,"-1.12669, 53.37778"
2944,5,53.34171,-1.1133,4,"-1.1133, 53.34171"
2950,5,53.40041,-0.92317,6,"-0.92317, 53.40041"
2987,5,53.21568,-0.80117,7,"-0.80117, 53.21568"
2995,5,53.23276,-0.89205,9,"-0.89205, 53.23276"
3010,5,53.23363,-0.9003,11,"-0.9003, 53.23363"
3049,5,53.33599,-0.96935,4,"-0.96935, 53.33599"
3056,5,53.31803,-0.93882,5,"-0.93882, 53.31803"
3103,5,53.31782,-0.97416,4,"-0.97416, 53.31782"
3236,5,53.32301,-0.94258,11,"-0.94258, 53.32301"
3252,5,53.32165,-0.95673,7,"-0.95673, 53.32165"
3254,5,53.31978,-0.99927,4,"-0.99927, 53.31978"
3256,5,53.31851,-1.10532,5,"-1.10532, 53.31851"
3257,5,53.4172,-1.05358,5,"-1.05358, 53.4172"
3259,5,53.32868,-0.82198,6,"-0.82198, 53.32868"
3260,5,53.30106,-1.08681,6,"-1.08681, 53.30106"
4402,5,53.31254,-1.14502,4,"-1.14502, 53.31254"
4406,5,53.29415,-0.83698,6,"-0.83698, 53.29415"
4964,5,53.27214,-0.96701,13,"-0.96701, 53.27214"
4965,5,53.37279,-1.06545,4,"-1.06545, 53.37279"
4966,5,53.38341,-1.06278,6,"-1.06278, 53.38341"
4967,5,53.42054,-1.05241,9,"-1.05241, 53.42054"
4968,5,53.41667,-1.05353,7,"-1.05353, 53.41667"
4969,5,53.35246,-1.0042,11,"-1.0042, 53.35246"
4970,5,53.37713,-1.06158,6,"-1.06158, 53.37713"
5398,5,53.26534,-0.92739,4,"-0.92739, 53.26534"
5677,5,53.29292,-1.12189,4,"-1.12189, 53.29292"
5682,5,53.32456,-1.12845,5,"-1.12845, 53.32456"
5683,5,53.32475,-1.12921,6,"-1.12921, 53.32475"
5684,5,53.32401,-1.1314,4,"-1.1314, 53.32401"
5685,5,53.32265,-1.13148,4,"-1.13148, 53.32265"
5686,5,53.3211,-1.12909,4,"-1.12909, 53.3211"
5687,5,53.32533,-1.11045,8,"-1.11045, 53.32533"
5688,5,53.32541,-1.11798,7,"-1.11798, 53.32541"
6107,5,53.31228,-0.9555,5,"-0.9555, 53.31228"
6108,5,53.3134,-0.95756,4,"-0.95756, 53.3134"
6109,5,53.30857,-0.95196,10,"-0.95196, 53.30857"
6111,5,53.30604,-0.95097,8,"-0.95097, 53.30604"
6113,5,53.31234,-0.93019,4,"-0.93019, 53.31234"
6114,5,53.30464,-0.9319,4,"-0.9319, 53.30464"
6746,5,53.31646,-1.15082,5,"-1.15082, 53.31646"
6765,5,53.40743,-1.08942,4,"-1.08942, 53.40743"
6836,5,53.42031,-1.06081,4,"-1.06081, 53.42031"
6909,5,53.40817,-0.89287,13,"-0.89287, 53.40817"
6928,5,53.30945,-0.89143,4,"-0.89143, 53.30945"
8169,5,53.32658,-1.1364,7,"-1.1364, 53.32658"
8170,5,53.3226,-1.13296,6,"-1.13296, 53.3226"
8171,5,53.31912,-1.13189,10,"-1.13189, 53.31912"
8173,5,53.3147,-1.13008,10,"-1.13008, 53.3147"
8839,5,53.3808,-1.01489,7,"-1.01489, 53.3808"
8934,5,53.37411,-1.01422,6,"-1.01422, 53.37411"
8936,5,53.23366,-0.88386,8,"-0.88386, 53.23366"
8937,5,53.23571,-0.87929,4,"-0.87929, 53.23571"
8938,5,53.33038,-1.13363,4,"-1.13363, 53.33038"
9031,5,53.24458,-0.91845,4,"-0.91845, 53.24458"
9265,5,53.28786,-1.22711,4,"-1.22711, 53.28786"
10007,5,53.32176,-0.95264,14,"-0.95264, 53.32176"
10008,5,53.31849,-0.96327,6,"-0.96327, 53.31849"
10009,5,53.40648,-1.02007,4,"-1.02007, 53.40648"
10012,5,53.32438,-0.94881,10,"-0.94881, 53.32438"
10698,5,53.36559,-1.12159,5,"-1.12159, 53.36559"
10699,5,53.25078,-0.89055,9,"-0.89055, 53.25078"
10700,5,53.36117,-1.12144,4,"-1.12144, 53.36117"
10702,5,53.35066,-0.99762,6,"-0.99762, 53.35066"
10703,5,53.35763,-1.12773,4,"-1.12773, 53.35763"
10705,5,53.34277,-0.90265,5,"-0.90265, 53.34277"
10773,5,53.3354,-0.95803,4,"-0.95803, 53.3354"
11455,5,53.2992,-1.10397,4,"-1.10397, 53.2992"
11457,5,53.29993,-1.14903,5,"-1.14903, 53.29993"
11458,5,53.30024,-1.14487,6,"-1.14487, 53.30024"
13220,5,53.27813,-1.10763,4,"-1.10763, 53.27813"
13221,5,53.27447,-1.10456,4,"-1.10456, 53.27447"
13222,5,53.25201,-1.08398,4,"-1.08398, 53.25201"
13223,5,53.24858,-1.09264,4,"-1.09264, 53.24858"
13224,5,53.36396,-1.1236,8,"-1.1236, 53.36396"
13225,5,53.36483,-1.12025,4,"-1.12025, 53.36483"
13323,5,53.35343,-1.11297,4,"-1.11297, 53.35343"
14167,5,53.38257,-1.01563,7,"-1.01563, 53.38257"
14187,5,53.33328,-0.96469,6,"-0.96469, 53.33328"
14198,5,53.33479,-0.95475,7,"-0.95475, 53.33479"
14200,5,53.33016,-0.95033,12,"-0.95033, 53.33016"
14223,5,53.38021,-1.1264,4,"-1.1264, 53.38021"
15446,5,53.30596,-1.11567,4,"-1.11567, 53.30596"
15456,5,53.30398,-1.11854,4,"-1.11854, 53.30398"
16494,5,53.25222,-0.98123,4,"-0.98123, 53.25222"
16495,5,53.32168,-0.82623,9,"-0.82623, 53.32168"
16872,5,53.26705,-0.95498,6,"-0.95498, 53.26705"
16879,5,53.41666,-1.07086,4,"-1.07086, 53.41666"
16890,5,53.37568,-1.01441,12,"-1.01441, 53.37568"
16893,5,53.30417,-0.82507,7,"-0.82507, 53.30417"
16932,5,53.31541,-1.15198,6,"-1.15198, 53.31541"
17032,5,53.30838,-1.10214,5,"-1.10214, 53.30838"
17168,5,53.30233,-1.10429,9,"-1.10429, 53.30233"
17173,5,53.30262,-1.07663,4,"-1.07663, 53.30262"
17174,5,53.30375,-1.12868,6,"-1.12868, 53.30375"
17175,5,53.30835,-1.05561,4,"-1.05561, 53.30835"
17176,5,53.30604,-1.06533,4,"-1.06533, 53.30604"
17177,5,53.30214,-1.09765,6,"-1.09765, 53.30214"
17178,5,53.30303,-1.13393,9,"-1.13393, 53.30303"
