ori_node,des_node,ori_layer,des_layer,minutes,km
3627,3627,5,5,2,0
3627,114366,5,5,1,0.555
3627,148873,5,5,1,0.37
3627,207352,5,5,1,0.347
4356,132513,5,5,1,0.325
4356,134850,5,5,1,0.316
4356,201904,5,5,2,0.629
4356,237548,5,5,1,0.28
6877,6877,5,5,1,0
6877,152955,5,5,1,0.369
6877,179259,5,5,1,0.29
6877,198633,5,5,1,0.36
10994,10994,5,5,1,0
10994,54234,5,5,1,0.405
10994,54235,5,5,1,0.401
10994,54236,5,5,1,0.339
10994,134236,5,5,1,0.518
10994,134237,5,5,1,0.86
10994,154745,5,5,14,8.157
10994,171964,5,5,1,0.252
10994,256969,5,5,1,0.379
10994,256974,5,5,1,0.486
11263,74933,5,5,1,0.381
11263,144213,5,5,1,0.281
11308,191573,5,5,1,0.431
11308,191575,5,5,1,0.479
17232,156674,5,5,1,0.217
17232,250383,5,5,1,0.105
21860,21860,5,5,1,0
21860,152958,5,5,1,0.471
21860,174352,5,5,2,0.371
21860,184140,5,5,1,0.251
21860,184141,5,5,1,0.262
21860,184145,5,5,1,0.417
29380,59791,5,5,1,0.672
29380,128293,5,5,1,0.491
29380,139290,5,5,1,0.48
29384,177666,5,5,1,0.406
29384,177671,5,5,1,0.325
32975,174353,5,5,1,0.339
32975,187433,5,5,2,0.513
32975,215032,5,5,1,0.267
32975,217976,5,5,2,1.347
32975,217981,5,5,1,0.345
32975,217982,5,5,1,0.343
33890,33890,5,5,1,0
33890,158085,5,5,1,0.407
33890,158087,5,5,1,0.369
40123,40123,5,5,1,0
40123,151314,5,5,1,0.401
40123,221435,5,5,1,0.476
40123,231031,5,5,1,0.363
41224,11308,5,5,1,0.645
41224,41224,5,5,1,0
41224,103114,5,5,1,0.345
41224,103115,5,5,1,0.371
41224,173772,5,5,1,0.361
41224,201318,5,5,2,0.563
41224,201319,5,5,1,0.538
41224,211794,5,5,1,0.374
52305,171650,5,5,1,0.619
52305,193101,5,5,1,0.691
54231,54233,5,5,1,0.392
54232,54240,5,5,1,0.431
54233,54232,5,5,1,0.383
54233,172041,5,5,4,0.776
54233,178138,5,5,1,1.273
54234,10994,5,5,1,0.405
54234,247134,5,5,1,0.471
54235,10994,5,5,1,0.401
54235,134236,5,5,1,0.288
54236,75698,5,5,1,0.217
54239,54231,5,5,1,0.495
54239,84735,5,5,2,0.401
54240,63868,5,5,1,0.282
54240,256972,5,5,1,0.262
55908,181813,5,5,1,0.1
55909,55916,5,5,1,0.216
55911,84736,5,5,1,0.221
55912,55913,5,5,1,0.144
55913,55914,5,5,1,0.226
55914,65510,5,5,1,0.128
55915,55908,5,5,1,0.232
55916,181811,5,5,1,0.152
55917,144216,5,5,1,0.304
55918,114758,5,5,1,0.305
56037,197578,5,5,1,0.531
56038,89285,5,5,2,0.534
56039,56037,5,5,1,0.581
56040,56042,5,5,1,0.511
56041,57650,5,5,1,0.583
56042,56044,5,5,1,0.503
56043,56041,5,5,1,0.508
56045,56043,5,5,1,0.5
56375,134852,5,5,1,0.241
56681,217977,5,5,1,0.277
56682,143728,5,5,1,0.328
56682,187434,5,5,1,0.334
56682,227844,5,5,1,0.2
57650,56039,5,5,1,0.553
57650,99079,5,5,8,4.427
57783,89919,5,5,1,0.161
57784,258952,5,5,1,0.201
57786,89918,5,5,1,0.089
57787,124776,5,5,1,0.237
57789,89920,5,5,1,0.123
57789,121204,5,5,1,0.137
58326,65512,5,5,1,0.142
59377,158538,5,5,1,0.56
59786,59787,5,5,1,0.406
59787,59789,5,5,1,0.222
59788,59790,5,5,1,0.361
59789,113935,5,5,1,0.355
59790,160334,5,5,1,0.205
59791,190198,5,5,1,1.162
59792,29380,5,5,1,1.034
61911,59376,5,5,1,0.555
63867,74926,5,5,1,0.187
63867,74929,5,5,1,0.12
63868,63870,5,5,1,0.434
63869,54239,5,5,1,0.416
63869,256972,5,5,1,0.304
63870,63873,5,5,1,0.233
63871,63869,5,5,1,0.245
63872,63871,5,5,1,0.162
63873,63874,5,5,1,0.429
63873,256976,5,5,1,0.359
63874,73334,5,5,1,0.219
63875,63867,5,5,1,0.311
63875,63872,5,5,1,0.494
63875,256976,5,5,1,0.13
63967,136612,5,5,1,0.177
63972,134234,5,5,1,0.081
64430,260591,5,5,1,0.177
64431,171648,5,5,1,0.17
65509,85396,5,5,1,0.272
65510,65509,5,5,1,0.279
65511,92604,5,5,1,0.143
65512,65511,5,5,1,0.151
65516,136620,5,5,1,0.175
67440,67445,5,5,1,0.22
67441,67444,5,5,1,0.138
67441,237547,5,5,1,0.134
67442,67441,5,5,1,0.11
67443,3627,5,5,1,0.349
67444,67443,5,5,1,0.359
67445,3627,5,5,1,0.345
67894,174351,5,5,4,0.505
70990,225559,5,5,1,0.087
73333,63875,5,5,1,0.269
73874,91675,5,5,1,0.183
73874,260588,5,5,1,0.231
74926,63867,5,5,1,0.187
74926,74927,5,5,1,0.248
74927,74926,5,5,1,0.248
74927,84740,5,5,1,0.249
74928,131820,5,5,1,0.058
74929,63874,5,5,1,0.182
74929,256976,5,5,1,0.253
74930,188510,5,5,1,0.27
74933,10994,5,5,1,0.946
74933,134236,5,5,1,0.447
74934,55915,5,5,1,0.101
75693,10994,5,5,1,0.339
75694,75693,5,5,1,0.127
75695,75700,5,5,1,0.188
75696,75695,5,5,1,0.133
75697,154148,5,5,1,0.33
75697,183535,5,5,1,0.25
75697,211793,5,5,1,0.217
75698,75699,5,5,1,0.165
75699,75701,5,5,1,0.206
75700,75694,5,5,1,0.322
75701,54233,5,5,1,0.229
77020,77021,5,5,1,0.223
77021,77028,5,5,1,0.223
77023,77024,5,5,1,0.303
77024,77029,5,5,1,0.167
77024,258954,5,5,1,0.157
77025,219738,5,5,1,0.259
77025,219739,5,5,1,0.296
77026,77023,5,5,1,0.177
77027,77020,5,5,1,0.124
77027,208361,5,5,1,0.118
77028,258954,5,5,1,0.252
77028,258958,5,5,1,0.138
77029,67442,5,5,1,0.314
77029,198629,5,5,1,0.138
77679,158544,5,5,1,0.399
77920,168320,5,5,1,0.531
77920,248997,5,5,2,1.393
78727,104076,5,5,2,0.419
78727,247243,5,5,2,0.884
83093,73333,5,5,1,0.387
83093,178138,5,5,5,3.21
83629,251772,5,5,1,0.268
84420,210996,5,5,1,0.307
84611,173770,5,5,1,0.193
84734,95961,5,5,1,0.193
84734,172043,5,5,1,0.152
84735,54240,5,5,1,0.322
84735,84737,5,5,1,0.193
84736,84738,5,5,1,0.275
84736,84739,5,5,1,0.21
84737,84735,5,5,1,0.193
84737,84738,5,5,1,0.213
84738,84736,5,5,1,0.275
84738,84737,5,5,1,0.213
84739,84740,5,5,1,0.278
84740,55911,5,5,1,0.266
84740,74927,5,5,1,0.249
84994,84995,5,5,1,0.487
84995,84999,5,5,1,0.582
84998,197582,5,5,1,0.494
84999,197583,5,5,1,0.555
85387,258468,5,5,1,0.255
85388,54232,5,5,1,0.435
85388,75696,5,5,1,0.106
85388,85393,5,5,1,0.352
85389,142582,5,5,1,0.179
85389,210991,5,5,1,0.239
85389,210998,5,5,1,0.388
85390,10994,5,5,1,0.512
85390,54234,5,5,1,0.245
85391,10994,5,5,1,0.622
85391,85390,5,5,1,0.285
85392,85387,5,5,1,0.281
85393,85391,5,5,1,0.308
85395,75697,5,5,1,0.323
85396,85389,5,5,1,0.344
89285,56040,5,5,1,0.61
89372,89378,5,5,1,0.373
89373,138267,5,5,1,0.188
89374,250753,5,5,1,0.231
89375,89374,5,5,1,0.155
89376,114015,5,5,1,0.222
89377,89379,5,5,1,0.292
89378,89375,5,5,1,0.165
89379,154752,5,5,1,0.228
89771,123573,5,5,1,0.117
89771,160334,5,5,1,0.257
89771,186817,5,5,1,0.352
89779,29380,5,5,1,0.367
89913,57789,5,5,1,0.142
89918,57784,5,5,1,0.171
89919,89913,5,5,1,0.136
89920,57787,5,5,1,0.133
91674,260588,5,5,2,0.412
91674,260591,5,5,2,0.194
91675,64431,5,5,1,0.063
91675,91674,5,5,2,0.261
91675,171648,5,5,1,0.229
92604,136615,5,5,1,0.127
93520,172043,5,5,1,0.23
93520,172047,5,5,1,0.339
93522,41224,5,5,1,0.254
94324,103114,5,5,1,0.21
94324,154146,5,5,1,0.1
94326,94341,5,5,1,0.177
94327,163981,5,5,1,0.218
94328,94326,5,5,1,0.233
94337,103114,5,5,2,0.457
94340,94327,5,5,1,0.167
94341,94337,5,5,1,0.323
95961,94328,5,5,1,0.106
95961,103119,5,5,1,0.214
97606,17232,5,5,2,0.199
97606,164598,5,5,2,0.233
97606,164599,5,5,1,0.222
97606,164601,5,5,2,0.254
97606,164602,5,5,1,0.37
97607,128292,5,5,2,0.428
97607,250383,5,5,1,0.146
99076,187906,5,5,1,0.45
99076,260591,5,5,6,0.513
99079,57650,5,5,10,4.427
99079,106101,5,5,1,0.35
99079,187906,5,5,1,0.455
99079,260589,5,5,1,0.304
99079,260591,5,5,3,0.507
99983,143463,5,5,1,0.377
99984,206160,5,5,1,0.618
103113,94340,5,5,1,0.325
103114,41224,5,5,1,0.345
103115,103117,5,5,1,0.285
103115,109454,5,5,1,0.135
103115,154146,5,5,1,0.171
103115,163977,5,5,1,0.189
103117,154967,5,5,1,0.233
103119,154964,5,5,1,0.185
104076,139288,5,5,2,0.442
104076,247243,5,5,1,0.517
104454,114368,5,5,1,0.169
104455,104459,5,5,1,0.121
104456,188956,5,5,1,0.192
104457,104458,5,5,1,0.111
104458,104454,5,5,1,0.156
104459,104456,5,5,1,0.124
106101,171654,5,5,1,0.224
107922,41224,5,5,1,0.496
107922,103117,5,5,2,1.115
107931,93522,5,5,1,0.286
109454,94324,5,5,1,0.078
109454,103113,5,5,1,0.3
109454,103117,5,5,1,0.15
109454,250384,5,5,1,0.249
111090,192164,5,5,1,0.209
111098,111090,5,5,1,0.168
111115,192167,5,5,2,0.51
111116,211504,5,5,1,0.127
113935,113936,5,5,1,0.221
113936,113937,5,5,1,0.212
113936,113943,5,5,1,0.504
113936,173995,5,5,1,0.333
113937,173995,5,5,1,0.184
113938,59788,5,5,2,0.7
113938,113943,5,5,1,0.208
113939,59786,5,5,1,0.189
113939,123573,5,5,1,0.305
113939,123576,5,5,1,0.261
113940,123573,5,5,1,0.194
113940,123574,5,5,1,0.269
113941,113935,5,5,1,0.478
113941,113944,5,5,1,0.194
113942,113940,5,5,1,0.302
113943,113942,5,5,1,0.213
113944,113935,5,5,1,0.284
113944,113936,5,5,3,0.505
114015,89377,5,5,1,0.136
114366,4356,5,5,1,0.177
114368,114374,5,5,1,0.165
114369,114371,5,5,1,0.131
114370,104455,5,5,1,0.166
114371,114370,5,5,1,0.108
114372,67440,5,5,1,0.345
114372,151311,5,5,1,0.441
114373,114375,5,5,1,0.19
114374,208359,5,5,1,0.077
114375,234200,5,5,1,0.313
114752,114753,5,5,1,0.331
114753,114754,5,5,1,0.239
114754,114755,5,5,1,0.292
114755,114756,5,5,1,0.281
114756,114757,5,5,1,0.375
114757,55918,5,5,1,0.153
114758,55917,5,5,1,0.23
114758,144214,5,5,2,0.831
114759,114760,5,5,1,0.371
114760,114761,5,5,1,0.185
114761,144215,5,5,1,0.31
117089,167825,5,5,1,0.242
117094,167820,5,5,1,0.287
117094,167827,5,5,1,0.333
118639,148207,5,5,1,0.16
118640,118643,5,5,1,0.336
118640,118645,5,5,2,0.588
118641,118639,5,5,1,0.507
118642,118641,5,5,1,0.221
118643,118645,5,5,1,0.26
118644,118642,5,5,1,0.237
118645,118647,5,5,1,0.335
118646,118644,5,5,1,0.405
118647,97606,5,5,1,0.447
118648,118646,5,5,1,0.43
121199,121206,5,5,1,0.203
121204,203572,5,5,1,0.482
121204,213244,5,5,1,0.478
121206,121204,5,5,1,0.195
122448,153368,5,5,2,1.291
122448,190032,5,5,6,3.423
122448,190195,5,5,5,5.717
123573,160334,5,5,1,0.321
123573,186817,5,5,1,0.242
123574,123576,5,5,1,0.057
123574,160334,5,5,1,0.292
123575,89771,5,5,1,0.164
123576,123578,5,5,1,0.212
123577,123575,5,5,1,0.274
123578,123580,5,5,1,0.293
123579,123577,5,5,1,0.371
123580,123582,5,5,1,0.403
123581,133446,5,5,1,0.187
123582,247242,5,5,1,0.714
124393,124401,5,5,1,0.182
124395,167002,5,5,2,0.465
124396,124398,5,5,1,0.176
124397,124395,5,5,1,0.086
124398,124400,5,5,1,0.142
124399,124397,5,5,1,0.211
124400,124402,5,5,1,0.191
124401,124399,5,5,1,0.171
124402,70990,5,5,1,0.153
124769,239141,5,5,1,0.345
124776,239144,5,5,1,0.161
124816,143466,5,5,1,0.201
124958,134854,5,5,1,0.257
124959,124961,5,5,1,0.263
124960,124958,5,5,1,0.197
124961,124963,5,5,1,0.236
124961,221433,5,5,1,0.227
124962,124965,5,5,1,0.231
124963,124962,5,5,1,0.191
124964,250760,5,5,1,0.124
