node,layer,lat,lon,degree,geometry
3627,5,50.81752,-0.41146,20,"-0.41146, 50.81752"
4356,5,50.8131,-0.40528,15,"-0.40528, 50.8131"
6877,5,50.81835,-0.39298,17,"-0.39298, 50.81835"
10994,5,50.83442,-0.27171,52,"-0.27171, 50.83442"
11263,5,50.82797,-0.28748,4,"-0.28748, 50.82797"
11308,5,50.82127,-0.32297,14,"-0.32297, 50.82127"
17232,5,50.80995,-0.36757,18,"-0.36757, 50.80995"
21860,5,50.81849,-0.37616,33,"-0.37616, 50.81849"
29380,5,50.8604,-0.40345,14,"-0.40345, 50.8604"
29384,5,50.84952,-0.39858,12,"-0.39858, 50.84952"
32975,5,50.82748,-0.37413,19,"-0.37413, 50.82748"
33890,5,50.82164,-0.35489,16,"-0.35489, 50.82164"
40123,5,50.81772,-0.43308,26,"-0.43308, 50.81772"
41224,5,50.82708,-0.3231,26,"-0.3231, 50.82708"
52305,5,50.87817,-0.2918,3,"-0.2918, 50.87817"
54231,5,50.84011,-0.27961,2,"-0.27961, 50.84011"
54232,5,50.84025,-0.27976,4,"-0.27976, 50.84025"
54233,5,50.83984,-0.28519,6,"-0.28519, 50.83984"
54234,5,50.83179,-0.27573,6,"-0.27573, 50.83179"
54235,5,50.83159,-0.27528,4,"-0.27528, 50.83159"
54236,5,50.83509,-0.27644,2,"-0.27644, 50.83509"
54239,5,50.83999,-0.27255,4,"-0.27255, 50.83999"
54240,5,50.84023,-0.27361,4,"-0.27361, 50.84023"
55908,5,50.83805,-0.32803,2,"-0.32803, 50.83805"
55909,5,50.83777,-0.32828,2,"-0.32828, 50.83777"
55911,5,50.84493,-0.27045,2,"-0.27045, 50.84493"
55912,5,50.83566,-0.32195,2,"-0.32195, 50.83566"
55913,5,50.83556,-0.324,3,"-0.324, 50.83556"
55914,5,50.83605,-0.32714,2,"-0.32714, 50.83605"
55915,5,50.84007,-0.32717,2,"-0.32717, 50.84007"
55916,5,50.83965,-0.32746,2,"-0.32746, 50.83965"
55917,5,50.82897,-0.27523,2,"-0.27523, 50.82897"
55918,5,50.82999,-0.26776,2,"-0.26776, 50.82999"
56037,5,50.92257,-0.32214,2,"-0.32214, 50.92257"
56038,5,50.92777,-0.32305,2,"-0.32305, 50.92777"
56039,5,50.92778,-0.32292,2,"-0.32292, 50.92778"
56040,5,50.93735,-0.31845,2,"-0.31845, 50.93735"
56041,5,50.93735,-0.31831,2,"-0.31831, 50.93735"
56042,5,50.94142,-0.31502,2,"-0.31502, 50.94142"
56043,5,50.9414,-0.31492,2,"-0.31492, 50.9414"
56044,5,50.94461,-0.30991,2,"-0.30991, 50.94461"
56045,5,50.94455,-0.30981,2,"-0.30981, 50.94455"
56375,5,50.81378,-0.39722,2,"-0.39722, 50.81378"
56681,5,50.83801,-0.3885,5,"-0.3885, 50.83801"
56682,5,50.83808,-0.38923,4,"-0.38923, 50.83808"
57650,5,50.93275,-0.32233,6,"-0.32233, 50.93275"
57783,5,50.83806,-0.4092,2,"-0.4092, 50.83806"
57784,5,50.83782,-0.40887,2,"-0.40887, 50.83782"
57786,5,50.83935,-0.40683,2,"-0.40683, 50.83935"
57787,5,50.83919,-0.40084,2,"-0.40084, 50.83919"
57789,5,50.83943,-0.40441,3,"-0.40441, 50.83943"
58326,5,50.83897,-0.32005,2,"-0.32005, 50.83897"
59376,5,50.90382,-0.34721,2,"-0.34721, 50.90382"
59377,5,50.90398,-0.34713,2,"-0.34713, 50.90398"
59786,5,50.8127,-0.44388,2,"-0.44388, 50.8127"
59787,5,50.80911,-0.44276,2,"-0.44276, 50.80911"
59788,5,50.8095,-0.44313,2,"-0.44313, 50.8095"
59789,5,50.80792,-0.44531,2,"-0.44531, 50.80792"
59790,5,50.81271,-0.44402,2,"-0.44402, 50.81271"
59791,5,50.86458,-0.4104,2,"-0.4104, 50.86458"
59792,5,50.86857,-0.41054,2,"-0.41054, 50.86857"
61911,5,50.90041,-0.3414,2,"-0.3414, 50.90041"
63867,5,50.84397,-0.25711,4,"-0.25711, 50.84397"
63868,5,50.83984,-0.26963,3,"-0.26963, 50.83984"
63869,5,50.83944,-0.26668,3,"-0.26668, 50.83944"
63870,5,50.84007,-0.26345,2,"-0.26345, 50.84007"
63871,5,50.84001,-0.26329,2,"-0.26329, 50.84001"
63872,5,50.84073,-0.26128,3,"-0.26128, 50.84073"
63873,5,50.84113,-0.26057,3,"-0.26057, 50.84113"
63874,5,50.84188,-0.25456,4,"-0.25456, 50.84188"
63875,5,50.84174,-0.25441,4,"-0.25441, 50.84174"
63967,5,50.82608,-0.29839,2,"-0.29839, 50.82608"
63972,5,50.82608,-0.29822,2,"-0.29822, 50.82608"
64430,5,50.89055,-0.32915,2,"-0.32915, 50.89055"
64431,5,50.8906,-0.32857,2,"-0.32857, 50.8906"
65509,5,50.83396,-0.33062,2,"-0.33062, 50.83396"
65510,5,50.83625,-0.32895,2,"-0.32895, 50.83625"
65511,5,50.84138,-0.32107,2,"-0.32107, 50.84138"
65512,5,50.84025,-0.31987,2,"-0.31987, 50.84025"
65516,5,50.83328,-0.32221,2,"-0.32221, 50.83328"
67440,5,50.81907,-0.41865,2,"-0.41865, 50.81907"
67441,5,50.82508,-0.41105,3,"-0.41105, 50.82508"
67442,5,50.82607,-0.41127,2,"-0.41127, 50.82607"
67443,5,50.82061,-0.41051,2,"-0.41051, 50.82061"
67444,5,50.82384,-0.41081,3,"-0.41081, 50.82384"
67445,5,50.81928,-0.41552,2,"-0.41552, 50.81928"
67894,5,50.82311,-0.3796,2,"-0.3796, 50.82311"
70990,5,50.83095,-0.34077,2,"-0.34077, 50.83095"
73333,5,50.84139,-0.2506,4,"-0.2506, 50.84139"
73334,5,50.84156,-0.25147,3,"-0.25147, 50.84156"
73874,5,50.88904,-0.33012,3,"-0.33012, 50.88904"
74926,5,50.8441,-0.25978,4,"-0.25978, 50.8441"
74927,5,50.84463,-0.26322,4,"-0.26322, 50.84463"
74928,5,50.83797,-0.24928,2,"-0.24928, 50.83797"
74929,5,50.84295,-0.25654,3,"-0.25654, 50.84295"
74930,5,50.82567,-0.29735,2,"-0.29735, 50.82567"
74931,5,50.83743,-0.24897,2,"-0.24897, 50.83743"
74933,5,50.83036,-0.28358,4,"-0.28358, 50.83036"
74934,5,50.84097,-0.32695,2,"-0.32695, 50.84097"
75693,5,50.83517,-0.2764,2,"-0.2764, 50.83517"
75694,5,50.83551,-0.27813,2,"-0.27813, 50.83551"
75695,5,50.83869,-0.2834,2,"-0.2834, 50.83869"
75696,5,50.83953,-0.28476,2,"-0.28476, 50.83953"
75697,5,50.83202,-0.33251,4,"-0.33251, 50.83202"
75698,5,50.83596,-0.27922,2,"-0.27922, 50.83596"
75699,5,50.83704,-0.28084,2,"-0.28084, 50.83704"
75700,5,50.83758,-0.28136,2,"-0.28136, 50.83758"
75701,5,50.83834,-0.28294,2,"-0.28294, 50.83834"
77020,5,50.825,-0.41141,3,"-0.41141, 50.825"
77021,5,50.82699,-0.41188,2,"-0.41188, 50.82699"
77023,5,50.82973,-0.41776,2,"-0.41776, 50.82973"
77024,5,50.83006,-0.41346,3,"-0.41346, 50.83006"
77025,5,50.82969,-0.42019,3,"-0.42019, 50.82969"
77026,5,50.82996,-0.42027,3,"-0.42027, 50.82996"
77027,5,50.82389,-0.41119,3,"-0.41119, 50.82389"
77028,5,50.82899,-0.41218,4,"-0.41218, 50.82899"
77029,5,50.82886,-0.41201,4,"-0.41201, 50.82886"
77679,5,50.87828,-0.29191,3,"-0.29191, 50.87828"
77920,5,50.88958,-0.27954,3,"-0.27954, 50.88958"
78727,5,50.82119,-0.47653,4,"-0.47653, 50.82119"
83093,5,50.84108,-0.2451,5,"-0.2451, 50.84108"
83629,5,50.88287,-0.3119,2,"-0.3119, 50.88287"
84420,5,50.83696,-0.33645,3,"-0.33645, 50.83696"
84611,5,50.83457,-0.3216,2,"-0.3216, 50.83457"
84734,5,50.83736,-0.31824,3,"-0.31824, 50.83736"
84735,5,50.84125,-0.27792,4,"-0.27792, 50.84125"
84736,5,50.84355,-0.27274,4,"-0.27274, 50.84355"
84737,5,50.84283,-0.27907,4,"-0.27907, 50.84283"
84738,5,50.84396,-0.27661,4,"-0.27661, 50.84396"
84739,5,50.84488,-0.27061,2,"-0.27061, 50.84488"
84740,5,50.84517,-0.26667,4,"-0.26667, 50.84517"
84994,5,50.9046,-0.33269,2,"-0.33269, 50.9046"
84995,5,50.9087,-0.33018,2,"-0.33018, 50.9087"
84998,5,50.90866,-0.33,2,"-0.33, 50.90866"
84999,5,50.91368,-0.32756,2,"-0.32756, 50.91368"
85387,5,50.83752,-0.28411,2,"-0.28411, 50.83752"
85388,5,50.84011,-0.28597,5,"-0.28597, 50.84011"
85389,5,50.83325,-0.33728,4,"-0.33728, 50.83325"
85390,5,50.833,-0.27866,3,"-0.27866, 50.833"
85391,5,50.8353,-0.28048,3,"-0.28048, 50.8353"
85392,5,50.8358,-0.28116,2,"-0.28116, 50.8358"
85393,5,50.83737,-0.28342,2,"-0.28342, 50.83737"
85395,5,50.8332,-0.33673,4,"-0.33673, 50.8332"
85396,5,50.83194,-0.33282,4,"-0.33282, 50.83194"
89285,5,50.93258,-0.32278,2,"-0.32278, 50.93258"
89372,5,50.80686,-0.39202,2,"-0.39202, 50.80686"
89373,5,50.80723,-0.3876,2,"-0.3876, 50.80723"
89374,5,50.80855,-0.39926,2,"-0.39926, 50.80855"
89375,5,50.80715,-0.39937,2,"-0.39937, 50.80715"
89376,5,50.80864,-0.39913,2,"-0.39913, 50.80864"
89377,5,50.80659,-0.3973,2,"-0.3973, 50.80659"
89378,5,50.80643,-0.3973,2,"-0.3973, 50.80643"
89379,5,50.80693,-0.39316,2,"-0.39316, 50.80693"
89771,5,50.81507,-0.44723,4,"-0.44723, 50.81507"
89779,5,50.85713,-0.40263,3,"-0.40263, 50.85713"
89913,5,50.83948,-0.40644,2,"-0.40644, 50.83948"
89918,5,50.83929,-0.4081,2,"-0.4081, 50.83929"
89919,5,50.83942,-0.40839,2,"-0.40839, 50.83942"
89920,5,50.83955,-0.40266,2,"-0.40266, 50.83955"
91674,5,50.88881,-0.32713,4,"-0.32713, 50.88881"
91675,5,50.89064,-0.32948,6,"-0.32948, 50.89064"
92604,5,50.8414,-0.32311,2,"-0.32311, 50.8414"
93520,5,50.83552,-0.31767,4,"-0.31767, 50.83552"
93522,5,50.82675,-0.31951,2,"-0.31951, 50.82675"
94324,5,50.83178,-0.32042,4,"-0.32042, 50.83178"
94326,5,50.83607,-0.31294,2,"-0.31294, 50.83607"
94327,5,50.83599,-0.31315,2,"-0.31315, 50.83599"
94328,5,50.83534,-0.31606,2,"-0.31606, 50.83534"
94337,5,50.83259,-0.31647,2,"-0.31647, 50.83259"
94340,5,50.83448,-0.31308,2,"-0.31308, 50.83448"
94341,5,50.83447,-0.31295,2,"-0.31295, 50.83447"
95961,5,50.83568,-0.31748,4,"-0.31748, 50.83568"
97606,5,50.81161,-0.36647,7,"-0.36647, 50.81161"
97607,5,50.80991,-0.36891,5,"-0.36891, 50.80991"
99076,5,50.89338,-0.33232,4,"-0.33232, 50.89338"
99079,5,50.89336,-0.33215,9,"-0.33215, 50.89336"
99983,5,50.82969,-0.47925,2,"-0.47925, 50.82969"
99984,5,50.82988,-0.47919,2,"-0.47919, 50.82988"
103113,5,50.83261,-0.31665,2,"-0.31665, 50.83261"
103114,5,50.83004,-0.3216,5,"-0.3216, 50.83004"
103115,5,50.8303,-0.32168,5,"-0.32168, 50.8303"
103117,5,50.83212,-0.3188,5,"-0.3188, 50.83212"
103119,5,50.83377,-0.31797,2,"-0.31797, 50.83377"
104076,5,50.81877,-0.47193,4,"-0.47193, 50.81877"
104454,5,50.82253,-0.40273,2,"-0.40273, 50.82253"
104455,5,50.8229,-0.40099,2,"-0.40099, 50.8229"
104456,5,50.82275,-0.39944,2,"-0.39944, 50.82275"
104457,5,50.82373,-0.39948,2,"-0.39948, 50.82373"
104458,5,50.82307,-0.40067,2,"-0.40067, 50.82307"
104459,5,50.82381,-0.40003,2,"-0.40003, 50.82381"
106101,5,50.89335,-0.32715,5,"-0.32715, 50.89335"
107922,5,50.82266,-0.32415,3,"-0.32415, 50.82266"
107931,5,50.82715,-0.31547,2,"-0.31547, 50.82715"
109454,5,50.83109,-0.3202,5,"-0.3202, 50.83109"
111090,5,50.81024,-0.39108,2,"-0.39108, 50.81024"
111098,5,50.81003,-0.39346,2,"-0.39346, 50.81003"
111115,5,50.8086,-0.39239,2,"-0.39239, 50.8086"
111116,5,50.80859,-0.39262,2,"-0.39262, 50.80859"
113935,5,50.80557,-0.44876,4,"-0.44876, 50.80557"
113936,5,50.80364,-0.44797,5,"-0.44797, 50.80364"
113937,5,50.80378,-0.45099,2,"-0.45099, 50.80378"
113938,5,50.80692,-0.45224,3,"-0.45224, 50.80692"
113939,5,50.81441,-0.44386,4,"-0.44386, 50.81441"
113940,5,50.81251,-0.44889,3,"-0.44889, 50.81251"
113941,5,50.80979,-0.45013,4,"-0.45013, 50.80979"
113942,5,50.80993,-0.45029,2,"-0.45029, 50.80993"
113943,5,50.80803,-0.44985,3,"-0.44985, 50.80803"
113944,5,50.80806,-0.44969,3,"-0.44969, 50.80806"
114015,5,50.80664,-0.39924,2,"-0.39924, 50.80664"
114366,5,50.81308,-0.40781,3,"-0.40781, 50.81308"
114368,5,50.82309,-0.40498,2,"-0.40498, 50.82309"
114369,5,50.82393,-0.40504,2,"-0.40504, 50.82393"
114370,5,50.8226,-0.40332,2,"-0.40332, 50.8226"
114371,5,50.82275,-0.40485,2,"-0.40485, 50.82275"
114372,5,50.82197,-0.42044,4,"-0.42044, 50.82197"
114373,5,50.81946,-0.42193,3,"-0.42193, 50.81946"
114374,5,50.82458,-0.40497,2,"-0.40497, 50.82458"
114375,5,50.82109,-0.42108,2,"-0.42108, 50.82109"
