ori_node,des_node,ori_layer,des_layer,minutes,km
3627,6877,2,2,2,1.299
3627,21860,2,2,4,2.478
3627,40123,2,2,2,1.516
6877,3627,2,2,2,1.299
6877,21860,2,2,2,1.179
10994,21860,2,2,6,7.536
10994,33890,2,2,5,6.003
10994,41224,2,2,4,3.694
21860,3627,2,2,3,2.478
21860,6877,2,2,2,1.179
21860,10994,2,2,6,7.536
21860,33890,2,2,2,1.532
21860,41224,2,2,4,3.841
33890,10994,2,2,6,6.003
33890,21860,2,2,2,1.532
33890,41224,2,2,3,2.31
40123,3627,2,2,2,1.516
41224,10994,2,2,4,3.694
41224,21860,2,2,4,3.841
41224,33890,2,2,3,2.31
