node,layer,lat,lon,degree,geometry
2194,5,52.93212,-3.05657,16,"-3.05657, 52.93212"
2535,5,52.98472,-3.06259,16,"-3.06259, 52.98472"
5420,5,53.07259,-3.0179,28,"-3.0179, 53.07259"
16623,5,53.09882,-3.03106,19,"-3.03106, 53.09882"
18050,5,52.96314,-3.08462,15,"-3.08462, 52.96314"
19320,5,53.11738,-3.03689,24,"-3.03689, 53.11738"
30555,5,52.9331,-3.06566,14,"-3.06566, 52.9331"
30704,5,53.10788,-3.03292,17,"-3.03292, 53.10788"
39525,5,52.98715,-3.04315,44,"-3.04315, 52.98715"
40713,5,53.04621,-2.99906,53,"-2.99906, 53.04621"
51002,5,53.00956,-3.04311,16,"-3.04311, 53.00956"
51185,5,53.05025,-3.00245,29,"-3.00245, 53.05025"
51656,5,52.92825,-3.05753,3,"-3.05753, 52.92825"
51657,5,52.93356,-3.05606,2,"-3.05606, 52.93356"
51933,5,53.0441,-3.01894,2,"-3.01894, 53.0441"
52180,5,52.99433,-3.03483,3,"-3.03483, 52.99433"
53305,5,53.08658,-3.14482,1,"-3.14482, 53.08658"
55735,5,52.99314,-3.03523,2,"-3.03523, 52.99314"
55740,5,52.9755,-3.06765,4,"-3.06765, 52.9755"
55741,5,52.98203,-3.07185,2,"-3.07185, 52.98203"
55749,5,52.9913,-3.03331,2,"-3.03331, 52.9913"
56465,5,53.13868,-3.11167,3,"-3.11167, 53.13868"
56466,5,53.13937,-3.10161,2,"-3.10161, 53.13937"
56467,5,53.15117,-3.12189,3,"-3.12189, 53.15117"
56468,5,53.14358,-3.11924,3,"-3.11924, 53.14358"
56470,5,53.15136,-3.12206,3,"-3.12206, 53.15136"
56472,5,53.15062,-3.11165,2,"-3.11165, 53.15062"
56854,5,53.03597,-2.93113,2,"-2.93113, 53.03597"
56855,5,53.05621,-2.96611,2,"-2.96611, 53.05621"
56856,5,53.04094,-2.92278,3,"-2.92278, 53.04094"
56857,5,53.03874,-2.92731,2,"-2.92731, 53.03874"
58244,5,53.07612,-3.06012,3,"-3.06012, 53.07612"
58245,5,53.07708,-3.05082,4,"-3.05082, 53.07708"
58247,5,53.07008,-3.04621,4,"-3.04621, 53.07008"
58248,5,53.06815,-3.04488,4,"-3.04488, 53.06815"
58249,5,53.06289,-3.04861,3,"-3.04861, 53.06289"
58250,5,53.06386,-3.05297,3,"-3.05297, 53.06386"
61356,5,52.94515,-3.05896,3,"-3.05896, 52.94515"
61357,5,52.93519,-3.04991,2,"-3.04991, 52.93519"
61358,5,52.93598,-3.05019,2,"-3.05019, 52.93598"
61359,5,52.93396,-3.05379,2,"-3.05379, 52.93396"
61360,5,52.93524,-3.05001,2,"-3.05001, 52.93524"
61361,5,52.94407,-3.05549,3,"-3.05549, 52.94407"
61362,5,52.93914,-3.05396,2,"-3.05396, 52.93914"
61363,5,52.94374,-3.0595,3,"-3.0595, 52.94374"
61759,5,53.06915,-3.00477,3,"-3.00477, 53.06915"
61760,5,53.06698,-3.00192,5,"-3.00192, 53.06698"
61761,5,53.06353,-2.99991,2,"-2.99991, 53.06353"
61763,5,53.08989,-3.02915,4,"-3.02915, 53.08989"
61764,5,53.07189,-3.014,2,"-3.014, 53.07189"
61765,5,53.07005,-3.00918,3,"-3.00918, 53.07005"
61767,5,53.06081,-3.0013,2,"-3.0013, 53.06081"
61768,5,53.05752,-3.00046,3,"-3.00046, 53.05752"
61924,5,52.93494,-3.05715,3,"-3.05715, 52.93494"
