ori_node,des_node,ori_layer,des_layer,minutes,km
3937,3937,5,5,1,0
3937,261852,5,5,3,1.208
6308,179081,5,5,1,0.306
6308,208231,5,5,1,0.925
6308,213685,5,5,2,1.822
6308,223785,5,5,1,0.454
10146,69340,5,5,1,0.404
10146,110353,5,5,1,0.518
10146,205269,5,5,1,0.428
10146,208226,5,5,3,1.907
22457,22457,5,5,1,0
22457,156485,5,5,2,1.307
22457,175037,5,5,2,0.391
22457,235056,5,5,4,1.041
23301,23301,5,5,1,0
23301,90287,5,5,1,0.284
23301,119673,5,5,7,3.516
23301,183026,5,5,5,2.181
23301,213685,5,5,5,2.14
23301,239382,5,5,1,0.39
23301,243896,5,5,3,0.77
24404,90293,5,5,1,0.731
24404,159422,5,5,1,0.358
24813,114358,5,5,2,0.871
24813,188497,5,5,1,1.238
24813,188501,5,5,1,1.082
24813,248043,5,5,1,0.472
26332,259057,5,5,2,1.408
26332,261853,5,5,1,0.341
33137,107622,5,5,1,1.743
33137,136656,5,5,1,0.53
33137,205258,5,5,1,0.066
44078,53851,5,5,6,1.663
44078,83779,5,5,5,2.187
44078,134961,5,5,3,0.837
44078,134964,5,5,1,0.312
44078,154901,5,5,3,2.007
51619,108209,5,5,1,0.743
51620,125209,5,5,3,1.03
51621,51624,5,5,7,2.625
51622,51628,5,5,2,1.551
51623,51622,5,5,7,2.636
51624,84063,5,5,5,3.001
51624,125209,5,5,5,3.23
51625,51621,5,5,4,1.944
51625,51627,5,5,1,0.452
51626,252524,5,5,1,0.557
51627,51621,5,5,3,1.573
51628,51626,5,5,1,0.455
51931,162962,5,5,1,0.366
53136,53142,5,5,3,1.859
53137,84098,5,5,1,0.163
53138,53144,5,5,1,0.114
53139,166381,5,5,1,0.37
53140,252525,5,5,1,0.362
53141,156559,5,5,5,3.52
53142,166375,5,5,1,0.325
53143,53137,5,5,3,1.869
53144,84083,5,5,1,0.769
53145,53139,5,5,1,0.108
53182,197564,5,5,1,0.303
53183,53184,5,5,2,0.845
53183,136435,5,5,1,0.468
53183,227174,5,5,1,1.412
53183,252528,5,5,4,2.72
53184,252528,5,5,3,1.894
53185,53182,5,5,2,0.842
53186,137173,5,5,1,0.175
53186,137174,5,5,1,0.455
53851,159421,5,5,2,0.281
54195,80651,5,5,4,1.482
54195,214872,5,5,2,3.309
55723,251067,5,5,1,0.125
55724,55726,5,5,2,0.263
55725,55723,5,5,2,0.237
55727,251069,5,5,1,0.121
55728,256739,5,5,1,0.162
56371,90175,5,5,1,0.196
56371,98359,5,5,1,0.198
56371,189983,5,5,1,0.225
56373,23301,5,5,1,0.387
57238,123291,5,5,1,0.084
57239,136655,5,5,1,0.267
58050,177637,5,5,4,1.446
58055,150397,5,5,5,0.872
58055,248039,5,5,1,0.324
58056,58055,5,5,4,0.699
58056,177637,5,5,3,1.452
58056,248039,5,5,1,0.377
58723,252526,5,5,1,0.314
58892,58894,5,5,3,0.242
58892,58895,5,5,1,0.087
58892,99704,5,5,3,0.376
58892,164825,5,5,1,0.34
58893,143559,5,5,3,0.776
58894,58895,5,5,1,0.171
58894,96373,5,5,1,0.196
58894,99704,5,5,2,0.347
58895,186809,5,5,1,0.226
60328,60330,5,5,1,2.61
60328,60333,5,5,1,0.833
60328,104530,5,5,2,0.537
60329,60328,5,5,2,0.547
60329,60330,5,5,12,2.991
60330,60335,5,5,1,0.121
60330,104530,5,5,3,2.965
60330,186435,5,5,5,3.879
60331,60328,5,5,10,2.618
60331,104527,5,5,9,2.6
60331,222290,5,5,7,2.009
60331,222291,5,5,7,2.014
60332,60328,5,5,2,0.819
60334,60331,5,5,1,0.115
60335,186435,5,5,5,3.788
60335,222288,5,5,1,0.129
60637,60638,5,5,1,0.864
60638,261850,5,5,1,1.183
60639,94787,5,5,6,3.515
60639,123945,5,5,4,4.039
60639,185611,5,5,4,3.123
60639,223120,5,5,3,2.957
60640,60639,5,5,1,0.922
61216,240233,5,5,1,0.305
61217,136655,5,5,1,0.284
61218,109494,5,5,1,0.278
61221,100776,5,5,6,2.459
61561,256771,5,5,1,0.158
61563,256774,5,5,1,0.145
62241,81537,5,5,3,1.571
62242,62247,5,5,1,0.457
62242,79901,5,5,2,1.06
62243,244898,5,5,1,0.571
62244,184108,5,5,1,1.556
62246,79901,5,5,2,0.847
62246,98084,5,5,10,7.522
62247,174426,5,5,1,0.397
62247,255066,5,5,5,5.358
62809,176152,5,5,2,0.54
62810,252524,5,5,1,0.549
62811,72302,5,5,1,0.37
62812,240234,5,5,1,0.176
62813,195656,5,5,4,1.043
62815,240228,5,5,1,0.104
62847,199692,5,5,2,0.74
62848,244253,5,5,1,0.431
63650,259807,5,5,1,1.125
63651,85634,5,5,5,1.289
63653,90289,5,5,1,0.158
63678,156564,5,5,1,0.297
64510,118844,5,5,1,0.971
65795,166849,5,5,3,1.046
65796,156564,5,5,4,1.796
67259,68540,5,5,1,0.14
67733,248039,5,5,1,0.34
67734,176662,5,5,1,0.654
67735,148422,5,5,6,1.687
67735,176661,5,5,2,1.451
67736,125207,5,5,4,2.31
67737,147208,5,5,5,2.506
67737,147211,5,5,4,2.507
68531,155384,5,5,1,0.386
68533,85051,5,5,1,0.226
68534,147936,5,5,1,0.465
68534,250155,5,5,1,0.561
68535,68534,5,5,2,0.489
68535,69337,5,5,1,0.256
68537,78175,5,5,1,0.193
68540,69334,5,5,2,0.258
68540,131601,5,5,1,0.271
68540,198648,5,5,1,0.153
68540,230494,5,5,1,0.193
68541,68531,5,5,1,0.218
68541,209318,5,5,1,0.507
69332,131599,5,5,1,0.362
69333,250160,5,5,1,0.11
69334,61218,5,5,3,0.634
69335,131601,5,5,1,0.072
69335,198648,5,5,1,0.122
69336,185931,5,5,2,1.021
69337,68534,5,5,1,0.233
69338,10146,5,5,1,0.406
69340,208226,5,5,3,1.621
69340,208227,5,5,4,3.442
70972,142066,5,5,2,2.761
71795,22457,5,5,1,0.395
71796,170439,5,5,3,0.421
71796,170440,5,5,4,0.434
71797,71795,5,5,1,0.443
72302,178680,5,5,1,0.327
72997,248047,5,5,1,0.151
73177,73178,5,5,1,0.26
73177,87880,5,5,1,0.314
73177,214940,5,5,5,0.556
73177,224768,5,5,1,0.485
73177,224881,5,5,2,0.529
73177,224882,5,5,2,0.52
73177,249472,5,5,1,0.235
73178,87872,5,5,1,0.171
73178,224768,5,5,1,0.241
73179,73180,5,5,2,0.773
73179,95140,5,5,1,0.559
73180,131355,5,5,2,0.437
73180,190324,5,5,1,0.378
73181,191772,5,5,2,0.233
73182,78148,5,5,2,1.1
73182,79953,5,5,3,1.575
73183,224887,5,5,2,0.859
73785,232779,5,5,1,0.337
74544,183863,5,5,1,0.213
74605,160648,5,5,1,0.215
74605,171097,5,5,5,1.803
74605,178683,5,5,1,0.237
74605,252527,5,5,3,2.374
74800,125091,5,5,1,0.199
75220,130159,5,5,5,0.754
75951,94817,5,5,8,2.902
75951,205807,5,5,4,2.861
75951,205813,5,5,10,2.952
76131,98502,5,5,1,1.085
76770,90178,5,5,1,0.188
77248,86933,5,5,1,0.183
77249,77248,5,5,1,0.22
77250,63653,5,5,1,0.265
77251,77250,5,5,1,0.242
77255,86929,5,5,1,0.233
78147,212111,5,5,1,0.166
78148,79953,5,5,1,0.574
78148,139582,5,5,1,0.181
78149,213712,5,5,2,0.56
78149,224884,5,5,13,8.161
78149,224886,5,5,10,3.474
78149,248045,5,5,5,2.392
78150,73183,5,5,1,1.098
78150,78149,5,5,11,3.571
78150,123938,5,5,5,3.345
78151,72997,5,5,1,0.498
78151,188498,5,5,1,0.045
78151,248047,5,5,2,0.5
78152,114358,5,5,4,0.749
78152,213712,5,5,1,0.545
78152,248047,5,5,1,0.182
78153,24813,5,5,1,0.479
78153,114358,5,5,2,0.826
78153,188501,5,5,1,0.801
78153,248046,5,5,2,2.96
78173,78178,5,5,1,0.289
78174,78173,5,5,5,1.197
78174,78184,5,5,4,0.533
78174,143559,5,5,4,0.347
78174,250730,5,5,1,0.736
78175,143559,5,5,3,0.377
78176,144970,5,5,5,1.271
78176,260106,5,5,1,0.201
78177,78179,5,5,1,0.294
78178,58894,5,5,1,0.158
78178,78176,5,5,1,0.298
78179,136653,5,5,3,1.527
78179,136659,5,5,4,1.354
78179,143559,5,5,1,0.908
78179,160649,5,5,5,2.096
78184,78185,5,5,1,0.146
78185,68535,5,5,1,0.166
78185,69337,5,5,2,0.389
79901,79904,5,5,1,0.23
79901,79906,5,5,1,0.235
79902,79906,5,5,1,0.263
79902,89546,5,5,6,3.74
79902,150022,5,5,6,2.961
79902,174425,5,5,1,0.477
79902,174432,5,5,10,3.611
79902,184243,5,5,10,4.079
79903,89550,5,5,8,3.326
79903,223805,5,5,4,1.809
79904,79902,5,5,1,0.256
79904,79903,5,5,1,0.476
79904,223805,5,5,8,1.961
79905,177835,5,5,4,1.386
79906,79902,5,5,1,0.263
79906,79905,5,5,2,1.242
