node,layer,lat,lon,degree,geometry
3937,5,50.97988,-2.39876,12,"-2.39876, 50.97988"
6308,5,50.95122,-2.51702,20,"-2.51702, 50.95122"
10146,5,50.94451,-2.61344,16,"-2.61344, 50.94451"
22457,5,50.87352,-2.77851,16,"-2.77851, 50.87352"
23301,5,50.94401,-2.51308,22,"-2.51308, 50.94401"
24404,5,50.91195,-2.57973,12,"-2.57973, 50.91195"
24813,5,51.0998,-2.5228,28,"-2.5228, 51.0998"
26332,5,51.00149,-2.41773,12,"-2.41773, 51.00149"
33137,5,50.96624,-2.45985,16,"-2.45985, 50.96624"
44078,5,50.92473,-2.61247,21,"-2.61247, 50.92473"
51619,5,51.0158,-2.6386,2,"-2.6386, 51.0158"
51620,5,51.01592,-2.63863,2,"-2.63863, 51.01592"
51621,5,50.99696,-2.61218,3,"-2.61218, 50.99696"
51622,5,50.9969,-2.61192,2,"-2.61192, 50.9969"
51623,5,51.01973,-2.60156,3,"-2.60156, 51.01973"
51624,5,51.01972,-2.60196,3,"-2.60196, 51.01972"
51625,5,50.98029,-2.60367,3,"-2.60367, 50.98029"
51626,5,50.98046,-2.60337,2,"-2.60337, 50.98046"
51627,5,50.98298,-2.60853,2,"-2.60853, 50.98298"
51628,5,50.98311,-2.60835,2,"-2.60835, 50.98311"
51931,5,50.95349,-2.61821,3,"-2.61821, 50.95349"
53136,5,51.01779,-2.57718,2,"-2.57718, 51.01779"
53137,5,51.01787,-2.57723,2,"-2.57723, 51.01787"
53138,5,51.02283,-2.57593,2,"-2.57593, 51.02283"
53139,5,51.02281,-2.57575,2,"-2.57575, 51.02281"
53140,5,50.9733,-2.60976,2,"-2.60976, 50.9733"
53141,5,50.98022,-2.60286,2,"-2.60286, 50.98022"
53142,5,51.00114,-2.5801,2,"-2.5801, 51.00114"
53143,5,51.00114,-2.5803,2,"-2.5803, 51.00114"
53144,5,51.02385,-2.57612,2,"-2.57612, 51.02385"
53145,5,51.02378,-2.57596,2,"-2.57596, 51.02378"
53182,5,50.95273,-2.64461,4,"-2.64461, 50.95273"
53183,5,50.95268,-2.64467,6,"-2.64467, 50.95268"
53184,5,50.95756,-2.65395,2,"-2.65395, 50.95756"
53185,5,50.95757,-2.65389,2,"-2.65389, 50.95757"
53186,5,51.05407,-2.73447,4,"-2.73447, 51.05407"
53851,5,50.92621,-2.58882,3,"-2.58882, 50.92621"
54195,5,50.89684,-2.61785,3,"-2.61785, 50.89684"
54205,5,50.88015,-2.97108,2,"-2.97108, 50.88015"
55723,5,50.9486,-2.61718,2,"-2.61718, 50.9486"
55724,5,50.94874,-2.61713,2,"-2.61713, 50.94874"
55725,5,50.94685,-2.61522,1,"-2.61522, 50.94685"
55726,5,50.94678,-2.61501,1,"-2.61501, 50.94678"
55727,5,50.9484,-2.61827,2,"-2.61827, 50.9484"
55728,5,50.94838,-2.61815,2,"-2.61815, 50.94838"
56371,5,50.94852,-2.51196,4,"-2.51196, 50.94852"
56373,5,50.9475,-2.51308,3,"-2.51308, 50.9475"
57238,5,50.94488,-2.63364,2,"-2.63364, 50.94488"
57239,5,50.94707,-2.63447,3,"-2.63447, 50.94707"
58050,5,51.07213,-2.82153,2,"-2.82153, 51.07213"
58055,5,51.07843,-2.82136,4,"-2.82136, 51.07843"
58056,5,51.07213,-2.82168,5,"-2.82168, 51.07213"
