ori_node,des_node,ori_layer,des_layer,minutes,km
608,102970,5,5,1,0.474
608,102971,5,5,3,1.735
608,212344,5,5,1,0.46
13069,150848,5,5,1,0.773
13069,205937,5,5,1,0.346
13069,205940,5,5,1,0.285
13396,51936,5,5,1,0.266
13396,115459,5,5,1,0.407
13396,203871,5,5,5,6.2
13396,213599,5,5,1,0.516
18293,18293,5,5,1,0
18293,80522,5,5,1,0.393
18293,123316,5,5,10,0.911
18293,159076,5,5,1,0.553
18293,188507,5,5,1,0.468
18293,218231,5,5,4,0.967
20249,20249,5,5,1,0
20249,164895,5,5,2,1.18
20249,255849,5,5,1,0.423
20512,20512,5,5,1,0
20512,217219,5,5,1,0.593
21760,36010,5,5,1,0.323
21760,44319,5,5,1,0.4
21760,73343,5,5,1,1.067
21760,247279,5,5,6,2.967
26201,36010,5,5,2,1.237
26201,36016,5,5,1,0.137
26201,225881,5,5,1,0.681
29466,29466,5,5,1,0
29466,88596,5,5,5,2.016
29466,183816,5,5,5,2.893
35647,130812,5,5,1,0.359
35647,130815,5,5,1,0.355
35647,167575,5,5,1,0.446
36010,21760,5,5,1,0.323
36010,44319,5,5,1,0.328
36010,133024,5,5,1,0.387
36016,26201,5,5,1,0.137
37128,215914,5,5,1,0.488
37128,219223,5,5,1,0.326
37128,233768,5,5,1,0.693
37128,257519,5,5,3,1.804
40903,40903,5,5,1,0
40903,135196,5,5,1,0.354
40903,145231,5,5,1,0.403
40903,145232,5,5,1,0.332
40903,187126,5,5,1,0.387
40903,202305,5,5,1,0.388
40903,202307,5,5,1,0.359
40903,205478,5,5,1,0.274
40903,241980,5,5,1,0.451
40903,241985,5,5,1,0.712
41972,91922,5,5,1,0.25
41972,101583,5,5,1,0.546
42836,93321,5,5,1,0.253
42836,150624,5,5,1,0.658
42836,153849,5,5,4,3.148
42836,214877,5,5,1,2.399
44319,21760,5,5,1,0.4
44319,36010,5,5,1,0.328
44319,94046,5,5,1,0.89
44319,116864,5,5,1,0.317
44319,141116,5,5,1,1.098
47163,47163,5,5,1,0
47163,113992,5,5,1,0.73
47163,260368,5,5,1,0.29
51579,51580,5,5,1,0.603
51580,70836,5,5,2,1.044
51580,252490,5,5,1,0.409
51581,51579,5,5,1,0.161
51582,51584,5,5,1,0.159
51584,52069,5,5,1,0.172
51585,99799,5,5,1,1.189
51586,51581,5,5,1,0.184
51588,51582,5,5,1,0.605
51589,51582,5,5,2,1.006
51589,51588,5,5,1,0.401
51930,86144,5,5,1,0.203
51936,13396,5,5,1,0.266
51936,115459,5,5,1,0.337
51936,115462,5,5,1,0.531
51936,157449,5,5,1,0.694
51936,227516,5,5,1,0.03
52069,51585,5,5,1,0.271
52835,119122,5,5,1,0.294
52836,62535,5,5,1,0.329
52836,119122,5,5,1,0.32
52843,158949,5,5,1,0.408
53372,62533,5,5,2,0.192
54404,54409,5,5,1,0.209
54404,59147,5,5,2,0.34
54405,212934,5,5,1,0.236
54406,54411,5,5,1,0.217
54407,69369,5,5,1,0.201
54408,211562,5,5,1,0.297
54409,54407,5,5,1,0.348
54410,54405,5,5,1,0.27
54411,54412,5,5,1,0.349
54412,54410,5,5,1,0.171
54412,59147,5,5,1,0.353
54450,230324,5,5,1,0.299
54845,54851,5,5,1,0.672
54845,224844,5,5,7,3.143
54846,196143,5,5,1,0.396
54847,111411,5,5,1,0.342
54847,147371,5,5,7,3.598
54848,54849,5,5,1,0.325
54849,54845,5,5,2,0.299
54849,54846,5,5,1,0.289
54849,54847,5,5,1,0.296
54849,166883,5,5,1,0.294
54850,73897,5,5,1,0.148
54851,64452,5,5,2,2.021
54851,73900,5,5,1,0.211
54852,54850,5,5,1,0.263
54853,64457,5,5,1,0.233
55458,55484,5,5,1,0.213
55461,79267,5,5,1,0.274
55461,261863,5,5,4,2.235
55484,222618,5,5,1,0.174
55781,60359,5,5,6,5.737
56388,257522,5,5,1,0.251
