node,layer,lat,lon,degree,geometry
608,2,53.82634,-1.22744,19,"-1.22744, 53.82634"
13069,2,53.69313,-1.02845,14,"-1.02845, 53.69313"
18293,2,53.78338,-1.06356,36,"-1.06356, 53.78338"
20249,2,53.85362,-1.21397,16,"-1.21397, 53.85362"
29466,2,53.77278,-0.92421,14,"-0.92421, 53.77278"
35647,2,53.78234,-1.25053,16,"-1.25053, 53.78234"
37128,2,53.69914,-1.15828,15,"-1.15828, 53.69914"
40903,2,53.95798,-1.09318,92,"-1.09318, 53.95798"
41972,2,53.69856,-1.11452,12,"-1.11452, 53.69856"
42836,2,53.79717,-1.23268,22,"-1.23268, 53.79717"
47163,2,53.97609,-1.14859,14,"-1.14859, 53.97609"
