"city","country","pop2024","latitude","longitude","cityDisp","pop2024Disp"
"London","United Kingdom",7556900,51.5085,-0.12574,"London","7,556,900"
"Birmingham","United Kingdom",984333,52.4814,-1.89983,"Birmingham","984,333"
"Liverpool","United Kingdom",864122,53.4106,-2.97794,"Liverpool","864,122"
"Nottingham","United Kingdom",729977,52.9536,-1.15047,"Nottingham","729,977"
"Sheffield","United Kingdom",685368,53.383,-1.4659,"Sheffield","685,368"
"Bristol","United Kingdom",617280,51.4552,-2.59665,"Bristol","617,280"
"Glasgow","United Kingdom",591620,55.8652,-4.25763,"Glasgow","591,620"
"Leicester","United Kingdom",508916,52.6386,-1.13169,"Leicester","508,916"
"Edinburgh","United Kingdom",464990,55.9521,-3.19648,"Edinburgh","464,990"
"Leeds","United Kingdom",455123,53.7965,-1.54785,"Leeds","455,123"
"Cardiff","United Kingdom",447287,51.48,-3.18,"Cardiff","447,287"
"Manchester","United Kingdom",395515,53.4809,-2.23743,"Manchester","395,515"
"Stoke-on-Trent","United Kingdom",372775,53.0042,-2.18538,"Stoke-on-Trent","372,775"
"Coventry","United Kingdom",359262,52.4066,-1.51217,"Coventry","359,262"
"Sunderland","United Kingdom",335415,54.9047,-1.38222,"Sunderland","335,415"
"Birkenhead","United Kingdom",325264,53.3934,-3.01479,"Birkenhead","325,264"
"Islington","United Kingdom",319143,51.5362,-0.10304,"Islington","319,143"
"Reading","United Kingdom",318014,51.4562,-0.97113,"Reading","318,014"
"Kingston upon Hull","United Kingdom",314018,53.7446,-0.33525,"Kingston upon Hull","314,018"
"Preston","United Kingdom",313332,53.7628,-2.70452,"Preston","313,332"
"Newport","United Kingdom",306844,51.5877,-2.99835,"Newport","306,844"
"Swansea","United Kingdom",300352,51.6208,-3.94323,"Swansea","300,352"
"Bradford","United Kingdom",299310,53.7939,-1.75206,"Bradford","299,310"
"Southend-on-Sea","United Kingdom",295310,51.5378,0.71433,"Southend-on-Sea","295,310"
"Belfast","United Kingdom",274770,54.5968,-5.92541,"Belfast","274,770"
"Derby","United Kingdom",270468,52.9228,-1.47663,"Derby","270,468"
"Plymouth","United Kingdom",260203,50.3715,-4.14305,"Plymouth","260,203"
"Luton","United Kingdom",258018,51.8797,-0.41748,"Luton","258,018"
"Wolverhampton","United Kingdom",252791,52.5855,-2.12296,"Wolverhampton","252,791"
"City of Westminster","United Kingdom",247614,51.5,-0.11667,"City of Westminster","247,614"
"Southampton","United Kingdom",246201,50.9039,-1.40428,"Southampton","246,201"
"Blackpool","United Kingdom",239409,53.8167,-3.05,"Blackpool","239,409"
"Milton Keynes","United Kingdom",229941,52.0417,-0.75583,"Milton Keynes","229,941"
"Bexley","United Kingdom",228000,51.4416,0.14866,"Bexley","228,000"
"Northampton","United Kingdom",215963,52.25,-0.88333,"Northampton","215,963"
"Archway","United Kingdom",215667,51.5673,-0.13415,"Archway","215,667"
"Norwich","United Kingdom",213166,52.6278,1.29834,"Norwich","213,166"
"Dudley","United Kingdom",199059,52.5,-2.08333,"Dudley","199,059"
"Aberdeen","United Kingdom",196670,57.1437,-2.09814,"Aberdeen","196,670"
"Portsmouth","United Kingdom",194150,50.799,-1.09125,"Portsmouth","194,150"
"Newcastle upon Tyne","United Kingdom",192382,54.9733,-1.61396,"Newcastle upon Tyne","192,382"
"Sutton","United Kingdom",187600,51.35,-0.2,"Sutton","187,600"
"Swindon","United Kingdom",185609,51.558,-1.78116,"Swindon","185,609"
"Crawley","United Kingdom",180508,51.113,-0.18312,"Crawley","180,508"
"Ipswich","United Kingdom",178835,52.0592,1.15545,"Ipswich","178,835"
